# Synthetic flood depth hydrograph — case 031
# type=flash  T_peak=194.5 min  h_peak=0.318 m  alpha=2.124  recession_ratio=1.368
# time (min), depth (m)
0.0,0.0
5.0,0.0011
10.0,0.0044
15.0,0.0098
20.0,0.017
25.0,0.0259
30.0,0.0362
35.0,0.0475
40.0,0.0597
45.0,0.0726
50.0,0.086
55.0,0.0997
60.0,0.1136
65.0,0.1275
70.0,0.1413
75.0,0.1549
80.0,0.1682
85.0,0.1812
90.0,0.1937
95.0,0.2057
100.0,0.2172
105.0,0.2281
110.0,0.2385
115.0,0.2481
120.0,0.2572
125.0,0.2656
130.0,0.2733
135.0,0.2804
140.0,0.2868
145.0,0.2926
150.0,0.2977
155.0,0.3022
160.0,0.3061
165.0,0.3095
170.0,0.3122
175.0,0.3144
180.0,0.316
185.0,0.3172
190.0,0.3178
195.0,0.3153
200.0,0.2892
205.0,0.2652
210.0,0.2432
215.0,0.2231
220.0,0.2046
225.0,0.1876
230.0,0.1721
235.0,0.1578
240.0,0.1447
245.0,0.1327
250.0,0.1217
255.0,0.1116
260.0,0.1024
265.0,0.0939
270.0,0.0861
275.0,0.079
280.0,0.0724
285.0,0.0664
290.0,0.0609
295.0,0.0559
300.0,0.0512
305.0,0.047
310.0,0.0431
315.0,0.0395
320.0,0.0362
325.0,0.0332
330.0,0.0305
335.0,0.028
340.0,0.0256
345.0,0.0235
350.0,0.0216
355.0,0.0198
360.0,0.0181
365.0,0.0166
370.0,0.0153
375.0,0.014
380.0,0.0128
385.0,0.0118
390.0,0.0108
395.0,0.0099
400.0,0.0091
405.0,0.0083
410.0,0.0076
415.0,0.007
420.0,0.0064
425.0,0.0059
430.0,0.0054
435.0,0.005
440.0,0.0045
445.0,0.0042
450.0,0.0038
455.0,0.0035
460.0,0.0032
465.0,0.0029
470.0,0.0027
475.0,0.0025
500.0,0.0
