# Synthetic flood depth hydrograph — case 063
# type=flash  T_peak=37.4 min  h_peak=0.218 m  alpha=3.089  recession_ratio=1.969
# time (min), depth (m)
0.0,0.0
5.0,0.0063
10.0,0.0357
15.0,0.0826
20.0,0.1329
25.0,0.1751
30.0,0.2034
35.0,0.2166
40.0,0.1848
45.0,0.1351
50.0,0.0988
55.0,0.0723
60.0,0.0528
65.0,0.0386
70.0,0.0283
75.0,0.0207
80.0,0.0151
85.0,0.011
90.0,0.0081
95.0,0.0059
100.0,0.0043
105.0,0.0032
110.0,0.0023
115.0,0.0017
120.0,0.0012
125.0,0.0009
150.0,0.0
