# Synthetic flood depth hydrograph — case 005
# type=short  T_peak=814.1 min  h_peak=0.419 m  alpha=2.167  recession_ratio=2.574
# time (min), depth (m)
0.0,0.0
15.0,0.0006
30.0,0.0026
45.0,0.0061
60.0,0.011
75.0,0.0171
90.0,0.0244
105.0,0.0327
120.0,0.042
135.0,0.052
150.0,0.0628
165.0,0.0742
180.0,0.0861
195.0,0.0984
210.0,0.111
225.0,0.1239
240.0,0.1369
255.0,0.15
270.0,0.1631
285.0,0.1762
300.0,0.1892
315.0,0.2021
330.0,0.2148
345.0,0.2273
360.0,0.2395
375.0,0.2514
390.0,0.263
405.0,0.2742
420.0,0.2851
435.0,0.2955
450.0,0.3056
465.0,0.3153
480.0,0.3245
495.0,0.3333
510.0,0.3417
525.0,0.3496
540.0,0.3571
555.0,0.3641
570.0,0.3706
585.0,0.3767
600.0,0.3824
615.0,0.3876
630.0,0.3924
645.0,0.3968
660.0,0.4007
675.0,0.4043
690.0,0.4074
705.0,0.4101
720.0,0.4125
735.0,0.4144
750.0,0.416
765.0,0.4173
780.0,0.4182
795.0,0.4187
810.0,0.419
825.0,0.4091
840.0,0.3958
855.0,0.383
870.0,0.3706
885.0,0.3586
900.0,0.3469
915.0,0.3357
930.0,0.3248
945.0,0.3143
960.0,0.3041
975.0,0.2942
990.0,0.2847
1005.0,0.2754
1020.0,0.2665
1035.0,0.2579
1050.0,0.2495
1065.0,0.2414
1080.0,0.2336
1095.0,0.226
1110.0,0.2187
1125.0,0.2116
1140.0,0.2047
1155.0,0.1981
1170.0,0.1917
1185.0,0.1855
1200.0,0.1794
1215.0,0.1736
1230.0,0.168
1245.0,0.1625
1260.0,0.1573
1275.0,0.1522
1290.0,0.1472
1305.0,0.1425
1320.0,0.1378
1335.0,0.1334
1350.0,0.129
1365.0,0.1249
1380.0,0.1208
1395.0,0.1169
1410.0,0.1131
1425.0,0.1094
1440.0,0.1059
1455.0,0.1025
1470.0,0.0991
1485.0,0.0959
1500.0,0.0928
1515.0,0.0898
1530.0,0.0869
1545.0,0.0841
1560.0,0.0813
1575.0,0.0787
1590.0,0.0762
1605.0,0.0737
1620.0,0.0713
1635.0,0.069
1650.0,0.0667
1665.0,0.0646
1680.0,0.0625
1695.0,0.0605
1710.0,0.0585
1725.0,0.0566
1740.0,0.0548
1755.0,0.053
1770.0,0.0513
1785.0,0.0496
1800.0,0.048
1815.0,0.0464
1830.0,0.0449
1845.0,0.0435
1860.0,0.0421
1875.0,0.0407
1890.0,0.0394
1905.0,0.0381
1920.0,0.0369
1935.0,0.0357
1950.0,0.0345
1965.0,0.0334
1980.0,0.0323
1995.0,0.0313
2010.0,0.0303
2025.0,0.0293
2040.0,0.0283
2055.0,0.0274
2070.0,0.0265
2085.0,0.0257
2100.0,0.0248
2115.0,0.024
2130.0,0.0232
2145.0,0.0225
2160.0,0.0218
2175.0,0.0211
2190.0,0.0204
2205.0,0.0197
2220.0,0.0191
2235.0,0.0185
2250.0,0.0179
2265.0,0.0173
2280.0,0.0167
2295.0,0.0162
2310.0,0.0156
2325.0,0.0151
2340.0,0.0147
2355.0,0.0142
2370.0,0.0137
2385.0,0.0133
2400.0,0.0128
2415.0,0.0124
2430.0,0.012
2445.0,0.0116
2460.0,0.0113
2475.0,0.0109
2490.0,0.0105
2505.0,0.0102
2520.0,0.0099
2535.0,0.0095
2550.0,0.0092
2565.0,0.0089
2580.0,0.0086
2595.0,0.0084
2610.0,0.0081
2625.0,0.0078
2640.0,0.0076
2655.0,0.0073
2670.0,0.0071
2685.0,0.0069
2700.0,0.0066
2715.0,0.0064
2730.0,0.0062
2745.0,0.006
2760.0,0.0058
2775.0,0.0056
2790.0,0.0054
2805.0,0.0053
2820.0,0.0051
2835.0,0.0049
2850.0,0.0048
2865.0,0.0046
2880.0,0.0045
2895.0,0.0043
2910.0,0.0042
2925.0,0.0041
2940.0,0.0039
2955.0,0.0038
3030.0,0.0
