# Synthetic flood depth hydrograph — case 055
# type=flash  T_peak=68.1 min  h_peak=1.083 m  alpha=1.568  recession_ratio=1.652
# time (min), depth (m)
0.0,0.0
5.0,0.0772
10.0,0.2039
15.0,0.3432
20.0,0.4802
25.0,0.6073
30.0,0.7203
35.0,0.8175
40.0,0.8982
45.0,0.9629
50.0,1.0123
55.0,1.0476
60.0,1.0701
65.0,1.0812
70.0,1.0007
75.0,0.8154
80.0,0.6644
85.0,0.5414
90.0,0.4412
95.0,0.3595
100.0,0.2929
105.0,0.2387
110.0,0.1945
115.0,0.1585
120.0,0.1291
125.0,0.1052
130.0,0.0857
135.0,0.0699
140.0,0.0569
145.0,0.0464
150.0,0.0378
155.0,0.0308
160.0,0.0251
165.0,0.0204
170.0,0.0167
175.0,0.0136
180.0,0.0111
185.0,0.009
190.0,0.0073
195.0,0.006
220.0,0.0
