# Synthetic flood depth hydrograph — case 028
# type=flash  T_peak=174.3 min  h_peak=0.663 m  alpha=2.559  recession_ratio=1.274
# time (min), depth (m)
0.0,0.0
5.0,0.0009
10.0,0.0049
15.0,0.0129
20.0,0.0251
25.0,0.0413
30.0,0.0611
35.0,0.0843
40.0,0.1102
45.0,0.1384
50.0,0.1684
55.0,0.1997
60.0,0.2319
65.0,0.2644
70.0,0.297
75.0,0.3293
80.0,0.3609
85.0,0.3917
90.0,0.4213
95.0,0.4495
100.0,0.4763
105.0,0.5014
110.0,0.5248
115.0,0.5464
120.0,0.5662
125.0,0.584
130.0,0.6
135.0,0.614
140.0,0.6262
145.0,0.6365
150.0,0.6451
155.0,0.6519
160.0,0.657
165.0,0.6605
170.0,0.6625
175.0,0.653
180.0,0.5887
185.0,0.5307
190.0,0.4784
195.0,0.4313
200.0,0.3888
205.0,0.3505
210.0,0.316
215.0,0.2848
220.0,0.2568
225.0,0.2315
230.0,0.2087
235.0,0.1881
240.0,0.1696
245.0,0.1529
250.0,0.1378
255.0,0.1242
260.0,0.112
265.0,0.101
270.0,0.091
275.0,0.0821
280.0,0.074
285.0,0.0667
290.0,0.0601
295.0,0.0542
300.0,0.0489
305.0,0.044
310.0,0.0397
315.0,0.0358
320.0,0.0323
325.0,0.0291
330.0,0.0262
335.0,0.0236
340.0,0.0213
345.0,0.0192
350.0,0.0173
355.0,0.0156
360.0,0.0141
365.0,0.0127
370.0,0.0114
375.0,0.0103
380.0,0.0093
385.0,0.0084
390.0,0.0076
395.0,0.0068
400.0,0.0061
405.0,0.0055
410.0,0.005
435.0,0.0
