# Synthetic flood depth hydrograph — case 091
# type=prolonged  T_peak=6349.2 min  h_peak=0.538 m  alpha=3.698  recession_ratio=4.033
# time (min), depth (m)
0.0,0.0
60.0,0.0
120.0,0.0
180.0,0.0
240.0,0.0001
300.0,0.0002
360.0,0.0004
420.0,0.0007
480.0,0.0012
540.0,0.0017
600.0,0.0025
660.0,0.0034
720.0,0.0046
780.0,0.0059
840.0,0.0075
900.0,0.0094
960.0,0.0115
1020.0,0.0139
1080.0,0.0165
1140.0,0.0195
1200.0,0.0228
1260.0,0.0264
1320.0,0.0302
1380.0,0.0344
1440.0,0.0389
1500.0,0.0437
1560.0,0.0487
1620.0,0.0541
1680.0,0.0598
1740.0,0.0657
1800.0,0.072
1860.0,0.0784
1920.0,0.0852
1980.0,0.0922
2040.0,0.0994
2100.0,0.1068
2160.0,0.1145
2220.0,0.1224
2280.0,0.1304
2340.0,0.1386
2400.0,0.147
2460.0,0.1555
2520.0,0.1642
2580.0,0.1729
2640.0,0.1818
2700.0,0.1908
2760.0,0.1998
2820.0,0.209
2880.0,0.2181
2940.0,0.2273
3000.0,0.2365
3060.0,0.2458
3120.0,0.255
3180.0,0.2642
3240.0,0.2734
3300.0,0.2825
3360.0,0.2916
3420.0,0.3007
3480.0,0.3096
3540.0,0.3185
3600.0,0.3273
3660.0,0.336
3720.0,0.3445
3780.0,0.353
3840.0,0.3613
3900.0,0.3695
3960.0,0.3775
4020.0,0.3854
4080.0,0.3931
4140.0,0.4007
4200.0,0.4081
4260.0,0.4153
4320.0,0.4223
4380.0,0.4291
4440.0,0.4358
4500.0,0.4422
4560.0,0.4485
4620.0,0.4545
4680.0,0.4604
4740.0,0.466
4800.0,0.4714
4860.0,0.4766
4920.0,0.4816
4980.0,0.4864
5040.0,0.491
5100.0,0.4953
5160.0,0.4995
5220.0,0.5034
5280.0,0.5071
5340.0,0.5106
5400.0,0.5138
5460.0,0.5169
5520.0,0.5197
5580.0,0.5223
5640.0,0.5247
5700.0,0.5269
5760.0,0.5289
5820.0,0.5307
5880.0,0.5323
5940.0,0.5337
6000.0,0.5349
6060.0,0.5359
6120.0,0.5367
6180.0,0.5373
6240.0,0.5377
6300.0,0.5379
6360.0,0.537
6420.0,0.5312
6480.0,0.5255
6540.0,0.5199
6600.0,0.5143
6660.0,0.5088
6720.0,0.5033
6780.0,0.4979
6840.0,0.4925
6900.0,0.4873
6960.0,0.482
7020.0,0.4769
7080.0,0.4717
7140.0,0.4667
7200.0,0.4617
7260.0,0.4567
7320.0,0.4518
7380.0,0.447
7440.0,0.4422
7500.0,0.4374
7560.0,0.4327
7620.0,0.4281
7680.0,0.4235
7740.0,0.4189
7800.0,0.4144
7860.0,0.41
7920.0,0.4056
7980.0,0.4012
8040.0,0.3969
8100.0,0.3927
8160.0,0.3885
8220.0,0.3843
8280.0,0.3802
8340.0,0.3761
8400.0,0.3721
8460.0,0.3681
8520.0,0.3641
8580.0,0.3602
8640.0,0.3563
8700.0,0.3525
8760.0,0.3487
8820.0,0.345
8880.0,0.3413
8940.0,0.3376
9000.0,0.334
9060.0,0.3304
9120.0,0.3269
9180.0,0.3234
9240.0,0.3199
9300.0,0.3165
9360.0,0.3131
9420.0,0.3097
9480.0,0.3064
9540.0,0.3031
9600.0,0.2998
9660.0,0.2966
9720.0,0.2934
9780.0,0.2903
9840.0,0.2872
9900.0,0.2841
9960.0,0.281
10020.0,0.278
10080.0,0.275
10140.0,0.2721
10200.0,0.2692
10260.0,0.2663
10320.0,0.2634
10380.0,0.2606
10440.0,0.2578
10500.0,0.255
10560.0,0.2523
