# Synthetic flood depth hydrograph — case 046
# type=short  T_peak=290.5 min  h_peak=0.291 m  alpha=1.940  recession_ratio=2.350
# time (min), depth (m)
0.0,0.0
15.0,0.0058
30.0,0.0203
45.0,0.0402
60.0,0.0636
75.0,0.0887
90.0,0.1143
105.0,0.1395
120.0,0.1635
135.0,0.1859
150.0,0.2063
165.0,0.2245
180.0,0.2405
195.0,0.2541
210.0,0.2654
225.0,0.2745
240.0,0.2815
255.0,0.2864
270.0,0.2895
285.0,0.2909
300.0,0.2729
315.0,0.2467
330.0,0.2229
345.0,0.2015
360.0,0.1821
375.0,0.1646
390.0,0.1487
405.0,0.1344
420.0,0.1215
435.0,0.1098
450.0,0.0992
465.0,0.0897
480.0,0.081
495.0,0.0732
510.0,0.0662
525.0,0.0598
540.0,0.0541
555.0,0.0489
570.0,0.0442
585.0,0.0399
600.0,0.0361
615.0,0.0326
630.0,0.0295
645.0,0.0266
660.0,0.0241
675.0,0.0217
690.0,0.0197
705.0,0.0178
720.0,0.0161
735.0,0.0145
750.0,0.0131
765.0,0.0119
780.0,0.0107
795.0,0.0097
810.0,0.0087
825.0,0.0079
840.0,0.0071
855.0,0.0065
870.0,0.0058
885.0,0.0053
900.0,0.0048
915.0,0.0043
930.0,0.0039
945.0,0.0035
960.0,0.0032
975.0,0.0029
990.0,0.0026
1005.0,0.0023
1020.0,0.0021
1095.0,0.0
