# Synthetic flood depth hydrograph — case 023
# type=flash  T_peak=49.3 min  h_peak=0.526 m  alpha=3.179  recession_ratio=1.517
# time (min), depth (m)
0.0,0.0
5.0,0.0063
10.0,0.0416
15.0,0.1094
20.0,0.1978
25.0,0.2912
30.0,0.3766
35.0,0.4453
40.0,0.4931
45.0,0.5193
50.0,0.5032
55.0,0.3698
60.0,0.2718
65.0,0.1997
70.0,0.1468
75.0,0.1079
80.0,0.0793
85.0,0.0583
90.0,0.0428
95.0,0.0315
100.0,0.0231
105.0,0.017
110.0,0.0125
115.0,0.0092
120.0,0.0067
125.0,0.005
130.0,0.0036
135.0,0.0027
140.0,0.002
165.0,0.0
