# Synthetic flood depth hydrograph — case 087
# type=short  T_peak=335.9 min  h_peak=0.993 m  alpha=3.391  recession_ratio=2.224
# time (min), depth (m)
0.0,0.0
15.0,0.0007
30.0,0.006
45.0,0.0205
60.0,0.0468
75.0,0.0857
90.0,0.1366
105.0,0.1981
120.0,0.2677
135.0,0.3431
150.0,0.4215
165.0,0.5005
180.0,0.5778
195.0,0.6514
210.0,0.7198
225.0,0.7818
240.0,0.8363
255.0,0.8828
270.0,0.921
285.0,0.9509
300.0,0.9725
315.0,0.9862
330.0,0.9925
345.0,0.9387
360.0,0.8558
375.0,0.7802
390.0,0.7113
405.0,0.6485
420.0,0.5912
435.0,0.539
450.0,0.4914
465.0,0.448
480.0,0.4084
495.0,0.3723
510.0,0.3394
525.0,0.3095
540.0,0.2821
555.0,0.2572
570.0,0.2345
585.0,0.2138
600.0,0.1949
615.0,0.1777
630.0,0.162
645.0,0.1477
660.0,0.1346
675.0,0.1227
690.0,0.1119
705.0,0.102
720.0,0.093
735.0,0.0848
750.0,0.0773
765.0,0.0705
780.0,0.0642
795.0,0.0586
810.0,0.0534
825.0,0.0487
840.0,0.0444
855.0,0.0405
870.0,0.0369
885.0,0.0336
900.0,0.0307
915.0,0.028
930.0,0.0255
945.0,0.0232
960.0,0.0212
975.0,0.0193
990.0,0.0176
1005.0,0.016
1020.0,0.0146
1035.0,0.0133
1050.0,0.0122
1065.0,0.0111
1080.0,0.0101
1095.0,0.0092
1110.0,0.0084
1125.0,0.0077
1200.0,0.0
