# Synthetic flood depth hydrograph — case 025
# type=prolonged  T_peak=2610.1 min  h_peak=0.332 m  alpha=3.584  recession_ratio=2.631
# time (min), depth (m)
0.0,0.0
60.0,0.0
120.0,0.0002
180.0,0.0006
240.0,0.0017
300.0,0.0034
360.0,0.006
420.0,0.0096
480.0,0.0143
540.0,0.0201
600.0,0.027
660.0,0.035
720.0,0.044
780.0,0.054
840.0,0.0649
900.0,0.0765
960.0,0.0888
1020.0,0.1016
1080.0,0.1148
1140.0,0.1284
1200.0,0.1421
1260.0,0.1558
1320.0,0.1696
1380.0,0.1831
1440.0,0.1964
1500.0,0.2094
1560.0,0.2219
1620.0,0.234
1680.0,0.2455
1740.0,0.2564
1800.0,0.2666
1860.0,0.2761
1920.0,0.2849
1980.0,0.293
2040.0,0.3003
2100.0,0.3068
2160.0,0.3126
2220.0,0.3175
2280.0,0.3218
2340.0,0.3252
2400.0,0.328
2460.0,0.33
2520.0,0.3313
2580.0,0.3319
2640.0,0.3254
2700.0,0.3126
2760.0,0.3002
2820.0,0.2884
2880.0,0.277
2940.0,0.2661
3000.0,0.2556
3060.0,0.2455
3120.0,0.2358
3180.0,0.2265
3240.0,0.2176
3300.0,0.209
3360.0,0.2008
3420.0,0.1929
3480.0,0.1853
3540.0,0.1779
3600.0,0.1709
3660.0,0.1642
3720.0,0.1577
3780.0,0.1515
3840.0,0.1455
3900.0,0.1398
3960.0,0.1343
4020.0,0.129
4080.0,0.1239
4140.0,0.119
4200.0,0.1143
4260.0,0.1098
4320.0,0.1055
4380.0,0.1013
4440.0,0.0973
4500.0,0.0935
4560.0,0.0898
4620.0,0.0862
4680.0,0.0828
4740.0,0.0796
4800.0,0.0764
4860.0,0.0734
4920.0,0.0705
4980.0,0.0677
5040.0,0.0651
5100.0,0.0625
5160.0,0.06
5220.0,0.0577
5280.0,0.0554
5340.0,0.0532
5400.0,0.0511
5460.0,0.0491
5520.0,0.0472
5580.0,0.0453
5640.0,0.0435
5700.0,0.0418
5760.0,0.0402
5820.0,0.0386
5880.0,0.037
5940.0,0.0356
6000.0,0.0342
6060.0,0.0328
6120.0,0.0315
6180.0,0.0303
6240.0,0.0291
6300.0,0.028
6360.0,0.0269
6420.0,0.0258
6480.0,0.0248
6540.0,0.0238
6600.0,0.0229
6660.0,0.022
6720.0,0.0211
6780.0,0.0203
6840.0,0.0195
6900.0,0.0187
6960.0,0.018
7020.0,0.0172
7080.0,0.0166
7140.0,0.0159
7200.0,0.0153
7260.0,0.0147
7320.0,0.0141
7380.0,0.0135
7440.0,0.013
7500.0,0.0125
7560.0,0.012
7620.0,0.0115
7680.0,0.0111
7740.0,0.0106
7800.0,0.0102
7860.0,0.0098
7920.0,0.0094
7980.0,0.0091
8040.0,0.0087
8100.0,0.0084
8160.0,0.008
8220.0,0.0077
8280.0,0.0074
8340.0,0.0071
8400.0,0.0068
8460.0,0.0066
8520.0,0.0063
8580.0,0.0061
8640.0,0.0058
8700.0,0.0056
8760.0,0.0054
8820.0,0.0052
8880.0,0.005
8940.0,0.0048
9000.0,0.0046
9060.0,0.0044
9120.0,0.0042
9180.0,0.0041
9240.0,0.0039
9300.0,0.0037
9360.0,0.0036
9420.0,0.0034
9480.0,0.0033
9540.0,0.0032
9600.0,0.0031
9660.0,0.0029
9960.0,0.0
