# Synthetic flood depth hydrograph — case 007
# type=flash  T_peak=106.4 min  h_peak=1.634 m  alpha=3.406  recession_ratio=1.322
# time (min), depth (m)
0.0,0.0
5.0,0.0013
10.0,0.0114
15.0,0.0385
20.0,0.0874
25.0,0.1593
30.0,0.2526
35.0,0.3639
40.0,0.4886
45.0,0.6219
50.0,0.7587
55.0,0.8944
60.0,1.0251
65.0,1.1473
70.0,1.2583
75.0,1.3563
80.0,1.4399
85.0,1.5084
90.0,1.5616
95.0,1.5998
100.0,1.6234
105.0,1.6335
110.0,1.4538
115.0,1.2343
120.0,1.048
125.0,0.8898
130.0,0.7555
135.0,0.6414
140.0,0.5446
145.0,0.4624
150.0,0.3926
155.0,0.3333
160.0,0.283
165.0,0.2403
170.0,0.204
175.0,0.1732
180.0,0.1471
185.0,0.1249
190.0,0.106
195.0,0.09
200.0,0.0764
205.0,0.0649
210.0,0.0551
215.0,0.0468
220.0,0.0397
225.0,0.0337
230.0,0.0286
235.0,0.0243
240.0,0.0206
245.0,0.0175
250.0,0.0149
255.0,0.0126
260.0,0.0107
285.0,0.0
