# Synthetic flood depth hydrograph — case 013
# type=short  T_peak=367.6 min  h_peak=0.599 m  alpha=2.036  recession_ratio=2.838
# time (min), depth (m)
0.0,0.0
15.0,0.0063
30.0,0.0236
45.0,0.0497
60.0,0.0821
75.0,0.119
90.0,0.1588
105.0,0.2
120.0,0.2416
135.0,0.2826
150.0,0.3223
165.0,0.3601
180.0,0.3956
195.0,0.4285
210.0,0.4586
225.0,0.4857
240.0,0.5097
255.0,0.5307
270.0,0.5487
285.0,0.5637
300.0,0.5759
315.0,0.5853
330.0,0.5922
345.0,0.5966
360.0,0.5987
375.0,0.5798
390.0,0.5427
405.0,0.5079
420.0,0.4754
435.0,0.4449
450.0,0.4164
465.0,0.3897
480.0,0.3648
495.0,0.3414
510.0,0.3195
525.0,0.2991
540.0,0.2799
555.0,0.262
570.0,0.2452
585.0,0.2295
600.0,0.2148
615.0,0.201
630.0,0.1881
645.0,0.1761
660.0,0.1648
675.0,0.1542
690.0,0.1444
705.0,0.1351
720.0,0.1265
735.0,0.1184
750.0,0.1108
765.0,0.1037
780.0,0.097
795.0,0.0908
810.0,0.085
825.0,0.0796
840.0,0.0745
855.0,0.0697
870.0,0.0652
885.0,0.061
900.0,0.0571
915.0,0.0535
930.0,0.05
945.0,0.0468
960.0,0.0438
975.0,0.041
990.0,0.0384
1005.0,0.0359
1020.0,0.0336
1035.0,0.0315
1050.0,0.0295
1065.0,0.0276
1080.0,0.0258
1095.0,0.0242
1110.0,0.0226
1125.0,0.0212
1140.0,0.0198
1155.0,0.0185
1170.0,0.0174
1185.0,0.0162
1200.0,0.0152
1215.0,0.0142
1230.0,0.0133
1245.0,0.0125
1260.0,0.0117
1275.0,0.0109
1290.0,0.0102
1305.0,0.0096
1320.0,0.0089
1335.0,0.0084
1350.0,0.0078
1365.0,0.0073
1380.0,0.0069
1395.0,0.0064
1410.0,0.006
1425.0,0.0056
1440.0,0.0053
1455.0,0.0049
1530.0,0.0
