# Synthetic flood depth hydrograph — case 048
# type=short  T_peak=870.8 min  h_peak=1.105 m  alpha=3.576  recession_ratio=2.510
# time (min), depth (m)
0.0,0.0
15.0,0.0
30.0,0.0002
45.0,0.0008
60.0,0.0022
75.0,0.0045
90.0,0.0081
105.0,0.0133
120.0,0.0202
135.0,0.0289
150.0,0.0396
165.0,0.0523
180.0,0.0672
195.0,0.0841
210.0,0.103
225.0,0.124
240.0,0.1468
255.0,0.1715
270.0,0.1978
285.0,0.2257
300.0,0.2549
315.0,0.2854
330.0,0.3169
345.0,0.3493
360.0,0.3824
375.0,0.4161
390.0,0.4502
405.0,0.4844
420.0,0.5187
435.0,0.553
450.0,0.5869
465.0,0.6205
480.0,0.6536
495.0,0.686
510.0,0.7177
525.0,0.7486
540.0,0.7784
555.0,0.8073
570.0,0.835
585.0,0.8616
600.0,0.8868
615.0,0.9108
630.0,0.9335
645.0,0.9548
660.0,0.9747
675.0,0.9931
690.0,1.0102
705.0,1.0257
720.0,1.0399
735.0,1.0526
750.0,1.0638
765.0,1.0737
780.0,1.0821
795.0,1.0892
810.0,1.0949
825.0,1.0994
840.0,1.1025
855.0,1.1043
870.0,1.105
885.0,1.0724
900.0,1.039
915.0,1.0067
930.0,0.9754
945.0,0.9451
960.0,0.9157
975.0,0.8872
990.0,0.8596
1005.0,0.8328
1020.0,0.8069
1035.0,0.7818
1050.0,0.7575
1065.0,0.7339
1080.0,0.7111
1095.0,0.689
1110.0,0.6675
1125.0,0.6468
1140.0,0.6266
1155.0,0.6072
1170.0,0.5883
1185.0,0.57
1200.0,0.5522
1215.0,0.535
1230.0,0.5184
1245.0,0.5023
1260.0,0.4867
1275.0,0.4715
1290.0,0.4568
1305.0,0.4426
1320.0,0.4289
1335.0,0.4155
1350.0,0.4026
1365.0,0.3901
1380.0,0.3779
1395.0,0.3662
1410.0,0.3548
1425.0,0.3437
1440.0,0.333
1455.0,0.3227
1470.0,0.3126
1485.0,0.3029
1500.0,0.2935
1515.0,0.2844
1530.0,0.2755
1545.0,0.2669
1560.0,0.2586
1575.0,0.2506
1590.0,0.2428
1605.0,0.2352
1620.0,0.2279
1635.0,0.2208
1650.0,0.214
1665.0,0.2073
1680.0,0.2009
1695.0,0.1946
1710.0,0.1886
1725.0,0.1827
1740.0,0.177
1755.0,0.1715
1770.0,0.1662
1785.0,0.161
1800.0,0.156
1815.0,0.1511
1830.0,0.1464
1845.0,0.1419
1860.0,0.1375
1875.0,0.1332
1890.0,0.129
1905.0,0.125
1920.0,0.1211
1935.0,0.1174
1950.0,0.1137
1965.0,0.1102
1980.0,0.1068
1995.0,0.1034
2010.0,0.1002
2025.0,0.0971
2040.0,0.0941
2055.0,0.0911
2070.0,0.0883
2085.0,0.0856
2100.0,0.0829
2115.0,0.0803
2130.0,0.0778
2145.0,0.0754
2160.0,0.0731
2175.0,0.0708
2190.0,0.0686
2205.0,0.0665
2220.0,0.0644
2235.0,0.0624
2250.0,0.0604
2265.0,0.0586
2280.0,0.0567
2295.0,0.055
2310.0,0.0533
2325.0,0.0516
2340.0,0.05
2355.0,0.0484
2370.0,0.0469
2385.0,0.0455
2400.0,0.0441
2415.0,0.0427
2430.0,0.0414
2445.0,0.0401
2460.0,0.0388
2475.0,0.0376
2490.0,0.0365
2505.0,0.0353
2520.0,0.0342
2535.0,0.0332
2550.0,0.0321
2565.0,0.0311
2580.0,0.0302
2595.0,0.0292
2610.0,0.0283
2625.0,0.0274
2640.0,0.0266
2655.0,0.0257
2670.0,0.0249
2685.0,0.0242
2700.0,0.0234
2715.0,0.0227
2730.0,0.022
2745.0,0.0213
2760.0,0.0206
2775.0,0.02
2790.0,0.0194
2805.0,0.0188
2820.0,0.0182
2835.0,0.0176
2850.0,0.0171
2865.0,0.0165
2880.0,0.016
2895.0,0.0155
2910.0,0.015
2925.0,0.0146
2940.0,0.0141
2955.0,0.0137
2970.0,0.0133
2985.0,0.0128
3000.0,0.0124
3015.0,0.0121
3030.0,0.0117
3045.0,0.0113
3060.0,0.011
3075.0,0.0106
3090.0,0.0103
3105.0,0.01
3180.0,0.0
