# Synthetic flood depth hydrograph — case 058
# type=short  T_peak=1315.7 min  h_peak=0.397 m  alpha=1.551  recession_ratio=1.899
# time (min), depth (m)
0.0,0.0
15.0,0.0018
30.0,0.0051
45.0,0.0095
60.0,0.0145
75.0,0.0202
90.0,0.0263
105.0,0.0328
120.0,0.0396
135.0,0.0467
150.0,0.0541
165.0,0.0616
180.0,0.0692
195.0,0.077
210.0,0.0849
225.0,0.0928
240.0,0.1008
255.0,0.1088
270.0,0.1168
285.0,0.1248
300.0,0.1327
315.0,0.1407
330.0,0.1485
345.0,0.1564
360.0,0.1641
375.0,0.1718
390.0,0.1793
405.0,0.1868
420.0,0.1942
435.0,0.2014
450.0,0.2086
465.0,0.2156
480.0,0.2226
495.0,0.2293
510.0,0.236
525.0,0.2425
540.0,0.2489
555.0,0.2552
570.0,0.2613
585.0,0.2673
600.0,0.2731
615.0,0.2788
630.0,0.2843
645.0,0.2897
660.0,0.295
675.0,0.3001
690.0,0.3051
705.0,0.3099
720.0,0.3145
735.0,0.3191
750.0,0.3235
765.0,0.3277
780.0,0.3318
795.0,0.3358
810.0,0.3396
825.0,0.3433
840.0,0.3468
855.0,0.3502
870.0,0.3535
885.0,0.3566
900.0,0.3596
915.0,0.3625
930.0,0.3652
945.0,0.3678
960.0,0.3703
975.0,0.3727
990.0,0.3749
1005.0,0.3771
1020.0,0.3791
1035.0,0.3809
1050.0,0.3827
1065.0,0.3844
1080.0,0.3859
1095.0,0.3873
1110.0,0.3887
1125.0,0.3899
1140.0,0.391
1155.0,0.392
1170.0,0.3929
1185.0,0.3938
1200.0,0.3945
1215.0,0.3951
1230.0,0.3956
1245.0,0.3961
1260.0,0.3964
1275.0,0.3967
1290.0,0.3969
1305.0,0.397
1320.0,0.3939
1335.0,0.3831
1350.0,0.3727
1365.0,0.3625
1380.0,0.3526
1395.0,0.343
1410.0,0.3337
1425.0,0.3246
1440.0,0.3157
1455.0,0.3071
1470.0,0.2987
1485.0,0.2906
1500.0,0.2827
1515.0,0.2749
1530.0,0.2674
1545.0,0.2602
1560.0,0.2531
1575.0,0.2462
1590.0,0.2394
1605.0,0.2329
1620.0,0.2266
1635.0,0.2204
1650.0,0.2144
1665.0,0.2085
1680.0,0.2028
1695.0,0.1973
1710.0,0.1919
1725.0,0.1867
1740.0,0.1816
1755.0,0.1767
1770.0,0.1718
1785.0,0.1672
1800.0,0.1626
1815.0,0.1582
1830.0,0.1538
1845.0,0.1497
1860.0,0.1456
1875.0,0.1416
1890.0,0.1377
1905.0,0.134
1920.0,0.1303
1935.0,0.1268
1950.0,0.1233
1965.0,0.12
1980.0,0.1167
1995.0,0.1135
2010.0,0.1104
2025.0,0.1074
2040.0,0.1045
2055.0,0.1016
2070.0,0.0989
2085.0,0.0962
2100.0,0.0935
2115.0,0.091
2130.0,0.0885
2145.0,0.0861
2160.0,0.0837
2175.0,0.0815
2190.0,0.0792
2205.0,0.0771
2220.0,0.075
2235.0,0.0729
2250.0,0.0709
2265.0,0.069
2280.0,0.0671
2295.0,0.0653
2310.0,0.0635
2325.0,0.0618
2340.0,0.0601
2355.0,0.0585
2370.0,0.0569
2385.0,0.0553
2400.0,0.0538
2415.0,0.0523
2430.0,0.0509
2445.0,0.0495
2460.0,0.0482
2475.0,0.0469
2490.0,0.0456
2505.0,0.0443
2520.0,0.0431
2535.0,0.042
2550.0,0.0408
2565.0,0.0397
2580.0,0.0386
2595.0,0.0376
2610.0,0.0365
2625.0,0.0355
2640.0,0.0346
2655.0,0.0336
2670.0,0.0327
2685.0,0.0318
2700.0,0.031
2715.0,0.0301
2730.0,0.0293
2745.0,0.0285
2760.0,0.0277
2775.0,0.027
2790.0,0.0262
2805.0,0.0255
2820.0,0.0248
2835.0,0.0241
2850.0,0.0235
2865.0,0.0228
2880.0,0.0222
2895.0,0.0216
2910.0,0.021
2925.0,0.0204
2940.0,0.0199
2955.0,0.0193
2970.0,0.0188
2985.0,0.0183
3000.0,0.0178
3015.0,0.0173
3030.0,0.0168
3045.0,0.0164
3060.0,0.0159
3075.0,0.0155
3090.0,0.0151
3105.0,0.0147
3120.0,0.0143
3135.0,0.0139
3150.0,0.0135
3165.0,0.0131
3180.0,0.0128
3195.0,0.0124
3210.0,0.0121
3225.0,0.0118
3240.0,0.0114
3255.0,0.0111
3270.0,0.0108
3285.0,0.0105
3300.0,0.0102
3315.0,0.01
3330.0,0.0097
3345.0,0.0094
3360.0,0.0092
3375.0,0.0089
3390.0,0.0087
3405.0,0.0084
3420.0,0.0082
3435.0,0.008
3450.0,0.0078
3465.0,0.0076
3480.0,0.0074
3495.0,0.0071
3510.0,0.007
3525.0,0.0068
3540.0,0.0066
3555.0,0.0064
3570.0,0.0062
3585.0,0.0061
3600.0,0.0059
3615.0,0.0057
3630.0,0.0056
3645.0,0.0054
3660.0,0.0053
3675.0,0.0051
3690.0,0.005
3705.0,0.0049
3720.0,0.0047
3735.0,0.0046
3750.0,0.0045
3765.0,0.0043
3780.0,0.0042
3795.0,0.0041
3810.0,0.004
3825.0,0.0039
3840.0,0.0038
3855.0,0.0037
3930.0,0.0
