# Synthetic flood depth hydrograph — case 019
# type=short  T_peak=1334.0 min  h_peak=0.253 m  alpha=2.889  recession_ratio=3.491
# time (min), depth (m)
0.0,0.0
15.0,0.0
30.0,0.0001
45.0,0.0002
60.0,0.0005
75.0,0.0009
90.0,0.0016
105.0,0.0023
120.0,0.0033
135.0,0.0045
150.0,0.006
165.0,0.0076
180.0,0.0094
195.0,0.0115
210.0,0.0138
225.0,0.0163
240.0,0.0191
255.0,0.022
270.0,0.0251
285.0,0.0284
300.0,0.0319
315.0,0.0355
330.0,0.0393
345.0,0.0433
360.0,0.0474
375.0,0.0516
390.0,0.056
405.0,0.0604
420.0,0.065
435.0,0.0696
450.0,0.0743
465.0,0.0791
480.0,0.0839
495.0,0.0888
510.0,0.0937
525.0,0.0986
540.0,0.1036
555.0,0.1085
570.0,0.1135
585.0,0.1184
600.0,0.1233
615.0,0.1282
630.0,0.133
645.0,0.1378
660.0,0.1426
675.0,0.1473
690.0,0.1519
705.0,0.1565
720.0,0.161
735.0,0.1654
750.0,0.1698
765.0,0.174
780.0,0.1782
795.0,0.1822
810.0,0.1862
825.0,0.1901
840.0,0.1938
855.0,0.1975
870.0,0.201
885.0,0.2044
900.0,0.2078
915.0,0.211
930.0,0.214
945.0,0.217
960.0,0.2198
975.0,0.2226
990.0,0.2252
1005.0,0.2276
1020.0,0.23
1035.0,0.2322
1050.0,0.2344
1065.0,0.2364
1080.0,0.2382
1095.0,0.24
1110.0,0.2416
1125.0,0.2432
1140.0,0.2446
1155.0,0.2459
1170.0,0.247
1185.0,0.2481
1200.0,0.2491
1215.0,0.2499
1230.0,0.2507
1245.0,0.2513
1260.0,0.2518
1275.0,0.2523
1290.0,0.2526
1305.0,0.2528
1320.0,0.253
1335.0,0.2527
1350.0,0.249
1365.0,0.2454
1380.0,0.2417
1395.0,0.2382
1410.0,0.2347
1425.0,0.2312
1440.0,0.2278
1455.0,0.2245
1470.0,0.2212
1485.0,0.2179
1500.0,0.2147
1515.0,0.2115
1530.0,0.2084
1545.0,0.2053
1560.0,0.2023
1575.0,0.1993
1590.0,0.1964
1605.0,0.1935
1620.0,0.1907
1635.0,0.1879
1650.0,0.1851
1665.0,0.1824
1680.0,0.1797
1695.0,0.177
1710.0,0.1744
1725.0,0.1719
1740.0,0.1693
1755.0,0.1668
1770.0,0.1644
1785.0,0.162
1800.0,0.1596
1815.0,0.1572
1830.0,0.1549
1845.0,0.1526
1860.0,0.1504
1875.0,0.1482
1890.0,0.146
1905.0,0.1438
1920.0,0.1417
1935.0,0.1396
1950.0,0.1376
1965.0,0.1356
1980.0,0.1336
1995.0,0.1316
2010.0,0.1297
2025.0,0.1277
2040.0,0.1259
2055.0,0.124
2070.0,0.1222
2085.0,0.1204
2100.0,0.1186
2115.0,0.1169
2130.0,0.1151
2145.0,0.1135
2160.0,0.1118
2175.0,0.1101
2190.0,0.1085
2205.0,0.1069
2220.0,0.1053
2235.0,0.1038
2250.0,0.1023
2265.0,0.1008
2280.0,0.0993
2295.0,0.0978
2310.0,0.0964
2325.0,0.095
2340.0,0.0936
2355.0,0.0922
2370.0,0.0908
2385.0,0.0895
2400.0,0.0882
2415.0,0.0869
2430.0,0.0856
2445.0,0.0843
2460.0,0.0831
2475.0,0.0819
2490.0,0.0807
2505.0,0.0795
2520.0,0.0783
2535.0,0.0771
2550.0,0.076
2565.0,0.0749
2580.0,0.0738
2595.0,0.0727
2610.0,0.0716
2625.0,0.0706
2640.0,0.0695
2655.0,0.0685
2670.0,0.0675
2685.0,0.0665
2700.0,0.0655
2715.0,0.0646
2730.0,0.0636
2745.0,0.0627
2760.0,0.0618
2775.0,0.0608
2790.0,0.06
2805.0,0.0591
2820.0,0.0582
2835.0,0.0573
2850.0,0.0565
2865.0,0.0557
2880.0,0.0548
2895.0,0.054
2910.0,0.0532
2925.0,0.0525
2940.0,0.0517
2955.0,0.0509
2970.0,0.0502
2985.0,0.0494
3000.0,0.0487
3015.0,0.048
3030.0,0.0473
3045.0,0.0466
3060.0,0.0459
3075.0,0.0452
3090.0,0.0446
3105.0,0.0439
3120.0,0.0433
3135.0,0.0426
3150.0,0.042
3165.0,0.0414
3180.0,0.0408
3195.0,0.0402
3210.0,0.0396
3225.0,0.039
3240.0,0.0384
3255.0,0.0379
3270.0,0.0373
3285.0,0.0367
3300.0,0.0362
3315.0,0.0357
3330.0,0.0351
3345.0,0.0346
3360.0,0.0341
3375.0,0.0336
3390.0,0.0331
3405.0,0.0326
3420.0,0.0322
3435.0,0.0317
3450.0,0.0312
3465.0,0.0308
3480.0,0.0303
3495.0,0.0299
3510.0,0.0294
3525.0,0.029
3540.0,0.0286
3555.0,0.0281
3570.0,0.0277
3585.0,0.0273
3600.0,0.0269
3615.0,0.0265
3630.0,0.0261
3645.0,0.0257
3660.0,0.0254
3675.0,0.025
3690.0,0.0246
3705.0,0.0243
3720.0,0.0239
3735.0,0.0235
3750.0,0.0232
3765.0,0.0229
3780.0,0.0225
3795.0,0.0222
3810.0,0.0219
3825.0,0.0215
3840.0,0.0212
3855.0,0.0209
3870.0,0.0206
3885.0,0.0203
3900.0,0.02
3915.0,0.0197
3930.0,0.0194
3945.0,0.0191
3960.0,0.0189
3975.0,0.0186
3990.0,0.0183
4005.0,0.018
4020.0,0.0178
4035.0,0.0175
4050.0,0.0172
4065.0,0.017
4080.0,0.0167
4095.0,0.0165
4110.0,0.0163
4125.0,0.016
4140.0,0.0158
4155.0,0.0155
4170.0,0.0153
4185.0,0.0151
4200.0,0.0149
4215.0,0.0146
4230.0,0.0144
4245.0,0.0142
4260.0,0.014
4275.0,0.0138
4290.0,0.0136
4305.0,0.0134
4320.0,0.0132
4335.0,0.013
4350.0,0.0128
4365.0,0.0126
4380.0,0.0124
4395.0,0.0123
4410.0,0.0121
4425.0,0.0119
4440.0,0.0117
4455.0,0.0116
4470.0,0.0114
4485.0,0.0112
4500.0,0.0111
4515.0,0.0109
4530.0,0.0107
4545.0,0.0106
4560.0,0.0104
4575.0,0.0103
4590.0,0.0101
4605.0,0.01
4620.0,0.0098
4635.0,0.0097
4650.0,0.0095
4665.0,0.0094
4680.0,0.0092
4695.0,0.0091
4710.0,0.009
4725.0,0.0088
4740.0,0.0087
4755.0,0.0086
4770.0,0.0085
4785.0,0.0083
4800.0,0.0082
4815.0,0.0081
4830.0,0.008
4845.0,0.0079
4860.0,0.0077
4875.0,0.0076
4890.0,0.0075
4905.0,0.0074
4920.0,0.0073
4935.0,0.0072
4950.0,0.0071
4965.0,0.007
4980.0,0.0069
4995.0,0.0068
5010.0,0.0067
5025.0,0.0066
5040.0,0.0065
5055.0,0.0064
5070.0,0.0063
5085.0,0.0062
5100.0,0.0061
5115.0,0.006
5130.0,0.0059
5145.0,0.0058
5160.0,0.0058
5175.0,0.0057
5190.0,0.0056
5205.0,0.0055
5220.0,0.0054
5235.0,0.0053
5250.0,0.0053
5265.0,0.0052
5280.0,0.0051
5295.0,0.005
5310.0,0.005
5325.0,0.0049
5340.0,0.0048
5355.0,0.0047
5370.0,0.0047
5385.0,0.0046
5400.0,0.0045
5415.0,0.0045
5430.0,0.0044
5445.0,0.0043
5460.0,0.0043
5475.0,0.0042
5490.0,0.0042
5505.0,0.0041
5520.0,0.004
5535.0,0.004
5550.0,0.0039
5565.0,0.0039
5580.0,0.0038
5595.0,0.0037
5610.0,0.0037
5625.0,0.0036
5640.0,0.0036
5655.0,0.0035
5670.0,0.0035
5685.0,0.0034
5700.0,0.0034
5715.0,0.0033
5730.0,0.0033
5745.0,0.0032
5760.0,0.0032
5775.0,0.0031
5790.0,0.0031
5805.0,0.003
5820.0,0.003
5835.0,0.003
5850.0,0.0029
5865.0,0.0029
5880.0,0.0028
5895.0,0.0028
5910.0,0.0027
5925.0,0.0027
5940.0,0.0027
5955.0,0.0026
5970.0,0.0026
5985.0,0.0025
6000.0,0.0025
6015.0,0.0025
6030.0,0.0024
6105.0,0.0
