# Synthetic flood depth hydrograph — case 030
# type=flash  T_peak=170.2 min  h_peak=0.402 m  alpha=1.870  recession_ratio=1.666
# time (min), depth (m)
0.0,0.0
5.0,0.0034
10.0,0.0117
15.0,0.0236
20.0,0.0382
25.0,0.0549
30.0,0.0731
35.0,0.0923
40.0,0.1121
45.0,0.1323
50.0,0.1524
55.0,0.1724
60.0,0.1921
65.0,0.2112
70.0,0.2296
75.0,0.2472
80.0,0.264
85.0,0.2799
90.0,0.2948
95.0,0.3087
100.0,0.3217
105.0,0.3335
110.0,0.3444
115.0,0.3542
120.0,0.3631
125.0,0.3709
130.0,0.3778
135.0,0.3838
140.0,0.3888
145.0,0.393
150.0,0.3963
155.0,0.3988
160.0,0.4006
165.0,0.4016
170.0,0.402
175.0,0.3715
180.0,0.3426
185.0,0.3158
190.0,0.2912
195.0,0.2685
200.0,0.2475
205.0,0.2282
210.0,0.2104
215.0,0.194
220.0,0.1789
225.0,0.1649
230.0,0.152
235.0,0.1402
240.0,0.1292
245.0,0.1192
250.0,0.1099
255.0,0.1013
260.0,0.0934
265.0,0.0861
270.0,0.0794
275.0,0.0732
280.0,0.0675
285.0,0.0622
290.0,0.0574
295.0,0.0529
300.0,0.0488
305.0,0.045
310.0,0.0415
315.0,0.0382
320.0,0.0352
325.0,0.0325
330.0,0.03
335.0,0.0276
340.0,0.0255
345.0,0.0235
350.0,0.0216
355.0,0.02
360.0,0.0184
365.0,0.017
370.0,0.0156
375.0,0.0144
380.0,0.0133
385.0,0.0123
390.0,0.0113
395.0,0.0104
400.0,0.0096
405.0,0.0089
410.0,0.0082
415.0,0.0075
420.0,0.0069
425.0,0.0064
430.0,0.0059
435.0,0.0054
440.0,0.005
445.0,0.0046
450.0,0.0043
455.0,0.0039
460.0,0.0036
465.0,0.0033
470.0,0.0031
495.0,0.0
