# Synthetic flood depth hydrograph — case 053
# type=flash  T_peak=71.7 min  h_peak=0.301 m  alpha=2.865  recession_ratio=1.798
# time (min), depth (m)
0.0,0.0
5.0,0.0021
10.0,0.0125
15.0,0.0328
20.0,0.0613
25.0,0.0951
30.0,0.1313
35.0,0.1672
40.0,0.2007
45.0,0.2303
50.0,0.2551
55.0,0.2744
60.0,0.2884
65.0,0.297
70.0,0.3008
75.0,0.2675
80.0,0.2238
85.0,0.1872
90.0,0.1566
95.0,0.1309
100.0,0.1095
105.0,0.0916
110.0,0.0766
115.0,0.0641
120.0,0.0536
125.0,0.0448
130.0,0.0375
135.0,0.0314
140.0,0.0262
145.0,0.0219
150.0,0.0184
155.0,0.0154
160.0,0.0128
165.0,0.0107
170.0,0.009
175.0,0.0075
180.0,0.0063
185.0,0.0053
190.0,0.0044
195.0,0.0037
200.0,0.0031
205.0,0.0026
210.0,0.0022
215.0,0.0018
240.0,0.0
