# Synthetic flood depth hydrograph — case 018
# type=prolonged  T_peak=2745.9 min  h_peak=0.633 m  alpha=2.447  recession_ratio=2.235
# time (min), depth (m)
0.0,0.0
60.0,0.0006
120.0,0.0031
180.0,0.0079
240.0,0.0152
300.0,0.0248
360.0,0.0368
420.0,0.0508
480.0,0.0668
540.0,0.0845
600.0,0.1037
660.0,0.1241
720.0,0.1455
780.0,0.1678
840.0,0.1907
900.0,0.214
960.0,0.2375
1020.0,0.2612
1080.0,0.2848
1140.0,0.3081
1200.0,0.3311
1260.0,0.3537
1320.0,0.3757
1380.0,0.3971
1440.0,0.4177
1500.0,0.4376
1560.0,0.4566
1620.0,0.4747
1680.0,0.4918
1740.0,0.508
1800.0,0.5232
1860.0,0.5374
1920.0,0.5506
1980.0,0.5627
2040.0,0.5739
2100.0,0.584
2160.0,0.5931
2220.0,0.6012
2280.0,0.6083
2340.0,0.6145
2400.0,0.6197
2460.0,0.624
2520.0,0.6275
2580.0,0.6301
2640.0,0.6318
2700.0,0.6328
2760.0,0.6263
2820.0,0.5987
2880.0,0.5724
2940.0,0.5472
3000.0,0.5231
3060.0,0.5001
3120.0,0.4781
3180.0,0.457
3240.0,0.4369
3300.0,0.4177
3360.0,0.3993
3420.0,0.3817
3480.0,0.3649
3540.0,0.3488
3600.0,0.3335
3660.0,0.3188
3720.0,0.3047
3780.0,0.2913
3840.0,0.2785
3900.0,0.2662
3960.0,0.2545
4020.0,0.2433
4080.0,0.2326
4140.0,0.2224
4200.0,0.2126
4260.0,0.2032
4320.0,0.1943
4380.0,0.1857
4440.0,0.1775
4500.0,0.1697
4560.0,0.1623
4620.0,0.1551
4680.0,0.1483
4740.0,0.1418
4800.0,0.1355
4860.0,0.1295
4920.0,0.1238
4980.0,0.1184
5040.0,0.1132
5100.0,0.1082
5160.0,0.1034
5220.0,0.0989
5280.0,0.0945
5340.0,0.0904
5400.0,0.0864
5460.0,0.0826
5520.0,0.0789
5580.0,0.0755
5640.0,0.0721
5700.0,0.069
5760.0,0.0659
5820.0,0.063
5880.0,0.0603
5940.0,0.0576
6000.0,0.0551
6060.0,0.0526
6120.0,0.0503
6180.0,0.0481
6240.0,0.046
6300.0,0.044
6360.0,0.042
6420.0,0.0402
6480.0,0.0384
6540.0,0.0367
6600.0,0.0351
6660.0,0.0336
6720.0,0.0321
6780.0,0.0307
6840.0,0.0293
6900.0,0.028
6960.0,0.0268
7020.0,0.0256
7080.0,0.0245
7140.0,0.0234
7200.0,0.0224
7260.0,0.0214
7320.0,0.0205
7380.0,0.0196
7440.0,0.0187
7500.0,0.0179
7560.0,0.0171
7620.0,0.0163
7680.0,0.0156
7740.0,0.0149
7800.0,0.0143
7860.0,0.0136
7920.0,0.013
7980.0,0.0125
8040.0,0.0119
8100.0,0.0114
8160.0,0.0109
8220.0,0.0104
8280.0,0.01
8340.0,0.0095
8400.0,0.0091
8460.0,0.0087
8520.0,0.0083
8580.0,0.0079
8640.0,0.0076
8700.0,0.0073
8760.0,0.0069
8820.0,0.0066
8880.0,0.0063
8940.0,0.0061
9000.0,0.0058
9060.0,0.0055
9360.0,0.0
