# Synthetic flood depth hydrograph — case 073
# type=short  T_peak=1146.4 min  h_peak=0.487 m  alpha=2.673  recession_ratio=2.648
# time (min), depth (m)
0.0,0.0
15.0,0.0001
30.0,0.0004
45.0,0.0011
60.0,0.0023
75.0,0.004
90.0,0.0064
105.0,0.0093
120.0,0.0128
135.0,0.0169
150.0,0.0217
165.0,0.027
180.0,0.0329
195.0,0.0393
210.0,0.0463
225.0,0.0537
240.0,0.0617
255.0,0.07
270.0,0.0788
285.0,0.0879
300.0,0.0974
315.0,0.1071
330.0,0.1171
345.0,0.1274
360.0,0.1378
375.0,0.1484
390.0,0.1592
405.0,0.17
420.0,0.1809
435.0,0.1919
450.0,0.2028
465.0,0.2138
480.0,0.2248
495.0,0.2356
510.0,0.2464
525.0,0.2571
540.0,0.2677
555.0,0.2782
570.0,0.2885
585.0,0.2986
600.0,0.3085
615.0,0.3182
630.0,0.3277
645.0,0.337
660.0,0.346
675.0,0.3548
690.0,0.3634
705.0,0.3716
720.0,0.3796
735.0,0.3874
750.0,0.3948
765.0,0.402
780.0,0.4088
795.0,0.4154
810.0,0.4217
825.0,0.4276
840.0,0.4333
855.0,0.4387
870.0,0.4438
885.0,0.4486
900.0,0.453
915.0,0.4572
930.0,0.4611
945.0,0.4647
960.0,0.4681
975.0,0.4711
990.0,0.4738
1005.0,0.4763
1020.0,0.4785
1035.0,0.4805
1050.0,0.4822
1065.0,0.4836
1080.0,0.4847
1095.0,0.4857
1110.0,0.4863
1125.0,0.4868
1140.0,0.487
1155.0,0.4807
1170.0,0.4698
1185.0,0.4593
1200.0,0.4489
1215.0,0.4388
1230.0,0.429
1245.0,0.4193
1260.0,0.4099
1275.0,0.4007
1290.0,0.3916
1305.0,0.3828
1320.0,0.3742
1335.0,0.3658
1350.0,0.3576
1365.0,0.3495
1380.0,0.3417
1395.0,0.334
1410.0,0.3265
1425.0,0.3191
1440.0,0.3119
1455.0,0.3049
1470.0,0.2981
1485.0,0.2913
1500.0,0.2848
1515.0,0.2784
1530.0,0.2721
1545.0,0.266
1560.0,0.26
1575.0,0.2542
1590.0,0.2484
1605.0,0.2429
1620.0,0.2374
1635.0,0.2321
1650.0,0.2268
1665.0,0.2217
1680.0,0.2167
1695.0,0.2119
1710.0,0.2071
1725.0,0.2024
1740.0,0.1979
