# Synthetic flood depth hydrograph — case 003
# type=prolonged  T_peak=7171.5 min  h_peak=0.813 m  alpha=1.727  recession_ratio=4.038
# time (min), depth (m)
0.0,0.0
60.0,0.0012
120.0,0.0038
180.0,0.0075
240.0,0.0122
300.0,0.0177
360.0,0.0239
420.0,0.0308
480.0,0.0382
540.0,0.0461
600.0,0.0545
660.0,0.0634
720.0,0.0726
780.0,0.0821
840.0,0.092
900.0,0.1022
960.0,0.1126
1020.0,0.1232
1080.0,0.134
1140.0,0.1451
1200.0,0.1562
1260.0,0.1675
1320.0,0.1789
1380.0,0.1904
1440.0,0.202
1500.0,0.2137
1560.0,0.2253
1620.0,0.2371
1680.0,0.2488
1740.0,0.2606
1800.0,0.2723
1860.0,0.2841
1920.0,0.2958
1980.0,0.3074
2040.0,0.319
2100.0,0.3306
2160.0,0.3421
2220.0,0.3536
2280.0,0.3649
2340.0,0.3762
2400.0,0.3873
2460.0,0.3984
2520.0,0.4094
2580.0,0.4203
2640.0,0.431
2700.0,0.4416
2760.0,0.4521
2820.0,0.4625
2880.0,0.4728
2940.0,0.4829
3000.0,0.4928
3060.0,0.5027
3120.0,0.5124
3180.0,0.5219
3240.0,0.5313
3300.0,0.5405
3360.0,0.5496
3420.0,0.5586
3480.0,0.5673
3540.0,0.5759
3600.0,0.5844
3660.0,0.5927
3720.0,0.6008
3780.0,0.6088
3840.0,0.6166
3900.0,0.6243
3960.0,0.6317
4020.0,0.6391
4080.0,0.6462
4140.0,0.6532
4200.0,0.66
4260.0,0.6667
4320.0,0.6732
4380.0,0.6796
4440.0,0.6857
4500.0,0.6917
4560.0,0.6976
4620.0,0.7033
4680.0,0.7088
4740.0,0.7142
4800.0,0.7194
4860.0,0.7245
4920.0,0.7294
4980.0,0.7341
5040.0,0.7387
5100.0,0.7431
5160.0,0.7474
5220.0,0.7516
5280.0,0.7555
5340.0,0.7594
5400.0,0.7631
5460.0,0.7666
5520.0,0.77
5580.0,0.7733
5640.0,0.7764
5700.0,0.7794
5760.0,0.7822
5820.0,0.7849
5880.0,0.7875
5940.0,0.7899
6000.0,0.7922
6060.0,0.7944
6120.0,0.7964
6180.0,0.7983
6240.0,0.8001
6300.0,0.8018
6360.0,0.8033
6420.0,0.8047
6480.0,0.806
6540.0,0.8072
6600.0,0.8083
6660.0,0.8093
6720.0,0.8101
6780.0,0.8108
6840.0,0.8115
6900.0,0.812
6960.0,0.8124
7020.0,0.8127
7080.0,0.8129
7140.0,0.813
7200.0,0.8093
7260.0,0.8016
7320.0,0.794
7380.0,0.7865
7440.0,0.779
7500.0,0.7716
7560.0,0.7643
7620.0,0.757
7680.0,0.7498
7740.0,0.7427
7800.0,0.7357
7860.0,0.7287
7920.0,0.7218
7980.0,0.7149
8040.0,0.7081
8100.0,0.7014
8160.0,0.6947
8220.0,0.6881
8280.0,0.6816
8340.0,0.6751
8400.0,0.6687
8460.0,0.6624
8520.0,0.6561
8580.0,0.6499
8640.0,0.6437
8700.0,0.6376
8760.0,0.6315
8820.0,0.6255
8880.0,0.6196
8940.0,0.6137
9000.0,0.6079
9060.0,0.6021
9120.0,0.5964
9180.0,0.5907
9240.0,0.5851
9300.0,0.5795
9360.0,0.574
9420.0,0.5686
9480.0,0.5632
9540.0,0.5578
9600.0,0.5525
9660.0,0.5473
9720.0,0.5421
9780.0,0.537
9840.0,0.5319
9900.0,0.5268
9960.0,0.5218
10020.0,0.5168
10080.0,0.5119
10140.0,0.5071
10200.0,0.5023
10260.0,0.4975
10320.0,0.4928
10380.0,0.4881
10440.0,0.4835
10500.0,0.4789
10560.0,0.4743
10620.0,0.4698
10680.0,0.4654
10740.0,0.4609
10800.0,0.4566
10860.0,0.4522
10920.0,0.4479
10980.0,0.4437
11040.0,0.4395
11100.0,0.4353
11160.0,0.4312
11220.0,0.4271
11280.0,0.423
11340.0,0.419
11400.0,0.415
11460.0,0.4111
11520.0,0.4072
11580.0,0.4033
11640.0,0.3995
11700.0,0.3957
11760.0,0.3919
11820.0,0.3882
11880.0,0.3845
11940.0,0.3809
12000.0,0.3772
12060.0,0.3737
12120.0,0.3701
12180.0,0.3666
12240.0,0.3631
12300.0,0.3597
12360.0,0.3562
12420.0,0.3529
12480.0,0.3495
12540.0,0.3462
12600.0,0.3429
12660.0,0.3397
12720.0,0.3364
12780.0,0.3332
12840.0,0.3301
12900.0,0.3269
12960.0,0.3238
13020.0,0.3208
13080.0,0.3177
13140.0,0.3147
13200.0,0.3117
13260.0,0.3087
13320.0,0.3058
13380.0,0.3029
13440.0,0.3
13500.0,0.2972
13560.0,0.2944
13620.0,0.2916
13680.0,0.2888
13740.0,0.2861
13800.0,0.2833
13860.0,0.2806
13920.0,0.278
13980.0,0.2753
14040.0,0.2727
14100.0,0.2701
14160.0,0.2676
14220.0,0.265
14280.0,0.2625
14340.0,0.26
14400.0,0.2576
14460.0,0.2551
14520.0,0.2527
14580.0,0.2503
14640.0,0.2479
14700.0,0.2456
14760.0,0.2432
14820.0,0.2409
14880.0,0.2386
14940.0,0.2364
15000.0,0.2341
15060.0,0.2319
15120.0,0.2297
15180.0,0.2275
15240.0,0.2253
15300.0,0.2232
15360.0,0.2211
15420.0,0.219
15480.0,0.2169
15540.0,0.2148
15600.0,0.2128
15660.0,0.2108
15720.0,0.2088
15780.0,0.2068
15840.0,0.2048
15900.0,0.2029
15960.0,0.201
16020.0,0.1991
16080.0,0.1972
16140.0,0.1953
16200.0,0.1934
16260.0,0.1916
16320.0,0.1898
16380.0,0.188
16440.0,0.1862
16500.0,0.1844
16560.0,0.1827
16620.0,0.1809
16680.0,0.1792
16740.0,0.1775
16800.0,0.1758
16860.0,0.1742
16920.0,0.1725
16980.0,0.1709
17040.0,0.1693
17100.0,0.1676
17160.0,0.1661
17220.0,0.1645
17280.0,0.1629
17340.0,0.1614
17400.0,0.1598
17460.0,0.1583
17520.0,0.1568
17580.0,0.1553
17640.0,0.1538
17700.0,0.1524
17760.0,0.1509
17820.0,0.1495
17880.0,0.1481
17940.0,0.1467
18000.0,0.1453
18060.0,0.1439
18120.0,0.1425
18180.0,0.1412
18240.0,0.1398
18300.0,0.1385
18360.0,0.1372
18420.0,0.1359
18480.0,0.1346
18540.0,0.1333
18600.0,0.1321
18660.0,0.1308
18720.0,0.1296
18780.0,0.1283
18840.0,0.1271
18900.0,0.1259
18960.0,0.1247
19020.0,0.1235
19080.0,0.1224
19140.0,0.1212
19200.0,0.12
19260.0,0.1189
19320.0,0.1178
19380.0,0.1167
19440.0,0.1156
19500.0,0.1145
19560.0,0.1134
19620.0,0.1123
19680.0,0.1112
19740.0,0.1102
19800.0,0.1091
19860.0,0.1081
19920.0,0.1071
19980.0,0.106
20040.0,0.105
20100.0,0.104
20160.0,0.1031
20220.0,0.1021
20280.0,0.1011
20340.0,0.1001
20400.0,0.0992
20460.0,0.0983
20520.0,0.0973
20580.0,0.0964
20640.0,0.0955
20700.0,0.0946
20760.0,0.0937
