# Synthetic flood depth hydrograph — case 006
# type=short  T_peak=1152.8 min  h_peak=0.419 m  alpha=2.751  recession_ratio=2.027
# time (min), depth (m)
0.0,0.0
15.0,0.0
30.0,0.0003
45.0,0.0008
60.0,0.0017
75.0,0.003
90.0,0.0048
105.0,0.007
120.0,0.0098
135.0,0.013
150.0,0.0168
165.0,0.0211
180.0,0.0258
195.0,0.031
210.0,0.0367
225.0,0.0428
240.0,0.0494
255.0,0.0563
270.0,0.0635
285.0,0.0711
300.0,0.079
315.0,0.0872
330.0,0.0956
345.0,0.1042
360.0,0.1131
375.0,0.1221
390.0,0.1312
405.0,0.1404
420.0,0.1497
435.0,0.1591
450.0,0.1685
465.0,0.178
480.0,0.1874
495.0,0.1968
510.0,0.2061
525.0,0.2153
540.0,0.2245
555.0,0.2336
570.0,0.2425
585.0,0.2513
600.0,0.26
615.0,0.2685
630.0,0.2768
645.0,0.2849
660.0,0.2928
675.0,0.3006
690.0,0.3081
705.0,0.3153
720.0,0.3224
735.0,0.3292
750.0,0.3358
765.0,0.3421
780.0,0.3482
795.0,0.354
810.0,0.3596
825.0,0.3649
840.0,0.37
855.0,0.3748
870.0,0.3793
885.0,0.3836
900.0,0.3877
915.0,0.3914
930.0,0.3949
945.0,0.3982
960.0,0.4012
975.0,0.404
990.0,0.4065
1005.0,0.4088
1020.0,0.4108
1035.0,0.4126
1050.0,0.4142
1065.0,0.4155
1080.0,0.4166
1095.0,0.4175
1110.0,0.4182
1125.0,0.4187
1140.0,0.4189
1155.0,0.4172
1170.0,0.405
1185.0,0.3932
1200.0,0.3818
1215.0,0.3707
1230.0,0.3599
1245.0,0.3494
1260.0,0.3392
1275.0,0.3293
1290.0,0.3197
1305.0,0.3104
1320.0,0.3014
1335.0,0.2926
1350.0,0.2841
1365.0,0.2758
1380.0,0.2678
1395.0,0.26
1410.0,0.2524
1425.0,0.245
1440.0,0.2379
1455.0,0.231
1470.0,0.2243
1485.0,0.2177
1500.0,0.2114
1515.0,0.2052
1530.0,0.1992
1545.0,0.1934
1560.0,0.1878
1575.0,0.1823
1590.0,0.177
1605.0,0.1719
1620.0,0.1669
1635.0,0.162
1650.0,0.1573
1665.0,0.1527
1680.0,0.1483
1695.0,0.1439
1710.0,0.1397
1725.0,0.1357
1740.0,0.1317
1755.0,0.1279
1770.0,0.1242
1785.0,0.1205
1800.0,0.117
1815.0,0.1136
1830.0,0.1103
1845.0,0.1071
1860.0,0.104
1875.0,0.1009
1890.0,0.098
1905.0,0.0952
1920.0,0.0924
1935.0,0.0897
1950.0,0.0871
1965.0,0.0845
1980.0,0.0821
1995.0,0.0797
2010.0,0.0774
2025.0,0.0751
2040.0,0.0729
2055.0,0.0708
2070.0,0.0687
2085.0,0.0667
2100.0,0.0648
2115.0,0.0629
2130.0,0.0611
2145.0,0.0593
2160.0,0.0576
2175.0,0.0559
2190.0,0.0543
2205.0,0.0527
2220.0,0.0511
2235.0,0.0497
2250.0,0.0482
2265.0,0.0468
2280.0,0.0454
2295.0,0.0441
2310.0,0.0428
2325.0,0.0416
2340.0,0.0404
2355.0,0.0392
2370.0,0.0381
2385.0,0.0369
2400.0,0.0359
2415.0,0.0348
2430.0,0.0338
2445.0,0.0328
2460.0,0.0319
2475.0,0.0309
2490.0,0.03
2505.0,0.0292
2520.0,0.0283
2535.0,0.0275
2550.0,0.0267
2565.0,0.0259
2580.0,0.0252
2595.0,0.0244
2610.0,0.0237
2625.0,0.023
2640.0,0.0224
2655.0,0.0217
2670.0,0.0211
2685.0,0.0205
2700.0,0.0199
2715.0,0.0193
2730.0,0.0187
2745.0,0.0182
2760.0,0.0176
2775.0,0.0171
2790.0,0.0166
2805.0,0.0161
2820.0,0.0157
2835.0,0.0152
2850.0,0.0148
2865.0,0.0143
2880.0,0.0139
2895.0,0.0135
2910.0,0.0131
2925.0,0.0127
2940.0,0.0124
2955.0,0.012
2970.0,0.0117
2985.0,0.0113
3000.0,0.011
3015.0,0.0107
3030.0,0.0104
3045.0,0.0101
3060.0,0.0098
3075.0,0.0095
3090.0,0.0092
3105.0,0.0089
3120.0,0.0087
3135.0,0.0084
3150.0,0.0082
3165.0,0.0079
3180.0,0.0077
3195.0,0.0075
3210.0,0.0073
3225.0,0.0071
3240.0,0.0069
3255.0,0.0067
3270.0,0.0065
3285.0,0.0063
3300.0,0.0061
3315.0,0.0059
3330.0,0.0057
3345.0,0.0056
3360.0,0.0054
3375.0,0.0053
3390.0,0.0051
3405.0,0.0049
3420.0,0.0048
3435.0,0.0047
3450.0,0.0045
3465.0,0.0044
3480.0,0.0043
3495.0,0.0041
3510.0,0.004
3525.0,0.0039
3540.0,0.0038
3615.0,0.0
