# Synthetic flood depth hydrograph — case 033
# type=short  T_peak=435.2 min  h_peak=0.495 m  alpha=3.506  recession_ratio=3.362
# time (min), depth (m)
0.0,0.0
15.0,0.0001
30.0,0.0011
45.0,0.004
60.0,0.0098
75.0,0.0189
90.0,0.0318
105.0,0.0484
120.0,0.0685
135.0,0.0917
150.0,0.1176
165.0,0.1456
180.0,0.1751
195.0,0.2054
210.0,0.236
225.0,0.2664
240.0,0.296
255.0,0.3244
270.0,0.3513
285.0,0.3763
300.0,0.3992
315.0,0.4197
330.0,0.4379
345.0,0.4535
360.0,0.4665
375.0,0.477
390.0,0.485
405.0,0.4906
420.0,0.4939
435.0,0.495
450.0,0.4725
465.0,0.4507
480.0,0.4299
495.0,0.4101
510.0,0.3912
525.0,0.3731
540.0,0.3559
555.0,0.3395
570.0,0.3239
585.0,0.3089
600.0,0.2947
615.0,0.2811
630.0,0.2681
645.0,0.2558
660.0,0.244
675.0,0.2327
690.0,0.222
705.0,0.2118
720.0,0.202
735.0,0.1927
750.0,0.1838
765.0,0.1753
780.0,0.1672
795.0,0.1595
810.0,0.1522
825.0,0.1451
840.0,0.1385
855.0,0.1321
870.0,0.126
885.0,0.1202
900.0,0.1146
915.0,0.1093
930.0,0.1043
945.0,0.0995
960.0,0.0949
975.0,0.0905
990.0,0.0864
1005.0,0.0824
1020.0,0.0786
1035.0,0.0749
1050.0,0.0715
1065.0,0.0682
1080.0,0.0651
1095.0,0.0621
1110.0,0.0592
1125.0,0.0565
1140.0,0.0539
1155.0,0.0514
1170.0,0.049
1185.0,0.0467
1200.0,0.0446
1215.0,0.0425
1230.0,0.0406
1245.0,0.0387
1260.0,0.0369
1275.0,0.0352
1290.0,0.0336
1305.0,0.032
1320.0,0.0306
1335.0,0.0292
1350.0,0.0278
1365.0,0.0265
1380.0,0.0253
1395.0,0.0241
1410.0,0.023
1425.0,0.022
1440.0,0.0209
1455.0,0.02
1470.0,0.0191
1485.0,0.0182
1500.0,0.0173
1515.0,0.0165
1530.0,0.0158
1545.0,0.0151
1560.0,0.0144
1575.0,0.0137
1590.0,0.0131
1605.0,0.0125
1620.0,0.0119
1635.0,0.0113
1650.0,0.0108
1665.0,0.0103
1680.0,0.0098
1695.0,0.0094
1710.0,0.009
1725.0,0.0085
1740.0,0.0081
1755.0,0.0078
1770.0,0.0074
1785.0,0.0071
1800.0,0.0067
1815.0,0.0064
1830.0,0.0061
1845.0,0.0059
1860.0,0.0056
1875.0,0.0053
1890.0,0.0051
1905.0,0.0048
1920.0,0.0046
1935.0,0.0044
1950.0,0.0042
2025.0,0.0
