# Synthetic flood depth hydrograph — case 036
# type=short  T_peak=1392.2 min  h_peak=0.200 m  alpha=3.848  recession_ratio=2.572
# time (min), depth (m)
0.0,0.0
15.0,0.0
30.0,0.0
45.0,0.0
60.0,0.0
75.0,0.0001
90.0,0.0002
105.0,0.0003
120.0,0.0005
135.0,0.0008
150.0,0.0012
165.0,0.0016
180.0,0.0022
195.0,0.0028
210.0,0.0036
225.0,0.0045
240.0,0.0056
255.0,0.0068
270.0,0.0081
285.0,0.0095
300.0,0.0111
315.0,0.0129
330.0,0.0148
345.0,0.0169
360.0,0.019
375.0,0.0214
390.0,0.0239
405.0,0.0265
420.0,0.0292
435.0,0.0321
450.0,0.035
465.0,0.0381
480.0,0.0414
495.0,0.0447
510.0,0.0481
525.0,0.0515
540.0,0.0551
555.0,0.0588
570.0,0.0625
585.0,0.0662
600.0,0.07
615.0,0.0739
630.0,0.0778
645.0,0.0817
660.0,0.0856
675.0,0.0896
690.0,0.0935
705.0,0.0975
720.0,0.1014
735.0,0.1053
750.0,0.1092
765.0,0.1131
780.0,0.1169
795.0,0.1207
810.0,0.1244
825.0,0.1281
840.0,0.1317
855.0,0.1352
870.0,0.1387
885.0,0.1421
900.0,0.1455
915.0,0.1487
930.0,0.1519
945.0,0.155
960.0,0.158
975.0,0.1609
990.0,0.1637
1005.0,0.1664
1020.0,0.169
1035.0,0.1715
1050.0,0.1739
1065.0,0.1762
1080.0,0.1784
1095.0,0.1805
1110.0,0.1825
1125.0,0.1844
1140.0,0.1861
1155.0,0.1878
1170.0,0.1893
1185.0,0.1907
1200.0,0.1921
1215.0,0.1933
1230.0,0.1944
1245.0,0.1954
1260.0,0.1963
1275.0,0.1971
1290.0,0.1978
1305.0,0.1984
1320.0,0.1989
1335.0,0.1993
1350.0,0.1996
1365.0,0.1999
1380.0,0.2
1395.0,0.1993
1410.0,0.1955
1425.0,0.1917
1440.0,0.1881
1455.0,0.1845
1470.0,0.181
1485.0,0.1775
1500.0,0.1741
1515.0,0.1708
1530.0,0.1675
1545.0,0.1643
1560.0,0.1612
1575.0,0.1581
1590.0,0.1551
1605.0,0.1521
1620.0,0.1492
1635.0,0.1464
1650.0,0.1436
1665.0,0.1408
1680.0,0.1381
1695.0,0.1355
1710.0,0.1329
1725.0,0.1304
1740.0,0.1279
1755.0,0.1254
1770.0,0.123
1785.0,0.1207
1800.0,0.1184
1815.0,0.1161
1830.0,0.1139
1845.0,0.1117
1860.0,0.1096
1875.0,0.1075
1890.0,0.1054
1905.0,0.1034
1920.0,0.1014
1935.0,0.0995
1950.0,0.0976
1965.0,0.0957
1980.0,0.0939
1995.0,0.0921
2010.0,0.0904
2025.0,0.0886
2040.0,0.0869
2055.0,0.0853
2070.0,0.0836
2085.0,0.082
2100.0,0.0805
2115.0,0.0789
2130.0,0.0774
2145.0,0.076
2160.0,0.0745
2175.0,0.0731
2190.0,0.0717
2205.0,0.0703
2220.0,0.069
2235.0,0.0677
2250.0,0.0664
2265.0,0.0651
2280.0,0.0638
2295.0,0.0626
2310.0,0.0614
2325.0,0.0603
2340.0,0.0591
2355.0,0.058
2370.0,0.0569
2385.0,0.0558
2400.0,0.0547
2415.0,0.0537
2430.0,0.0526
2445.0,0.0516
2460.0,0.0507
2475.0,0.0497
2490.0,0.0487
2505.0,0.0478
2520.0,0.0469
2535.0,0.046
2550.0,0.0451
2565.0,0.0443
2580.0,0.0434
2595.0,0.0426
2610.0,0.0418
2625.0,0.041
2640.0,0.0402
2655.0,0.0394
2670.0,0.0387
2685.0,0.0379
2700.0,0.0372
2715.0,0.0365
2730.0,0.0358
2745.0,0.0351
2760.0,0.0344
2775.0,0.0338
2790.0,0.0331
2805.0,0.0325
2820.0,0.0319
2835.0,0.0313
2850.0,0.0307
2865.0,0.0301
2880.0,0.0295
2895.0,0.0289
2910.0,0.0284
2925.0,0.0279
2940.0,0.0273
2955.0,0.0268
2970.0,0.0263
2985.0,0.0258
3000.0,0.0253
3015.0,0.0248
3030.0,0.0243
3045.0,0.0239
3060.0,0.0234
3075.0,0.023
3090.0,0.0225
3105.0,0.0221
3120.0,0.0217
3135.0,0.0213
3150.0,0.0209
3165.0,0.0205
3180.0,0.0201
3195.0,0.0197
3210.0,0.0193
3225.0,0.0189
3240.0,0.0186
3255.0,0.0182
3270.0,0.0179
3285.0,0.0175
3300.0,0.0172
3315.0,0.0169
3330.0,0.0165
3345.0,0.0162
3360.0,0.0159
3375.0,0.0156
3390.0,0.0153
3405.0,0.015
3420.0,0.0147
3435.0,0.0145
3450.0,0.0142
3465.0,0.0139
3480.0,0.0136
3495.0,0.0134
3510.0,0.0131
3525.0,0.0129
3540.0,0.0126
3555.0,0.0124
3570.0,0.0122
3585.0,0.0119
3600.0,0.0117
3615.0,0.0115
3630.0,0.0112
3645.0,0.011
3660.0,0.0108
3675.0,0.0106
3690.0,0.0104
3705.0,0.0102
3720.0,0.01
3735.0,0.0098
3750.0,0.0096
3765.0,0.0095
3780.0,0.0093
3795.0,0.0091
3810.0,0.0089
3825.0,0.0088
3840.0,0.0086
3855.0,0.0084
3870.0,0.0083
3885.0,0.0081
3900.0,0.0079
3915.0,0.0078
3930.0,0.0076
3945.0,0.0075
3960.0,0.0074
3975.0,0.0072
3990.0,0.0071
4005.0,0.0069
4020.0,0.0068
4035.0,0.0067
4050.0,0.0066
4065.0,0.0064
4080.0,0.0063
4095.0,0.0062
4110.0,0.0061
4125.0,0.006
4140.0,0.0058
4155.0,0.0057
4170.0,0.0056
4185.0,0.0055
4200.0,0.0054
4215.0,0.0053
4230.0,0.0052
4245.0,0.0051
4260.0,0.005
4275.0,0.0049
4290.0,0.0048
4305.0,0.0047
4320.0,0.0046
4335.0,0.0045
4350.0,0.0045
4365.0,0.0044
4380.0,0.0043
4395.0,0.0042
4410.0,0.0041
4425.0,0.004
4440.0,0.004
4455.0,0.0039
4470.0,0.0038
4485.0,0.0037
4500.0,0.0037
4515.0,0.0036
4530.0,0.0035
4545.0,0.0035
4560.0,0.0034
4575.0,0.0033
4590.0,0.0033
4605.0,0.0032
4620.0,0.0031
4635.0,0.0031
4650.0,0.003
4665.0,0.003
4680.0,0.0029
4695.0,0.0029
4710.0,0.0028
4725.0,0.0028
4740.0,0.0027
4755.0,0.0026
4770.0,0.0026
4785.0,0.0025
4800.0,0.0025
4815.0,0.0025
4830.0,0.0024
4845.0,0.0024
4860.0,0.0023
4875.0,0.0023
4890.0,0.0022
4905.0,0.0022
4920.0,0.0021
4935.0,0.0021
4950.0,0.0021
4965.0,0.002
4980.0,0.002
4995.0,0.0019
5010.0,0.0019
5025.0,0.0019
5100.0,0.0
