# Synthetic flood depth hydrograph — case 078
# type=short  T_peak=695.5 min  h_peak=0.400 m  alpha=2.079  recession_ratio=2.083
# time (min), depth (m)
0.0,0.0
15.0,0.0011
30.0,0.0042
45.0,0.0094
60.0,0.0164
75.0,0.0249
90.0,0.0348
105.0,0.0459
120.0,0.0579
135.0,0.0707
150.0,0.0842
165.0,0.0981
180.0,0.1124
195.0,0.127
210.0,0.1416
225.0,0.1563
240.0,0.1709
255.0,0.1854
270.0,0.1996
285.0,0.2135
300.0,0.2271
315.0,0.2404
330.0,0.2532
345.0,0.2655
360.0,0.2774
375.0,0.2887
390.0,0.2995
405.0,0.3097
420.0,0.3194
435.0,0.3285
450.0,0.337
465.0,0.345
480.0,0.3524
495.0,0.3592
510.0,0.3654
525.0,0.3711
540.0,0.3762
555.0,0.3808
570.0,0.3849
585.0,0.3884
600.0,0.3915
615.0,0.394
630.0,0.3961
645.0,0.3977
660.0,0.3989
675.0,0.3996
690.0,0.4
705.0,0.3881
720.0,0.37
735.0,0.3528
750.0,0.3364
765.0,0.3207
780.0,0.3058
795.0,0.2915
810.0,0.2779
825.0,0.265
840.0,0.2527
855.0,0.2409
870.0,0.2297
885.0,0.219
900.0,0.2088
915.0,0.1991
930.0,0.1898
945.0,0.181
960.0,0.1725
975.0,0.1645
990.0,0.1568
1005.0,0.1495
1020.0,0.1426
1035.0,0.1359
1050.0,0.1296
1065.0,0.1236
1080.0,0.1178
1095.0,0.1123
1110.0,0.1071
1125.0,0.1021
1140.0,0.0974
1155.0,0.0928
1170.0,0.0885
1185.0,0.0844
1200.0,0.0805
1215.0,0.0767
1230.0,0.0731
1245.0,0.0697
1260.0,0.0665
1275.0,0.0634
1290.0,0.0604
1305.0,0.0576
1320.0,0.0549
1335.0,0.0524
1350.0,0.0499
1365.0,0.0476
1380.0,0.0454
1395.0,0.0433
1410.0,0.0413
1425.0,0.0393
1440.0,0.0375
1455.0,0.0358
1470.0,0.0341
1485.0,0.0325
1500.0,0.031
1515.0,0.0296
1530.0,0.0282
1545.0,0.0269
1560.0,0.0256
1575.0,0.0244
1590.0,0.0233
1605.0,0.0222
1620.0,0.0212
1635.0,0.0202
1650.0,0.0192
1665.0,0.0183
1680.0,0.0175
1695.0,0.0167
1710.0,0.0159
1725.0,0.0152
1740.0,0.0145
1755.0,0.0138
1770.0,0.0131
1785.0,0.0125
1800.0,0.0119
1815.0,0.0114
1830.0,0.0109
1845.0,0.0104
1860.0,0.0099
1875.0,0.0094
1890.0,0.009
1905.0,0.0086
1920.0,0.0082
1935.0,0.0078
1950.0,0.0074
1965.0,0.0071
1980.0,0.0067
1995.0,0.0064
2010.0,0.0061
2025.0,0.0058
2040.0,0.0056
2055.0,0.0053
2070.0,0.0051
2085.0,0.0048
2100.0,0.0046
2115.0,0.0044
2130.0,0.0042
2145.0,0.004
2160.0,0.0038
2175.0,0.0036
2190.0,0.0035
2265.0,0.0
