# Synthetic flood depth hydrograph — case 068
# type=short  T_peak=578.3 min  h_peak=1.061 m  alpha=1.733  recession_ratio=3.086
# time (min), depth (m)
0.0,0.0
15.0,0.0102
30.0,0.0325
45.0,0.0628
60.0,0.0989
75.0,0.1391
90.0,0.1824
105.0,0.2278
120.0,0.2745
135.0,0.3219
150.0,0.3694
165.0,0.4166
180.0,0.4631
195.0,0.5086
210.0,0.5529
225.0,0.5957
240.0,0.6369
255.0,0.6764
270.0,0.714
285.0,0.7497
300.0,0.7834
315.0,0.815
330.0,0.8446
345.0,0.8721
360.0,0.8976
375.0,0.9211
390.0,0.9425
405.0,0.962
420.0,0.9795
435.0,0.9952
450.0,1.009
465.0,1.0211
480.0,1.0314
495.0,1.0401
510.0,1.0472
525.0,1.0527
540.0,1.0568
555.0,1.0595
570.0,1.0608
585.0,1.0428
600.0,1.0032
615.0,0.9651
630.0,0.9285
645.0,0.8932
660.0,0.8593
675.0,0.8267
690.0,0.7953
705.0,0.7651
720.0,0.736
735.0,0.7081
750.0,0.6812
765.0,0.6553
780.0,0.6305
795.0,0.6065
810.0,0.5835
825.0,0.5613
840.0,0.54
855.0,0.5195
870.0,0.4998
885.0,0.4808
900.0,0.4626
915.0,0.445
930.0,0.4281
945.0,0.4119
960.0,0.3962
975.0,0.3812
990.0,0.3667
1005.0,0.3528
1020.0,0.3394
1035.0,0.3265
1050.0,0.3141
1065.0,0.3022
1080.0,0.2907
1095.0,0.2797
1110.0,0.269
1125.0,0.2588
1140.0,0.249
1155.0,0.2396
1170.0,0.2305
1185.0,0.2217
1200.0,0.2133
1215.0,0.2052
1230.0,0.1974
1245.0,0.1899
1260.0,0.1827
1275.0,0.1758
1290.0,0.1691
1305.0,0.1627
1320.0,0.1565
1335.0,0.1505
1350.0,0.1448
1365.0,0.1393
1380.0,0.134
1395.0,0.129
1410.0,0.1241
1425.0,0.1193
1440.0,0.1148
1455.0,0.1105
1470.0,0.1063
1485.0,0.1022
1500.0,0.0983
1515.0,0.0946
1530.0,0.091
1545.0,0.0876
1560.0,0.0842
1575.0,0.081
1590.0,0.078
1605.0,0.075
1620.0,0.0722
1635.0,0.0694
1650.0,0.0668
1665.0,0.0642
1680.0,0.0618
1695.0,0.0595
1710.0,0.0572
1725.0,0.055
1740.0,0.0529
1755.0,0.0509
1770.0,0.049
1785.0,0.0471
1800.0,0.0453
1815.0,0.0436
1830.0,0.042
1845.0,0.0404
1860.0,0.0388
1875.0,0.0374
1890.0,0.0359
1905.0,0.0346
1920.0,0.0333
1935.0,0.032
1950.0,0.0308
1965.0,0.0296
1980.0,0.0285
1995.0,0.0274
2010.0,0.0264
2025.0,0.0254
2040.0,0.0244
2055.0,0.0235
2070.0,0.0226
2085.0,0.0217
2100.0,0.0209
2115.0,0.0201
2130.0,0.0194
2145.0,0.0186
2160.0,0.0179
2175.0,0.0172
2190.0,0.0166
2205.0,0.0159
2220.0,0.0153
2235.0,0.0148
2250.0,0.0142
2265.0,0.0137
2280.0,0.0131
2295.0,0.0126
2310.0,0.0122
2325.0,0.0117
2340.0,0.0113
2355.0,0.0108
2370.0,0.0104
2385.0,0.01
2400.0,0.0096
2415.0,0.0093
2490.0,0.0
