# Synthetic flood depth hydrograph — case 059
# type=flash  T_peak=128.5 min  h_peak=0.641 m  alpha=1.919  recession_ratio=1.814
# time (min), depth (m)
0.0,0.0
5.0,0.008
10.0,0.028
15.0,0.0566
20.0,0.0913
25.0,0.13
30.0,0.1712
35.0,0.2135
40.0,0.2561
45.0,0.2979
50.0,0.3384
55.0,0.3771
60.0,0.4135
65.0,0.4475
70.0,0.4788
75.0,0.5072
80.0,0.5328
85.0,0.5554
90.0,0.5752
95.0,0.5922
100.0,0.6064
105.0,0.618
110.0,0.6271
115.0,0.6338
120.0,0.6382
125.0,0.6405
130.0,0.6219
135.0,0.5634
140.0,0.5104
145.0,0.4624
150.0,0.4189
155.0,0.3795
160.0,0.3438
165.0,0.3114
170.0,0.2821
175.0,0.2556
180.0,0.2315
185.0,0.2098
190.0,0.19
195.0,0.1721
200.0,0.1559
205.0,0.1413
210.0,0.128
215.0,0.1159
220.0,0.105
225.0,0.0952
230.0,0.0862
235.0,0.0781
240.0,0.0707
245.0,0.0641
250.0,0.0581
255.0,0.0526
260.0,0.0476
265.0,0.0432
270.0,0.0391
275.0,0.0354
280.0,0.0321
285.0,0.0291
290.0,0.0263
295.0,0.0239
300.0,0.0216
305.0,0.0196
310.0,0.0177
315.0,0.0161
320.0,0.0146
325.0,0.0132
330.0,0.0119
335.0,0.0108
340.0,0.0098
345.0,0.0089
350.0,0.008
355.0,0.0073
360.0,0.0066
365.0,0.006
370.0,0.0054
375.0,0.0049
400.0,0.0
