# Synthetic flood depth hydrograph — case 017
# type=short  T_peak=1438.2 min  h_peak=0.234 m  alpha=3.922  recession_ratio=3.172
# time (min), depth (m)
0.0,0.0
15.0,0.0
30.0,0.0
45.0,0.0
60.0,0.0
75.0,0.0001
90.0,0.0002
105.0,0.0003
120.0,0.0005
135.0,0.0008
150.0,0.0011
165.0,0.0015
180.0,0.0021
195.0,0.0027
210.0,0.0035
225.0,0.0044
240.0,0.0055
255.0,0.0067
270.0,0.008
285.0,0.0095
300.0,0.0112
315.0,0.013
330.0,0.0149
345.0,0.0171
360.0,0.0194
375.0,0.0218
390.0,0.0244
405.0,0.0272
420.0,0.0301
435.0,0.0332
450.0,0.0364
465.0,0.0397
480.0,0.0431
495.0,0.0467
510.0,0.0504
525.0,0.0542
540.0,0.0581
555.0,0.0621
570.0,0.0662
585.0,0.0704
600.0,0.0746
615.0,0.0789
630.0,0.0833
645.0,0.0877
660.0,0.0921
675.0,0.0965
690.0,0.101
705.0,0.1055
720.0,0.11
735.0,0.1145
750.0,0.1189
765.0,0.1234
780.0,0.1278
795.0,0.1322
810.0,0.1366
825.0,0.1409
840.0,0.1451
855.0,0.1493
870.0,0.1535
885.0,0.1575
900.0,0.1615
915.0,0.1654
930.0,0.1693
945.0,0.173
960.0,0.1766
975.0,0.1802
990.0,0.1836
1005.0,0.187
1020.0,0.1902
1035.0,0.1934
1050.0,0.1964
1065.0,0.1993
1080.0,0.2021
1095.0,0.2048
1110.0,0.2074
1125.0,0.2098
1140.0,0.2121
1155.0,0.2143
1170.0,0.2164
1185.0,0.2184
1200.0,0.2202
1215.0,0.222
1230.0,0.2236
1245.0,0.2251
1260.0,0.2264
1275.0,0.2277
1290.0,0.2288
1305.0,0.2298
1320.0,0.2307
1335.0,0.2315
1350.0,0.2322
1365.0,0.2328
1380.0,0.2332
1395.0,0.2336
1410.0,0.2338
1425.0,0.234
1440.0,0.2336
1455.0,0.2301
1470.0,0.2266
1485.0,0.2232
1500.0,0.2198
1515.0,0.2165
1530.0,0.2133
1545.0,0.2101
1560.0,0.2069
1575.0,0.2038
1590.0,0.2007
1605.0,0.1977
1620.0,0.1948
1635.0,0.1918
1650.0,0.1889
1665.0,0.1861
1680.0,0.1833
1695.0,0.1806
1710.0,0.1778
1725.0,0.1752
1740.0,0.1725
1755.0,0.1699
1770.0,0.1674
1785.0,0.1649
1800.0,0.1624
1815.0,0.16
1830.0,0.1576
1845.0,0.1552
1860.0,0.1529
1875.0,0.1506
1890.0,0.1483
1905.0,0.1461
1920.0,0.1439
1935.0,0.1417
1950.0,0.1396
1965.0,0.1375
1980.0,0.1354
1995.0,0.1334
2010.0,0.1314
2025.0,0.1294
2040.0,0.1275
2055.0,0.1255
2070.0,0.1237
2085.0,0.1218
2100.0,0.12
2115.0,0.1182
2130.0,0.1164
2145.0,0.1146
2160.0,0.1129
2175.0,0.1112
2190.0,0.1095
2205.0,0.1079
2220.0,0.1063
2235.0,0.1047
2250.0,0.1031
2265.0,0.1016
2280.0,0.1
2295.0,0.0985
2310.0,0.097
2325.0,0.0956
2340.0,0.0942
2355.0,0.0927
2370.0,0.0913
2385.0,0.09
2400.0,0.0886
2415.0,0.0873
2430.0,0.086
2445.0,0.0847
2460.0,0.0834
2475.0,0.0822
2490.0,0.0809
2505.0,0.0797
2520.0,0.0785
2535.0,0.0773
2550.0,0.0762
2565.0,0.075
2580.0,0.0739
2595.0,0.0728
2610.0,0.0717
2625.0,0.0706
2640.0,0.0696
2655.0,0.0685
2670.0,0.0675
2685.0,0.0665
2700.0,0.0655
2715.0,0.0645
2730.0,0.0635
2745.0,0.0626
2760.0,0.0616
2775.0,0.0607
2790.0,0.0598
2805.0,0.0589
2820.0,0.058
2835.0,0.0571
2850.0,0.0563
2865.0,0.0554
2880.0,0.0546
2895.0,0.0538
2910.0,0.053
2925.0,0.0522
2940.0,0.0514
2955.0,0.0506
2970.0,0.0498
2985.0,0.0491
3000.0,0.0484
3015.0,0.0476
3030.0,0.0469
3045.0,0.0462
3060.0,0.0455
3075.0,0.0448
3090.0,0.0442
3105.0,0.0435
3120.0,0.0428
3135.0,0.0422
3150.0,0.0416
3165.0,0.0409
3180.0,0.0403
3195.0,0.0397
3210.0,0.0391
3225.0,0.0385
3240.0,0.038
3255.0,0.0374
3270.0,0.0368
3285.0,0.0363
3300.0,0.0357
3315.0,0.0352
3330.0,0.0347
3345.0,0.0341
3360.0,0.0336
3375.0,0.0331
3390.0,0.0326
3405.0,0.0321
3420.0,0.0316
3435.0,0.0312
3450.0,0.0307
3465.0,0.0302
3480.0,0.0298
3495.0,0.0293
3510.0,0.0289
3525.0,0.0285
3540.0,0.028
3555.0,0.0276
3570.0,0.0272
3585.0,0.0268
3600.0,0.0264
3615.0,0.026
3630.0,0.0256
3645.0,0.0252
3660.0,0.0248
3675.0,0.0245
3690.0,0.0241
3705.0,0.0237
3720.0,0.0234
3735.0,0.023
3750.0,0.0227
3765.0,0.0223
3780.0,0.022
3795.0,0.0217
3810.0,0.0213
3825.0,0.021
3840.0,0.0207
3855.0,0.0204
3870.0,0.0201
3885.0,0.0198
3900.0,0.0195
3915.0,0.0192
3930.0,0.0189
3945.0,0.0186
3960.0,0.0183
3975.0,0.0181
3990.0,0.0178
4005.0,0.0175
4020.0,0.0173
4035.0,0.017
4050.0,0.0168
4065.0,0.0165
4080.0,0.0163
4095.0,0.016
4110.0,0.0158
4125.0,0.0155
4140.0,0.0153
4155.0,0.0151
4170.0,0.0148
4185.0,0.0146
4200.0,0.0144
4215.0,0.0142
4230.0,0.014
4245.0,0.0138
4260.0,0.0136
4275.0,0.0133
4290.0,0.0131
4305.0,0.013
4320.0,0.0128
4335.0,0.0126
4350.0,0.0124
4365.0,0.0122
4380.0,0.012
4395.0,0.0118
4410.0,0.0116
4425.0,0.0115
4440.0,0.0113
4455.0,0.0111
4470.0,0.011
4485.0,0.0108
4500.0,0.0106
4515.0,0.0105
4530.0,0.0103
4545.0,0.0102
4560.0,0.01
4575.0,0.0099
4590.0,0.0097
4605.0,0.0096
4620.0,0.0094
4635.0,0.0093
4650.0,0.0091
4665.0,0.009
4680.0,0.0089
4695.0,0.0087
4710.0,0.0086
4725.0,0.0085
4740.0,0.0083
4755.0,0.0082
4770.0,0.0081
4785.0,0.008
4800.0,0.0079
4815.0,0.0077
4830.0,0.0076
4845.0,0.0075
4860.0,0.0074
4875.0,0.0073
4890.0,0.0072
4905.0,0.0071
4920.0,0.007
4935.0,0.0069
4950.0,0.0068
4965.0,0.0067
4980.0,0.0066
4995.0,0.0065
5010.0,0.0064
5025.0,0.0063
5040.0,0.0062
5055.0,0.0061
5070.0,0.006
5085.0,0.0059
5100.0,0.0058
5115.0,0.0057
5130.0,0.0056
5145.0,0.0055
5160.0,0.0055
5175.0,0.0054
5190.0,0.0053
5205.0,0.0052
5220.0,0.0051
5235.0,0.0051
5250.0,0.005
5265.0,0.0049
5280.0,0.0048
5295.0,0.0048
5310.0,0.0047
5325.0,0.0046
5340.0,0.0046
5355.0,0.0045
5370.0,0.0044
5385.0,0.0044
5400.0,0.0043
5415.0,0.0042
5430.0,0.0042
5445.0,0.0041
5460.0,0.004
5475.0,0.004
5490.0,0.0039
5505.0,0.0039
5520.0,0.0038
5535.0,0.0037
5550.0,0.0037
5565.0,0.0036
5580.0,0.0036
5595.0,0.0035
5610.0,0.0035
5625.0,0.0034
5640.0,0.0034
5655.0,0.0033
5670.0,0.0033
5685.0,0.0032
5700.0,0.0032
5715.0,0.0031
5730.0,0.0031
5745.0,0.003
5760.0,0.003
5775.0,0.0029
5790.0,0.0029
5805.0,0.0028
5820.0,0.0028
5835.0,0.0028
5850.0,0.0027
5865.0,0.0027
5880.0,0.0026
5895.0,0.0026
5910.0,0.0026
5925.0,0.0025
5940.0,0.0025
5955.0,0.0024
5970.0,0.0024
5985.0,0.0024
6000.0,0.0023
6015.0,0.0023
6030.0,0.0023
6045.0,0.0022
6120.0,0.0
