# Synthetic flood depth hydrograph — case 045
# type=flash  T_peak=45.0 min  h_peak=0.165 m  alpha=2.736  recession_ratio=1.757
# time (min), depth (m)
0.0,0.0
5.0,0.0046
10.0,0.0227
15.0,0.0507
20.0,0.0822
25.0,0.1116
30.0,0.1356
35.0,0.1525
40.0,0.1621
45.0,0.1645
50.0,0.1229
55.0,0.0918
60.0,0.0686
65.0,0.0513
70.0,0.0383
75.0,0.0286
80.0,0.0214
85.0,0.016
90.0,0.0119
95.0,0.0089
100.0,0.0067
105.0,0.005
110.0,0.0037
115.0,0.0028
120.0,0.0021
125.0,0.0015
130.0,0.0012
135.0,0.0009
140.0,0.0006
165.0,0.0
