# Synthetic flood depth hydrograph — case 012
# type=flash  T_peak=48.4 min  h_peak=0.353 m  alpha=1.677  recession_ratio=1.376
# time (min), depth (m)
0.0,0.0
5.0,0.0353
10.0,0.0948
15.0,0.1574
20.0,0.2145
25.0,0.2622
30.0,0.2994
35.0,0.3261
40.0,0.343
45.0,0.3515
50.0,0.3163
55.0,0.2238
60.0,0.1584
65.0,0.1121
70.0,0.0793
75.0,0.0562
80.0,0.0397
85.0,0.0281
90.0,0.0199
95.0,0.0141
100.0,0.01
105.0,0.0071
110.0,0.005
115.0,0.0035
120.0,0.0025
125.0,0.0018
130.0,0.0013
155.0,0.0
