# Synthetic flood depth hydrograph — case 002
# type=short  T_peak=385.8 min  h_peak=0.451 m  alpha=2.903  recession_ratio=1.993
# time (min), depth (m)
0.0,0.0
15.0,0.0006
30.0,0.004
45.0,0.0115
60.0,0.0236
75.0,0.0403
90.0,0.0611
105.0,0.0853
120.0,0.1123
135.0,0.1412
150.0,0.1713
165.0,0.2018
180.0,0.2321
195.0,0.2615
210.0,0.2897
225.0,0.3161
240.0,0.3406
255.0,0.3628
270.0,0.3825
285.0,0.3998
300.0,0.4144
315.0,0.4265
330.0,0.4361
345.0,0.4432
360.0,0.448
375.0,0.4505
390.0,0.4397
405.0,0.4019
420.0,0.3674
435.0,0.3358
450.0,0.307
465.0,0.2806
480.0,0.2565
495.0,0.2344
510.0,0.2143
525.0,0.1959
540.0,0.1791
555.0,0.1637
570.0,0.1496
585.0,0.1367
600.0,0.125
615.0,0.1143
630.0,0.1044
645.0,0.0955
660.0,0.0873
675.0,0.0798
690.0,0.0729
705.0,0.0666
720.0,0.0609
735.0,0.0557
750.0,0.0509
765.0,0.0465
780.0,0.0425
795.0,0.0389
810.0,0.0355
825.0,0.0325
840.0,0.0297
855.0,0.0271
870.0,0.0248
885.0,0.0227
900.0,0.0207
915.0,0.0189
930.0,0.0173
945.0,0.0158
960.0,0.0145
975.0,0.0132
990.0,0.0121
1005.0,0.011
1020.0,0.0101
1035.0,0.0092
1050.0,0.0084
1065.0,0.0077
1080.0,0.0071
1095.0,0.0064
1110.0,0.0059
1125.0,0.0054
1140.0,0.0049
1155.0,0.0045
1170.0,0.0041
1185.0,0.0038
1200.0,0.0034
1275.0,0.0
