# Synthetic flood depth hydrograph — case 093
# type=flash  T_peak=91.9 min  h_peak=0.295 m  alpha=2.880  recession_ratio=1.476
# time (min), depth (m)
0.0,0.0
5.0,0.001
10.0,0.0065
15.0,0.0177
20.0,0.0347
25.0,0.0564
30.0,0.0816
35.0,0.1088
40.0,0.1366
45.0,0.164
50.0,0.1899
55.0,0.2137
60.0,0.2347
65.0,0.2527
70.0,0.2675
75.0,0.279
80.0,0.2873
85.0,0.2925
90.0,0.2948
95.0,0.2659
100.0,0.2244
105.0,0.1894
110.0,0.1598
115.0,0.1349
120.0,0.1138
125.0,0.0961
130.0,0.0811
135.0,0.0684
140.0,0.0577
145.0,0.0487
150.0,0.0411
155.0,0.0347
160.0,0.0293
165.0,0.0247
170.0,0.0209
175.0,0.0176
180.0,0.0149
185.0,0.0125
190.0,0.0106
195.0,0.0089
200.0,0.0075
205.0,0.0064
210.0,0.0054
215.0,0.0045
220.0,0.0038
225.0,0.0032
230.0,0.0027
235.0,0.0023
240.0,0.0019
245.0,0.0016
270.0,0.0
