# Synthetic flood depth hydrograph — case 001
# type=short  T_peak=350.3 min  h_peak=0.726 m  alpha=3.691  recession_ratio=3.386
# time (min), depth (m)
0.0,0.0
15.0,0.0002
30.0,0.0024
45.0,0.0093
60.0,0.023
75.0,0.0447
90.0,0.0748
105.0,0.1128
120.0,0.1576
135.0,0.2079
150.0,0.2618
165.0,0.3178
180.0,0.3741
195.0,0.4292
210.0,0.4817
225.0,0.5306
240.0,0.5749
255.0,0.6139
270.0,0.6472
285.0,0.6747
300.0,0.6961
315.0,0.7116
330.0,0.7214
345.0,0.7257
360.0,0.6991
375.0,0.6595
390.0,0.6222
405.0,0.587
420.0,0.5538
435.0,0.5224
450.0,0.4929
465.0,0.465
480.0,0.4387
495.0,0.4139
510.0,0.3904
525.0,0.3683
540.0,0.3475
555.0,0.3278
570.0,0.3093
585.0,0.2918
600.0,0.2753
615.0,0.2597
630.0,0.245
645.0,0.2312
660.0,0.2181
675.0,0.2057
690.0,0.1941
705.0,0.1831
720.0,0.1728
735.0,0.163
750.0,0.1538
765.0,0.1451
780.0,0.1368
795.0,0.1291
810.0,0.1218
825.0,0.1149
840.0,0.1084
855.0,0.1023
870.0,0.0965
885.0,0.091
900.0,0.0859
915.0,0.081
930.0,0.0764
945.0,0.0721
960.0,0.068
975.0,0.0642
990.0,0.0605
1005.0,0.0571
1020.0,0.0539
1035.0,0.0508
1050.0,0.048
1065.0,0.0453
1080.0,0.0427
1095.0,0.0403
1110.0,0.038
1125.0,0.0358
1140.0,0.0338
1155.0,0.0319
1170.0,0.0301
1185.0,0.0284
1200.0,0.0268
1215.0,0.0253
1230.0,0.0238
1245.0,0.0225
1260.0,0.0212
1275.0,0.02
1290.0,0.0189
1305.0,0.0178
1320.0,0.0168
1335.0,0.0159
1350.0,0.015
1365.0,0.0141
1380.0,0.0133
1395.0,0.0126
1410.0,0.0119
1425.0,0.0112
1440.0,0.0105
1455.0,0.01
1470.0,0.0094
1485.0,0.0089
1500.0,0.0084
1515.0,0.0079
1530.0,0.0074
1545.0,0.007
1560.0,0.0066
1575.0,0.0062
1650.0,0.0
