# Synthetic flood depth hydrograph — case 014
# type=short  T_peak=1019.9 min  h_peak=0.119 m  alpha=1.742  recession_ratio=1.881
# time (min), depth (m)
0.0,0.0
15.0,0.0004
30.0,0.0014
45.0,0.0027
60.0,0.0044
75.0,0.0063
90.0,0.0085
105.0,0.0108
120.0,0.0133
135.0,0.0159
150.0,0.0186
165.0,0.0215
180.0,0.0243
195.0,0.0273
210.0,0.0302
225.0,0.0332
240.0,0.0363
255.0,0.0393
270.0,0.0423
285.0,0.0453
300.0,0.0483
315.0,0.0512
330.0,0.0542
345.0,0.057
360.0,0.0599
375.0,0.0627
390.0,0.0654
405.0,0.0681
420.0,0.0707
435.0,0.0732
450.0,0.0757
465.0,0.0782
480.0,0.0805
495.0,0.0828
510.0,0.085
525.0,0.0871
540.0,0.0892
555.0,0.0912
570.0,0.0931
585.0,0.095
600.0,0.0967
615.0,0.0984
630.0,0.1001
645.0,0.1016
660.0,0.1031
675.0,0.1045
690.0,0.1058
705.0,0.1071
720.0,0.1083
735.0,0.1094
750.0,0.1105
765.0,0.1114
780.0,0.1124
795.0,0.1132
810.0,0.114
825.0,0.1147
840.0,0.1154
855.0,0.116
870.0,0.1165
885.0,0.117
900.0,0.1175
915.0,0.1178
930.0,0.1181
945.0,0.1184
960.0,0.1186
975.0,0.1188
990.0,0.1189
1005.0,0.119
1020.0,0.119
1035.0,0.1148
1050.0,0.1107
1065.0,0.1068
1080.0,0.103
1095.0,0.0994
1110.0,0.0959
1125.0,0.0925
1140.0,0.0892
1155.0,0.086
1170.0,0.083
1185.0,0.0801
1200.0,0.0772
1215.0,0.0745
1230.0,0.0719
1245.0,0.0693
1260.0,0.0669
1275.0,0.0645
1290.0,0.0622
1305.0,0.06
1320.0,0.0579
1335.0,0.0559
1350.0,0.0539
1365.0,0.052
1380.0,0.0501
1395.0,0.0484
1410.0,0.0467
1425.0,0.045
1440.0,0.0434
1455.0,0.0419
1470.0,0.0404
1485.0,0.039
1500.0,0.0376
1515.0,0.0363
1530.0,0.035
1545.0,0.0337
1560.0,0.0325
1575.0,0.0314
1590.0,0.0303
1605.0,0.0292
1620.0,0.0282
1635.0,0.0272
1650.0,0.0262
1665.0,0.0253
1680.0,0.0244
1695.0,0.0235
1710.0,0.0227
1725.0,0.0219
1740.0,0.0211
1755.0,0.0204
1770.0,0.0197
1785.0,0.019
1800.0,0.0183
1815.0,0.0176
1830.0,0.017
1845.0,0.0164
1860.0,0.0158
1875.0,0.0153
1890.0,0.0147
1905.0,0.0142
1920.0,0.0137
1935.0,0.0132
1950.0,0.0128
1965.0,0.0123
1980.0,0.0119
1995.0,0.0115
2010.0,0.0111
2025.0,0.0107
2040.0,0.0103
2055.0,0.0099
2070.0,0.0096
2085.0,0.0092
2100.0,0.0089
2115.0,0.0086
2130.0,0.0083
2145.0,0.008
2160.0,0.0077
2175.0,0.0074
2190.0,0.0072
2205.0,0.0069
2220.0,0.0067
2235.0,0.0064
2250.0,0.0062
2265.0,0.006
2280.0,0.0058
2295.0,0.0056
2310.0,0.0054
2325.0,0.0052
2340.0,0.005
2355.0,0.0048
2370.0,0.0047
2385.0,0.0045
2400.0,0.0043
2415.0,0.0042
2430.0,0.004
2445.0,0.0039
2460.0,0.0038
2475.0,0.0036
2490.0,0.0035
2505.0,0.0034
2520.0,0.0032
2535.0,0.0031
2550.0,0.003
2565.0,0.0029
2580.0,0.0028
2595.0,0.0027
2610.0,0.0026
2625.0,0.0025
2640.0,0.0024
2655.0,0.0023
2670.0,0.0023
2685.0,0.0022
2700.0,0.0021
2715.0,0.002
2730.0,0.002
2745.0,0.0019
2760.0,0.0018
2775.0,0.0018
2790.0,0.0017
2805.0,0.0016
2820.0,0.0016
2835.0,0.0015
2850.0,0.0015
2865.0,0.0014
2880.0,0.0014
2895.0,0.0013
2910.0,0.0013
2925.0,0.0012
2940.0,0.0012
2955.0,0.0011
2970.0,0.0011
2985.0,0.0011
3060.0,0.0
