# Synthetic flood velocity hydrograph — case 062
# type=flash  V_peak=0.470 m/s  lead_ratio=0.068  alpha_v=3.154  recession_ratio_v=1.668
# time (min), velocity (m/s)
0.0,0.0
5.0,0.0003
10.0,0.0021
15.0,0.0069
20.0,0.0152
25.0,0.0275
30.0,0.0436
35.0,0.0634
40.0,0.0863
45.0,0.1118
50.0,0.1392
55.0,0.1679
60.0,0.1974
65.0,0.227
70.0,0.2562
75.0,0.2845
80.0,0.3115
85.0,0.3369
90.0,0.3604
95.0,0.3818
100.0,0.401
105.0,0.4178
110.0,0.4322
115.0,0.4442
120.0,0.4538
125.0,0.4611
130.0,0.4662
135.0,0.4691
140.0,0.4681
145.0,0.4241
150.0,0.3843
155.0,0.3481
160.0,0.3154
165.0,0.2857
170.0,0.2589
175.0,0.2345
180.0,0.2125
185.0,0.1925
190.0,0.1744
195.0,0.158
200.0,0.1431
205.0,0.1297
210.0,0.1175
215.0,0.1064
220.0,0.0964
225.0,0.0874
230.0,0.0792
235.0,0.0717
240.0,0.065
245.0,0.0589
250.0,0.0533
255.0,0.0483
260.0,0.0438
265.0,0.0397
270.0,0.0359
275.0,0.0325
280.0,0.0295
285.0,0.0267
290.0,0.0242
295.0,0.0219
300.0,0.0199
305.0,0.018
310.0,0.0163
315.0,0.0148
320.0,0.0134
325.0,0.0121
330.0,0.011
335.0,0.01
340.0,0.009
345.0,0.0082
350.0,0.0074
355.0,0.0067
360.0,0.0061
365.0,0.0055
370.0,0.005
375.0,0.0045
380.0,0.0041
385.0,0.0037
390.0,0.0034
395.0,0.003
420.0,0.0019
