# Synthetic flood velocity hydrograph — case 068
# type=short  V_peak=0.587 m/s  lead_ratio=0.061  alpha_v=2.538  recession_ratio_v=3.053
# time (min), velocity (m/s)
0.0,0.0
15.0,0.0008
30.0,0.0043
45.0,0.0112
60.0,0.0216
75.0,0.0355
90.0,0.0525
105.0,0.0723
120.0,0.0946
135.0,0.1187
150.0,0.1445
165.0,0.1714
180.0,0.1991
195.0,0.2272
210.0,0.2554
225.0,0.2833
240.0,0.3109
255.0,0.3377
270.0,0.3636
285.0,0.3884
300.0,0.4121
315.0,0.4344
330.0,0.4552
345.0,0.4746
360.0,0.4925
375.0,0.5087
390.0,0.5234
405.0,0.5364
420.0,0.5479
435.0,0.5578
450.0,0.5662
465.0,0.5731
480.0,0.5785
495.0,0.5826
510.0,0.5853
525.0,0.5867
540.0,0.5792
555.0,0.5552
570.0,0.5322
585.0,0.5102
600.0,0.4891
615.0,0.4688
630.0,0.4494
645.0,0.4308
660.0,0.413
675.0,0.3959
690.0,0.3795
705.0,0.3638
720.0,0.3487
735.0,0.3343
750.0,0.3205
765.0,0.3072
780.0,0.2945
795.0,0.2823
810.0,0.2706
825.0,0.2594
840.0,0.2487
855.0,0.2384
870.0,0.2285
885.0,0.219
900.0,0.21
915.0,0.2013
930.0,0.193
945.0,0.185
960.0,0.1773
975.0,0.17
990.0,0.1629
1005.0,0.1562
1020.0,0.1497
1035.0,0.1435
1050.0,0.1376
1065.0,0.1319
1080.0,0.1264
1095.0,0.1212
1110.0,0.1162
1125.0,0.1114
1140.0,0.1068
1155.0,0.1023
1170.0,0.0981
1185.0,0.094
1200.0,0.0902
1215.0,0.0864
1230.0,0.0828
1245.0,0.0794
1260.0,0.0761
1275.0,0.073
1290.0,0.07
1305.0,0.0671
1320.0,0.0643
1335.0,0.0616
1350.0,0.0591
1365.0,0.0566
1380.0,0.0543
1395.0,0.052
1410.0,0.0499
1425.0,0.0478
1440.0,0.0458
1455.0,0.0439
1470.0,0.0421
1485.0,0.0404
1500.0,0.0387
1515.0,0.0371
1530.0,0.0356
1545.0,0.0341
1560.0,0.0327
1575.0,0.0313
1590.0,0.03
1605.0,0.0288
1620.0,0.0276
1635.0,0.0265
1650.0,0.0254
1665.0,0.0243
1680.0,0.0233
1695.0,0.0223
1710.0,0.0214
1725.0,0.0205
1740.0,0.0197
1755.0,0.0189
1770.0,0.0181
1785.0,0.0173
1800.0,0.0166
1815.0,0.0159
1830.0,0.0153
1845.0,0.0146
1860.0,0.014
1875.0,0.0135
1890.0,0.0129
1905.0,0.0124
1920.0,0.0119
1935.0,0.0114
1950.0,0.0109
1965.0,0.0104
1980.0,0.01
1995.0,0.0096
2010.0,0.0092
2025.0,0.0088
2040.0,0.0085
2055.0,0.0081
2070.0,0.0078
2085.0,0.0074
2100.0,0.0071
2115.0,0.0068
2130.0,0.0066
2145.0,0.0063
2160.0,0.006
2175.0,0.0058
2190.0,0.0055
2205.0,0.0053
2220.0,0.0051
2235.0,0.0049
2250.0,0.0047
2265.0,0.0045
2280.0,0.0043
2295.0,0.0041
2310.0,0.0039
2325.0,0.0038
2340.0,0.0036
2355.0,0.0035
2370.0,0.0033
2385.0,0.0032
2400.0,0.0031
2415.0,0.0029
2490.0,0.0024
