# Synthetic flood velocity hydrograph — case 059
# type=flash  V_peak=0.779 m/s  lead_ratio=0.023  alpha_v=3.084  recession_ratio_v=2.151
# time (min), velocity (m/s)
0.0,0.0
5.0,0.0008
10.0,0.0059
15.0,0.0181
20.0,0.0387
25.0,0.068
30.0,0.1051
35.0,0.149
40.0,0.1983
45.0,0.2513
50.0,0.3065
55.0,0.3625
60.0,0.4178
65.0,0.4714
70.0,0.5221
75.0,0.5693
80.0,0.6123
85.0,0.6506
90.0,0.684
95.0,0.7122
100.0,0.7353
105.0,0.7533
110.0,0.7664
115.0,0.7748
120.0,0.7786
125.0,0.7407
130.0,0.6785
135.0,0.6216
140.0,0.5694
145.0,0.5216
150.0,0.4779
155.0,0.4378
160.0,0.401
165.0,0.3674
170.0,0.3365
175.0,0.3083
180.0,0.2824
185.0,0.2587
190.0,0.237
195.0,0.2171
200.0,0.1989
205.0,0.1822
210.0,0.1669
215.0,0.1529
220.0,0.1401
225.0,0.1283
230.0,0.1176
235.0,0.1077
240.0,0.0986
245.0,0.0904
250.0,0.0828
255.0,0.0758
260.0,0.0695
265.0,0.0636
270.0,0.0583
275.0,0.0534
280.0,0.0489
285.0,0.0448
290.0,0.0411
295.0,0.0376
300.0,0.0345
305.0,0.0316
310.0,0.0289
315.0,0.0265
320.0,0.0243
325.0,0.0222
330.0,0.0204
335.0,0.0187
340.0,0.0171
345.0,0.0157
350.0,0.0143
355.0,0.0131
360.0,0.012
365.0,0.011
370.0,0.0101
375.0,0.0093
400.0,0.006
