# Synthetic flood velocity hydrograph — case 023
# type=flash  V_peak=0.480 m/s  lead_ratio=0.150  alpha_v=1.367  recession_ratio_v=1.491
# time (min), velocity (m/s)
0.0,0.0
5.0,0.0976
10.0,0.2105
15.0,0.3065
20.0,0.3798
25.0,0.4309
30.0,0.4624
35.0,0.4775
40.0,0.4167
45.0,0.2783
50.0,0.1859
55.0,0.1241
60.0,0.0829
65.0,0.0554
70.0,0.037
75.0,0.0247
80.0,0.0165
85.0,0.011
90.0,0.0074
95.0,0.0049
100.0,0.0033
105.0,0.0022
110.0,0.0015
115.0,0.001
120.0,0.0007
125.0,0.0004
130.0,0.0003
135.0,0.0002
140.0,0.0001
165.0,0.0
