# Synthetic flood velocity hydrograph — case 045
# type=flash  V_peak=0.202 m/s  lead_ratio=0.001  alpha_v=2.927  recession_ratio_v=1.947
# time (min), velocity (m/s)
0.0,0.0
5.0,0.0044
10.0,0.0242
15.0,0.0572
20.0,0.0958
25.0,0.133
30.0,0.1637
35.0,0.1856
40.0,0.1982
45.0,0.2015
50.0,0.1549
55.0,0.1191
60.0,0.0915
65.0,0.0704
70.0,0.0541
75.0,0.0416
80.0,0.032
85.0,0.0246
90.0,0.0189
95.0,0.0145
100.0,0.0112
105.0,0.0086
110.0,0.0066
115.0,0.0051
120.0,0.0039
125.0,0.003
130.0,0.0023
135.0,0.0018
140.0,0.0014
165.0,0.0004
