# Synthetic flood velocity hydrograph — case 077
# type=flash  V_peak=0.368 m/s  lead_ratio=0.015  alpha_v=1.206  recession_ratio_v=1.342
# time (min), velocity (m/s)
0.0,0.0
5.0,0.0772
10.0,0.1554
15.0,0.2212
20.0,0.2732
25.0,0.3121
30.0,0.3394
35.0,0.3567
40.0,0.3657
45.0,0.3493
50.0,0.2372
55.0,0.161
60.0,0.1093
65.0,0.0743
70.0,0.0504
75.0,0.0342
80.0,0.0232
85.0,0.0158
90.0,0.0107
95.0,0.0073
100.0,0.0049
105.0,0.0034
110.0,0.0023
115.0,0.0015
120.0,0.0011
125.0,0.0007
150.0,0.0001
