# Synthetic flood velocity hydrograph — case 051
# type=prolonged  V_peak=0.433 m/s  lead_ratio=0.181  alpha_v=2.543  recession_ratio_v=4.497
# time (min), velocity (m/s)
0.0,0.0
60.0,0.0005
120.0,0.0028
180.0,0.0072
240.0,0.014
300.0,0.0231
360.0,0.0344
420.0,0.0475
480.0,0.0624
540.0,0.0787
600.0,0.0961
660.0,0.1145
720.0,0.1335
780.0,0.153
840.0,0.1727
900.0,0.1924
960.0,0.2119
1020.0,0.231
1080.0,0.2498
1140.0,0.2679
1200.0,0.2853
1260.0,0.3019
1320.0,0.3176
1380.0,0.3324
1440.0,0.3462
1500.0,0.359
1560.0,0.3708
1620.0,0.3815
1680.0,0.3911
1740.0,0.3997
1800.0,0.4073
1860.0,0.4138
1920.0,0.4193
1980.0,0.4239
2040.0,0.4274
2100.0,0.4301
2160.0,0.4319
2220.0,0.4328
2280.0,0.4292
2340.0,0.4177
2400.0,0.4065
2460.0,0.3956
2520.0,0.385
2580.0,0.3746
2640.0,0.3646
2700.0,0.3548
2760.0,0.3453
2820.0,0.336
2880.0,0.327
2940.0,0.3183
3000.0,0.3097
3060.0,0.3014
3120.0,0.2933
3180.0,0.2855
3240.0,0.2778
3300.0,0.2704
3360.0,0.2631
3420.0,0.2561
3480.0,0.2492
3540.0,0.2425
3600.0,0.236
3660.0,0.2297
3720.0,0.2235
3780.0,0.2175
3840.0,0.2117
3900.0,0.206
3960.0,0.2005
4020.0,0.1951
4080.0,0.1899
4140.0,0.1848
4200.0,0.1798
4260.0,0.175
4320.0,0.1703
4380.0,0.1658
4440.0,0.1613
4500.0,0.157
4560.0,0.1528
4620.0,0.1487
4680.0,0.1447
4740.0,0.1408
4800.0,0.137
4860.0,0.1334
4920.0,0.1298
4980.0,0.1263
5040.0,0.1229
5100.0,0.1196
5160.0,0.1164
5220.0,0.1133
5280.0,0.1103
5340.0,0.1073
5400.0,0.1044
5460.0,0.1016
5520.0,0.0989
5580.0,0.0962
5640.0,0.0937
5700.0,0.0911
5760.0,0.0887
5820.0,0.0863
5880.0,0.084
5940.0,0.0818
6000.0,0.0796
6060.0,0.0774
6120.0,0.0754
6180.0,0.0733
6240.0,0.0714
6300.0,0.0695
6360.0,0.0676
6420.0,0.0658
6480.0,0.064
6540.0,0.0623
6600.0,0.0606
6660.0,0.059
6720.0,0.0574
6780.0,0.0559
6840.0,0.0544
6900.0,0.0529
6960.0,0.0515
7020.0,0.0501
7080.0,0.0488
7140.0,0.0475
7200.0,0.0462
7260.0,0.045
7320.0,0.0438
7380.0,0.0426
7440.0,0.0414
7500.0,0.0403
7560.0,0.0392
7620.0,0.0382
7680.0,0.0372
7740.0,0.0362
7800.0,0.0352
7860.0,0.0343
7920.0,0.0333
7980.0,0.0324
8040.0,0.0316
8100.0,0.0307
8160.0,0.0299
8220.0,0.0291
8280.0,0.0283
8340.0,0.0276
8400.0,0.0268
8460.0,0.0261
8520.0,0.0254
8580.0,0.0247
8640.0,0.0241
8700.0,0.0234
8760.0,0.0228
8820.0,0.0222
8880.0,0.0216
8940.0,0.021
9000.0,0.0204
9060.0,0.0199
9120.0,0.0194
9180.0,0.0188
9240.0,0.0183
9300.0,0.0178
9360.0,0.0174
9420.0,0.0169
9480.0,0.0164
9540.0,0.016
9600.0,0.0156
9660.0,0.0152
9720.0,0.0148
9780.0,0.0144
9840.0,0.014
9900.0,0.0136
9960.0,0.0132
10020.0,0.0129
10080.0,0.0125
10140.0,0.0122
10200.0,0.0119
10260.0,0.0115
10320.0,0.0112
10380.0,0.0109
10440.0,0.0106
10500.0,0.0104
10560.0,0.0101
10620.0,0.0098
10680.0,0.0095
10740.0,0.0093
10800.0,0.009
10860.0,0.0088
10920.0,0.0086
10980.0,0.0083
11040.0,0.0081
11100.0,0.0079
11160.0,0.0077
11220.0,0.0075
11280.0,0.0073
11340.0,0.0071
11400.0,0.0069
11460.0,0.0067
11520.0,0.0065
11580.0,0.0064
11640.0,0.0062
11700.0,0.006
11760.0,0.0059
11820.0,0.0057
11880.0,0.0055
11940.0,0.0054
12000.0,0.0053
12060.0,0.0051
12120.0,0.005
12180.0,0.0048
12240.0,0.0047
12300.0,0.0046
12360.0,0.0045
12420.0,0.0043
12480.0,0.0042
12540.0,0.0041
12600.0,0.004
12660.0,0.0039
12720.0,0.0038
12780.0,0.0037
12840.0,0.0036
12900.0,0.0035
12960.0,0.0034
13020.0,0.0033
13080.0,0.0032
13140.0,0.0031
13200.0,0.003
13260.0,0.003
13320.0,0.0029
13380.0,0.0028
13440.0,0.0027
13500.0,0.0027
13560.0,0.0026
13620.0,0.0025
13680.0,0.0025
13740.0,0.0024
13800.0,0.0023
13860.0,0.0023
13920.0,0.0022
13980.0,0.0021
14040.0,0.0021
14100.0,0.002
14160.0,0.002
14220.0,0.0019
14280.0,0.0019
14340.0,0.0018
14400.0,0.0018
14460.0,0.0017
14520.0,0.0017
14820.0,0.0015
