# Synthetic flood velocity hydrograph — case 042
# type=flash  V_peak=0.410 m/s  lead_ratio=0.180  alpha_v=3.031  recession_ratio_v=1.364
# time (min), velocity (m/s)
0.0,0.0
5.0,0.001
10.0,0.0069
15.0,0.0199
20.0,0.0406
25.0,0.068
30.0,0.1006
35.0,0.1367
40.0,0.1745
45.0,0.2124
50.0,0.2489
55.0,0.2829
60.0,0.3136
65.0,0.3404
70.0,0.3629
75.0,0.3809
80.0,0.3944
85.0,0.4036
90.0,0.4087
95.0,0.3999
100.0,0.3343
105.0,0.2795
110.0,0.2337
115.0,0.1954
120.0,0.1634
125.0,0.1366
130.0,0.1142
135.0,0.0955
140.0,0.0798
145.0,0.0667
150.0,0.0558
155.0,0.0467
160.0,0.039
165.0,0.0326
170.0,0.0273
175.0,0.0228
180.0,0.0191
185.0,0.0159
190.0,0.0133
195.0,0.0111
200.0,0.0093
205.0,0.0078
210.0,0.0065
215.0,0.0054
220.0,0.0046
225.0,0.0038
230.0,0.0032
235.0,0.0027
240.0,0.0022
245.0,0.0019
250.0,0.0016
255.0,0.0013
260.0,0.0011
265.0,0.0009
270.0,0.0008
275.0,0.0006
280.0,0.0005
285.0,0.0004
290.0,0.0004
295.0,0.0003
300.0,0.0003
305.0,0.0002
310.0,0.0002
315.0,0.0002
340.0,0.0001
