# Synthetic flood velocity hydrograph — case 089
# type=flash  V_peak=0.776 m/s  lead_ratio=0.023  alpha_v=3.114  recession_ratio_v=1.274
# time (min), velocity (m/s)
0.0,0.0
5.0,0.0019
10.0,0.0141
15.0,0.0417
20.0,0.0855
25.0,0.1435
30.0,0.2121
35.0,0.2872
40.0,0.3646
45.0,0.4408
50.0,0.5126
55.0,0.5778
60.0,0.6347
65.0,0.6822
70.0,0.7198
75.0,0.7475
80.0,0.7656
85.0,0.7746
90.0,0.7127
95.0,0.5803
100.0,0.4725
105.0,0.3847
110.0,0.3132
115.0,0.255
120.0,0.2076
125.0,0.1691
130.0,0.1376
135.0,0.1121
140.0,0.0912
145.0,0.0743
150.0,0.0605
155.0,0.0493
160.0,0.0401
165.0,0.0327
170.0,0.0266
175.0,0.0216
180.0,0.0176
185.0,0.0143
190.0,0.0117
195.0,0.0095
200.0,0.0077
205.0,0.0063
210.0,0.0051
215.0,0.0042
220.0,0.0034
225.0,0.0028
230.0,0.0023
255.0,0.0008
