# Synthetic flood velocity hydrograph — case 085
# type=prolonged  V_peak=0.621 m/s  lead_ratio=0.110  alpha_v=2.246  recession_ratio_v=4.420
# time (min), velocity (m/s)
0.0,0.0
60.0,0.0018
120.0,0.008
180.0,0.0188
240.0,0.0336
300.0,0.0521
360.0,0.0737
420.0,0.0978
480.0,0.1239
540.0,0.1516
600.0,0.1803
660.0,0.2097
720.0,0.2393
780.0,0.269
840.0,0.2982
900.0,0.3269
960.0,0.3548
1020.0,0.3817
1080.0,0.4075
1140.0,0.432
1200.0,0.4551
1260.0,0.4767
1320.0,0.4969
1380.0,0.5155
1440.0,0.5325
1500.0,0.548
1560.0,0.5618
1620.0,0.5741
1680.0,0.5849
1740.0,0.5942
1800.0,0.602
1860.0,0.6084
1920.0,0.6134
1980.0,0.6171
2040.0,0.6195
2100.0,0.6208
2160.0,0.6138
2220.0,0.5961
2280.0,0.5789
2340.0,0.5622
2400.0,0.546
2460.0,0.5302
2520.0,0.5149
2580.0,0.5001
2640.0,0.4857
2700.0,0.4716
2760.0,0.458
2820.0,0.4448
2880.0,0.432
2940.0,0.4195
3000.0,0.4074
3060.0,0.3957
3120.0,0.3843
3180.0,0.3732
3240.0,0.3624
3300.0,0.352
3360.0,0.3418
3420.0,0.332
3480.0,0.3224
3540.0,0.3131
3600.0,0.3041
3660.0,0.2953
3720.0,0.2868
3780.0,0.2785
3840.0,0.2705
3900.0,0.2627
3960.0,0.2551
4020.0,0.2477
4080.0,0.2406
4140.0,0.2336
4200.0,0.2269
4260.0,0.2204
4320.0,0.214
4380.0,0.2078
4440.0,0.2018
4500.0,0.196
4560.0,0.1904
4620.0,0.1849
4680.0,0.1795
4740.0,0.1744
4800.0,0.1693
4860.0,0.1645
4920.0,0.1597
4980.0,0.1551
5040.0,0.1506
5100.0,0.1463
5160.0,0.1421
5220.0,0.138
5280.0,0.134
5340.0,0.1301
5400.0,0.1264
5460.0,0.1227
5520.0,0.1192
5580.0,0.1157
5640.0,0.1124
5700.0,0.1092
5760.0,0.106
5820.0,0.103
5880.0,0.1
5940.0,0.0971
6000.0,0.0943
6060.0,0.0916
6120.0,0.0889
6180.0,0.0864
6240.0,0.0839
6300.0,0.0815
6360.0,0.0791
6420.0,0.0768
6480.0,0.0746
6540.0,0.0725
6600.0,0.0704
6660.0,0.0683
6720.0,0.0664
6780.0,0.0645
6840.0,0.0626
6900.0,0.0608
6960.0,0.059
7020.0,0.0573
7080.0,0.0557
7140.0,0.0541
7200.0,0.0525
7260.0,0.051
7320.0,0.0495
7380.0,0.0481
7440.0,0.0467
7500.0,0.0454
7560.0,0.0441
7620.0,0.0428
7680.0,0.0416
7740.0,0.0404
7800.0,0.0392
7860.0,0.0381
7920.0,0.037
7980.0,0.0359
8040.0,0.0349
8100.0,0.0339
8160.0,0.0329
8220.0,0.0319
8280.0,0.031
8340.0,0.0301
8400.0,0.0293
8460.0,0.0284
8520.0,0.0276
8580.0,0.0268
8640.0,0.026
8700.0,0.0253
8760.0,0.0245
8820.0,0.0238
8880.0,0.0231
8940.0,0.0225
9000.0,0.0218
9060.0,0.0212
9120.0,0.0206
9180.0,0.02
9240.0,0.0194
9300.0,0.0189
9360.0,0.0183
9420.0,0.0178
9480.0,0.0173
9540.0,0.0168
9600.0,0.0163
9660.0,0.0158
9720.0,0.0154
9780.0,0.0149
9840.0,0.0145
9900.0,0.0141
9960.0,0.0137
10020.0,0.0133
10080.0,0.0129
10140.0,0.0125
10200.0,0.0122
10260.0,0.0118
10320.0,0.0115
10380.0,0.0111
10440.0,0.0108
10500.0,0.0105
10560.0,0.0102
10620.0,0.0099
10680.0,0.0096
10740.0,0.0093
10800.0,0.0091
10860.0,0.0088
10920.0,0.0086
10980.0,0.0083
11040.0,0.0081
11100.0,0.0078
11160.0,0.0076
11220.0,0.0074
11280.0,0.0072
11340.0,0.007
11400.0,0.0068
11460.0,0.0066
11520.0,0.0064
11580.0,0.0062
11640.0,0.006
11700.0,0.0058
11760.0,0.0057
11820.0,0.0055
11880.0,0.0054
11940.0,0.0052
12000.0,0.0051
12060.0,0.0049
12120.0,0.0048
12180.0,0.0046
12240.0,0.0045
12300.0,0.0044
12360.0,0.0042
12420.0,0.0041
12480.0,0.004
12540.0,0.0039
12600.0,0.0038
12660.0,0.0037
12720.0,0.0036
12780.0,0.0035
12840.0,0.0034
12900.0,0.0033
12960.0,0.0032
13020.0,0.0031
13080.0,0.003
13140.0,0.0029
13200.0,0.0028
13260.0,0.0027
13320.0,0.0027
13380.0,0.0026
13440.0,0.0025
13500.0,0.0024
13560.0,0.0024
13620.0,0.0023
13680.0,0.0022
13740.0,0.0022
13800.0,0.0021
13860.0,0.002
13920.0,0.002
13980.0,0.0019
14040.0,0.0019
14100.0,0.0018
14160.0,0.0018
14220.0,0.0017
14280.0,0.0017
14340.0,0.0016
14640.0,0.0014
