# Synthetic flood velocity hydrograph — case 092
# type=flash  V_peak=0.671 m/s  lead_ratio=0.200  alpha_v=2.326  recession_ratio_v=1.595
# time (min), velocity (m/s)
0.0,0.0
5.0,0.0134
10.0,0.0565
15.0,0.1222
20.0,0.2012
25.0,0.2849
30.0,0.3669
35.0,0.4426
40.0,0.5089
45.0,0.5641
50.0,0.6074
55.0,0.639
60.0,0.6594
65.0,0.6694
70.0,0.6164
75.0,0.4985
80.0,0.4031
85.0,0.326
90.0,0.2637
95.0,0.2132
100.0,0.1724
105.0,0.1395
110.0,0.1128
115.0,0.0912
120.0,0.0738
125.0,0.0597
130.0,0.0482
135.0,0.039
140.0,0.0316
145.0,0.0255
150.0,0.0206
155.0,0.0167
160.0,0.0135
165.0,0.0109
170.0,0.0088
175.0,0.0071
180.0,0.0058
185.0,0.0047
190.0,0.0038
195.0,0.0031
200.0,0.0025
205.0,0.002
210.0,0.0016
215.0,0.0013
220.0,0.0011
225.0,0.0009
230.0,0.0007
235.0,0.0006
240.0,0.0005
245.0,0.0004
250.0,0.0003
255.0,0.0002
260.0,0.0002
285.0,0.0001
