# Synthetic flood velocity hydrograph — case 006
# type=short  V_peak=0.286 m/s  lead_ratio=0.174  alpha_v=1.886  recession_ratio_v=2.139
# time (min), velocity (m/s)
0.0,0.0
15.0,0.0007
30.0,0.0027
45.0,0.0056
60.0,0.0093
75.0,0.0137
90.0,0.0188
105.0,0.0244
120.0,0.0305
135.0,0.0369
150.0,0.0437
165.0,0.0507
180.0,0.058
195.0,0.0655
210.0,0.0731
225.0,0.0808
240.0,0.0885
255.0,0.0963
270.0,0.1041
285.0,0.1118
300.0,0.1196
315.0,0.1272
330.0,0.1348
345.0,0.1422
360.0,0.1495
375.0,0.1567
390.0,0.1638
405.0,0.1706
420.0,0.1773
435.0,0.1839
450.0,0.1902
465.0,0.1964
480.0,0.2023
495.0,0.208
510.0,0.2136
525.0,0.2189
540.0,0.224
555.0,0.2289
570.0,0.2336
585.0,0.2381
600.0,0.2423
615.0,0.2464
630.0,0.2502
645.0,0.2538
660.0,0.2572
675.0,0.2604
690.0,0.2634
705.0,0.2662
720.0,0.2687
735.0,0.2711
750.0,0.2733
765.0,0.2753
780.0,0.2771
795.0,0.2788
810.0,0.2802
825.0,0.2815
840.0,0.2826
855.0,0.2836
870.0,0.2844
885.0,0.285
900.0,0.2855
915.0,0.2858
930.0,0.286
945.0,0.2838
960.0,0.2742
975.0,0.265
990.0,0.2561
1005.0,0.2474
1020.0,0.2391
1035.0,0.231
1050.0,0.2232
1065.0,0.2157
1080.0,0.2084
1095.0,0.2014
1110.0,0.1946
1125.0,0.1881
1140.0,0.1817
1155.0,0.1756
1170.0,0.1697
1185.0,0.164
1200.0,0.1584
1215.0,0.1531
1230.0,0.1479
1245.0,0.1429
1260.0,0.1381
1275.0,0.1335
1290.0,0.129
1305.0,0.1246
1320.0,0.1204
1335.0,0.1164
1350.0,0.1124
1365.0,0.1086
1380.0,0.105
1395.0,0.1014
1410.0,0.098
1425.0,0.0947
1440.0,0.0915
1455.0,0.0884
1470.0,0.0855
1485.0,0.0826
1500.0,0.0798
1515.0,0.0771
1530.0,0.0745
1545.0,0.072
1560.0,0.0696
1575.0,0.0672
1590.0,0.0649
1605.0,0.0628
1620.0,0.0606
1635.0,0.0586
1650.0,0.0566
1665.0,0.0547
1680.0,0.0529
1695.0,0.0511
1710.0,0.0494
1725.0,0.0477
1740.0,0.0461
1755.0,0.0445
1770.0,0.043
1785.0,0.0416
1800.0,0.0402
1815.0,0.0388
1830.0,0.0375
1845.0,0.0363
1860.0,0.035
1875.0,0.0339
1890.0,0.0327
1905.0,0.0316
1920.0,0.0305
1935.0,0.0295
1950.0,0.0285
1965.0,0.0276
1980.0,0.0266
1995.0,0.0257
2010.0,0.0249
2025.0,0.024
2040.0,0.0232
2055.0,0.0224
2070.0,0.0217
2085.0,0.0209
2100.0,0.0202
2115.0,0.0196
2130.0,0.0189
2145.0,0.0183
2160.0,0.0176
2175.0,0.017
2190.0,0.0165
2205.0,0.0159
2220.0,0.0154
2235.0,0.0149
2250.0,0.0144
2265.0,0.0139
2280.0,0.0134
2295.0,0.013
2310.0,0.0125
2325.0,0.0121
2340.0,0.0117
2355.0,0.0113
2370.0,0.0109
2385.0,0.0105
2400.0,0.0102
2415.0,0.0098
2430.0,0.0095
2445.0,0.0092
2460.0,0.0089
2475.0,0.0086
2490.0,0.0083
2505.0,0.008
2520.0,0.0077
2535.0,0.0075
2550.0,0.0072
2565.0,0.007
2580.0,0.0068
2595.0,0.0065
2610.0,0.0063
2625.0,0.0061
2640.0,0.0059
2655.0,0.0057
2670.0,0.0055
2685.0,0.0053
2700.0,0.0051
2715.0,0.005
2730.0,0.0048
2745.0,0.0046
2760.0,0.0045
2775.0,0.0043
2790.0,0.0042
2805.0,0.004
2820.0,0.0039
2835.0,0.0038
2850.0,0.0036
2865.0,0.0035
2880.0,0.0034
2895.0,0.0033
2910.0,0.0032
2925.0,0.0031
2940.0,0.003
2955.0,0.0029
2970.0,0.0028
2985.0,0.0027
3000.0,0.0026
3015.0,0.0025
3030.0,0.0024
3045.0,0.0023
3060.0,0.0023
3075.0,0.0022
3090.0,0.0021
3105.0,0.002
3120.0,0.002
3135.0,0.0019
3150.0,0.0018
3165.0,0.0018
3180.0,0.0017
3195.0,0.0017
3210.0,0.0016
3225.0,0.0015
3240.0,0.0015
3255.0,0.0014
3270.0,0.0014
3285.0,0.0013
3300.0,0.0013
3315.0,0.0013
3330.0,0.0012
3345.0,0.0012
3360.0,0.0011
3375.0,0.0011
3390.0,0.0011
3405.0,0.001
3420.0,0.001
3435.0,0.001
3450.0,0.0009
3465.0,0.0009
3480.0,0.0009
3495.0,0.0008
3510.0,0.0008
3525.0,0.0008
3540.0,0.0008
3615.0,0.0006
