# Synthetic flood velocity hydrograph — case 041
# type=flash  V_peak=0.906 m/s  lead_ratio=0.057  alpha_v=2.189  recession_ratio_v=1.747
# time (min), velocity (m/s)
0.0,0.0
5.0,0.0029
10.0,0.0122
15.0,0.028
20.0,0.0496
25.0,0.0761
30.0,0.1069
35.0,0.1412
40.0,0.1782
45.0,0.2172
50.0,0.2578
55.0,0.2992
60.0,0.3411
65.0,0.3829
70.0,0.4244
75.0,0.465
80.0,0.5046
85.0,0.543
90.0,0.5798
95.0,0.6149
100.0,0.6482
105.0,0.6796
110.0,0.709
115.0,0.7363
120.0,0.7615
125.0,0.7845
130.0,0.8055
135.0,0.8243
140.0,0.841
145.0,0.8557
150.0,0.8683
155.0,0.879
160.0,0.8878
165.0,0.8948
170.0,0.9001
175.0,0.9036
180.0,0.9056
185.0,0.8916
190.0,0.83
195.0,0.7726
200.0,0.7191
205.0,0.6694
210.0,0.6231
215.0,0.58
220.0,0.5399
225.0,0.5025
230.0,0.4678
235.0,0.4354
240.0,0.4053
245.0,0.3773
250.0,0.3512
255.0,0.3269
260.0,0.3043
265.0,0.2832
270.0,0.2636
275.0,0.2454
280.0,0.2284
285.0,0.2126
290.0,0.1979
295.0,0.1842
300.0,0.1715
305.0,0.1596
310.0,0.1486
315.0,0.1383
320.0,0.1287
325.0,0.1198
330.0,0.1115
335.0,0.1038
340.0,0.0966
345.0,0.09
350.0,0.0837
355.0,0.0779
360.0,0.0726
365.0,0.0675
370.0,0.0629
375.0,0.0585
380.0,0.0545
385.0,0.0507
390.0,0.0472
395.0,0.0439
400.0,0.0409
405.0,0.0381
410.0,0.0354
415.0,0.033
420.0,0.0307
425.0,0.0286
430.0,0.0266
435.0,0.0248
440.0,0.023
445.0,0.0215
450.0,0.02
455.0,0.0186
460.0,0.0173
465.0,0.0161
470.0,0.015
475.0,0.014
480.0,0.013
485.0,0.0121
490.0,0.0113
495.0,0.0105
500.0,0.0098
505.0,0.0091
510.0,0.0084
515.0,0.0079
520.0,0.0073
525.0,0.0068
530.0,0.0063
535.0,0.0059
540.0,0.0055
545.0,0.0051
570.0,0.0036
