# Synthetic flood velocity hydrograph — case 063
# type=flash  V_peak=0.510 m/s  lead_ratio=0.087  alpha_v=2.888  recession_ratio_v=2.335
# time (min), velocity (m/s)
0.0,0.0
5.0,0.0275
10.0,0.1295
15.0,0.2658
20.0,0.3882
25.0,0.4707
30.0,0.5071
35.0,0.4226
40.0,0.3104
45.0,0.228
50.0,0.1675
55.0,0.123
60.0,0.0903
65.0,0.0663
70.0,0.0487
75.0,0.0358
80.0,0.0263
85.0,0.0193
90.0,0.0142
95.0,0.0104
100.0,0.0077
105.0,0.0056
110.0,0.0041
115.0,0.003
120.0,0.0022
125.0,0.0016
150.0,0.0003
