# Synthetic flood velocity hydrograph — case 093
# type=flash  V_peak=0.495 m/s  lead_ratio=0.064  alpha_v=1.634  recession_ratio_v=1.593
# time (min), velocity (m/s)
0.0,0.0
5.0,0.0228
10.0,0.0642
15.0,0.1131
20.0,0.1642
25.0,0.2146
30.0,0.2623
35.0,0.3063
40.0,0.3457
45.0,0.3804
50.0,0.4101
55.0,0.4349
60.0,0.455
65.0,0.4706
70.0,0.4821
75.0,0.4898
80.0,0.4939
85.0,0.4823
90.0,0.4062
95.0,0.3422
100.0,0.2882
105.0,0.2428
110.0,0.2045
115.0,0.1723
120.0,0.1451
125.0,0.1222
130.0,0.1029
135.0,0.0867
140.0,0.073
145.0,0.0615
150.0,0.0518
155.0,0.0437
160.0,0.0368
165.0,0.031
170.0,0.0261
175.0,0.022
180.0,0.0185
185.0,0.0156
190.0,0.0131
195.0,0.0111
200.0,0.0093
205.0,0.0078
210.0,0.0066
215.0,0.0056
220.0,0.0047
225.0,0.004
230.0,0.0033
235.0,0.0028
240.0,0.0024
245.0,0.002
270.0,0.0008
