# Synthetic flood velocity hydrograph — case 050
# type=flash  V_peak=0.181 m/s  lead_ratio=0.139  alpha_v=2.825  recession_ratio_v=1.202
# time (min), velocity (m/s)
0.0,0.0
5.0,0.005
10.0,0.0256
15.0,0.058
20.0,0.0942
25.0,0.1274
30.0,0.1536
35.0,0.171
40.0,0.1797
45.0,0.1522
50.0,0.0975
55.0,0.0625
60.0,0.04
65.0,0.0257
70.0,0.0164
75.0,0.0105
80.0,0.0068
85.0,0.0043
90.0,0.0028
95.0,0.0018
100.0,0.0011
105.0,0.0007
110.0,0.0005
115.0,0.0003
120.0,0.0002
125.0,0.0001
130.0,0.0001
135.0,0.0001
140.0,0.0
145.0,0.0
170.0,0.0
