# Synthetic flood velocity hydrograph — case 001
# type=short  V_peak=0.560 m/s  lead_ratio=0.079  alpha_v=3.303  recession_ratio_v=3.330
# time (min), velocity (m/s)
0.0,0.0
15.0,0.0005
30.0,0.0046
45.0,0.015
60.0,0.0332
75.0,0.0593
90.0,0.0927
105.0,0.1319
120.0,0.1754
135.0,0.2215
150.0,0.2684
165.0,0.3146
180.0,0.3588
195.0,0.3999
210.0,0.4371
225.0,0.4697
240.0,0.4973
255.0,0.5199
270.0,0.5372
285.0,0.5495
300.0,0.557
315.0,0.5599
330.0,0.5309
345.0,0.4974
360.0,0.4659
375.0,0.4365
390.0,0.4089
405.0,0.3831
420.0,0.3588
435.0,0.3362
450.0,0.3149
465.0,0.295
480.0,0.2764
495.0,0.2589
510.0,0.2425
525.0,0.2272
540.0,0.2129
555.0,0.1994
570.0,0.1868
585.0,0.175
600.0,0.1639
615.0,0.1536
630.0,0.1439
645.0,0.1348
660.0,0.1263
675.0,0.1183
690.0,0.1108
705.0,0.1038
720.0,0.0972
735.0,0.0911
750.0,0.0853
765.0,0.0799
780.0,0.0749
795.0,0.0702
810.0,0.0657
825.0,0.0616
840.0,0.0577
855.0,0.054
870.0,0.0506
885.0,0.0474
900.0,0.0444
915.0,0.0416
930.0,0.039
945.0,0.0365
960.0,0.0342
975.0,0.0321
990.0,0.03
1005.0,0.0281
1020.0,0.0264
1035.0,0.0247
1050.0,0.0231
1065.0,0.0217
1080.0,0.0203
1095.0,0.019
1110.0,0.0178
1125.0,0.0167
1140.0,0.0156
1155.0,0.0146
1170.0,0.0137
1185.0,0.0129
1200.0,0.012
1215.0,0.0113
1230.0,0.0106
1245.0,0.0099
1260.0,0.0093
1275.0,0.0087
1290.0,0.0081
1305.0,0.0076
1320.0,0.0071
1335.0,0.0067
1350.0,0.0063
1365.0,0.0059
1380.0,0.0055
1395.0,0.0052
1410.0,0.0048
1425.0,0.0045
1440.0,0.0042
1455.0,0.004
1470.0,0.0037
1485.0,0.0035
1500.0,0.0033
1515.0,0.0031
1530.0,0.0029
1545.0,0.0027
1560.0,0.0025
1575.0,0.0024
1650.0,0.0017
