replicate_id,u_membrane:1,h_star_1_membrane:1,peak_h_in_m,peak_h_basement_m,peak_h_sump_m,peak_h_ext_m,total_volume_in_m3
0,0.7739560485559633,0.5390465721345793,0.00013291917224786008,0.0,0.0,0.5,0.006638751412392997
1,0.4388784397520523,0.49236817504171343,0.0167385670800224,0.0,0.0,0.5,0.8369211468011202
2,0.8585979199113825,0.5566920591603851,0.00013291917224786008,0.0,0.0,0.5,0.006638751412392997
3,0.6973680290593639,0.5265217592807774,0.00013291917224786008,0.0,0.0,0.5,0.006638751412392997
4,0.09417734788764953,0.43836938645055074,0.11099713874695413,0.0,0.0,0.5,5.5498497301477085
5,0.9756223516367559,0.6089161878704564,0.00013291917224786008,0.0,0.0,0.5,0.006638751412392997
6,0.761139701990353,0.5367891881479853,0.00013291917224786008,0.0,0.0,0.5,0.006638751412392997
7,0.7860643052769538,0.541255824183305,0.00013291917224786008,0.0,0.0,0.5,0.006638751412392997
8,0.12811363267554587,0.4463363232280189,0.11099713874695413,0.0,0.0,0.5,5.5498497301477085
9,0.45038593789556713,0.4938043889026211,0.0167385670800224,0.0,0.0,0.5,0.8369211468011202
10,0.37079802423258124,0.4837818337319114,0.0167385670800224,0.0,0.0,0.5,0.8369211468011202
11,0.9267649888486018,0.5781419680406918,0.00013291917224786008,0.0,0.0,0.5,0.006638751412392997
12,0.6438651200806645,0.5187847428638562,0.00013291917224786008,0.0,0.0,0.5,0.006638751412392997
13,0.82276161327083,0.5485081691605892,0.00013291917224786008,0.0,0.0,0.5,0.006638751412392997
14,0.44341419882733113,0.49293446973265664,0.0167385670800224,0.0,0.0,0.5,0.8369211468011202
15,0.2272387217847769,0.46396585642039245,0.08057464579912538,0.0,0.0,0.5,4.028725082756269
16,0.5545847870158348,0.5069099874022478,0.00013291917224786008,0.0,0.0,0.5,0.006638751412392997
17,0.06381725610417532,0.4293439899637114,0.1397861138906909,0.0,0.0,0.5,6.989298487334546
18,0.8276311719925821,0.5495461020792616,0.00013291917224786008,0.0,0.0,0.5,0.006638751412392997
19,0.6316643991220648,0.5170991197197693,0.00013291917224786008,0.0,0.0,0.5,0.006638751412392997
20,0.7580877400853738,0.5362629171453043,0.00013291917224786008,0.0,0.0,0.5,0.006638751412392997
21,0.35452596812986836,0.48168729179221254,0.04914746044054915,0.0,0.0,0.5,2.457365814827458
22,0.9706980243949033,0.604090111173046,0.00013291917224786008,0.0,0.0,0.5,0.006638751412392997
23,0.8931211213221977,0.5661946792911507,0.00013291917224786008,0.0,0.0,0.5,0.006638751412392997
24,0.7783834970737619,0.5398453023866037,0.00013291917224786008,0.0,0.0,0.5,0.006638751412392997
25,0.19463870785196757,0.45875451760237856,0.08057464579912538,0.0,0.0,0.5,4.028725082756269
26,0.4667210037270342,0.4958416357457979,0.0167385670800224,0.0,0.0,0.5,0.8369211468011202
27,0.04380376578722878,0.42148853187427515,0.1397861138906909,0.0,0.0,0.5,6.989298487334546
28,0.15428949206754783,0.45159568177069087,0.08057464579912538,0.0,0.0,0.5,4.028725082756269
29,0.6830489532424546,0.5243882172337331,0.00013291917224786008,0.0,0.0,0.5,0.006638751412392997
30,0.7447621559078171,0.5340117360628465,0.00013291917224786008,0.0,0.0,0.5,0.006638751412392997
31,0.96750973243421,0.6013320627736817,0.00013291917224786008,0.0,0.0,0.5,0.006638751412392997
32,0.32582535813815194,0.47792847191467175,0.04914746044054915,0.0,0.0,0.5,2.457365814827458
33,0.3704597060348689,0.48373851061038875,0.0167385670800224,0.0,0.0,0.5,0.8369211468011202
34,0.4695558112758079,0.49619522597580074,0.0167385670800224,0.0,0.0,0.5,0.8369211468011202
35,0.1894713590842857,0.4578874878190119,0.08057464579912538,0.0,0.0,0.5,4.028725082756269
36,0.12992150533547164,0.44671994292016315,0.11099713874695413,0.0,0.0,0.5,5.5498497301477085
37,0.47570492622593374,0.4969624437957615,0.0167385670800224,0.0,0.0,0.5,0.8369211468011202
38,0.2269093490508841,0.4639151686903433,0.08057464579912538,0.0,0.0,0.5,4.028725082756269
39,0.6698139946825103,0.5224598084245955,0.00013291917224786008,0.0,0.0,0.5,0.006638751412392997
40,0.43715191887233074,0.4921525288920527,0.0167385670800224,0.0,0.0,0.5,0.8369211468011202
41,0.8326781960578374,0.5506439301549648,0.00013291917224786008,0.0,0.0,0.5,0.006638751412392997
42,0.7002651020022491,0.5269598770596198,0.00013291917224786008,0.0,0.0,0.5,0.006638751412392997
43,0.31236664138204107,0.476130884799794,0.04914746044054915,0.0,0.0,0.5,2.457365814827458
44,0.8322598013952011,0.5505520352428457,0.00013291917224786008,0.0,0.0,0.5,0.006638751412392997
45,0.8047643574968019,0.5448357637697279,0.00013291917224786008,0.0,0.0,0.5,0.006638751412392997
46,0.38747837903017446,0.48590754312906137,0.0167385670800224,0.0,0.0,0.5,0.8369211468011202
47,0.2883281039302441,0.47285109963185296,0.04914746044054915,0.0,0.0,0.5,2.457365814827458
48,0.6824955039749755,0.5243067699064904,0.00013291917224786008,0.0,0.0,0.5,0.006638751412392997
49,0.1397524836093098,0.448749530015602,0.11099713874695413,0.0,0.0,0.5,5.5498497301477085
50,0.19990820247510832,0.45962603030948723,0.08057464579912538,0.0,0.0,0.5,4.028725082756269
51,0.007362269751005512,0.39177969712396526,0.1912770028908905,0.0,0.0,0.5,9.563842937344527
52,0.7869243775021384,0.5414158162712812,0.00013291917224786008,0.0,0.0,0.5,0.006638751412392997
53,0.6648508565920321,0.5217465661924958,0.00013291917224786008,0.0,0.0,0.5,0.006638751412392997
54,0.7051653786263351,0.5277061732089194,0.00013291917224786008,0.0,0.0,0.5,0.006638751412392997
55,0.7807290310219679,0.5402726237030143,0.00013291917224786008,0.0,0.0,0.5,0.006638751412392997
56,0.45891577553833995,0.4948682371897582,0.0167385670800224,0.0,0.0,0.5,0.8369211468011202
57,0.5687411959528937,0.5087339169245739,0.00013291917224786008,0.0,0.0,0.5,0.006638751412392997
58,0.13979699812765745,0.4487585147580046,0.11099713874695413,0.0,0.0,0.5,5.5498497301477085
59,0.11453007353597344,0.44333680245951335,0.11099713874695413,0.0,0.0,0.5,5.5498497301477085
60,0.6684029617904717,0.5222565024297764,0.00013291917224786008,0.0,0.0,0.5,0.006638751412392997
61,0.4710962061431325,0.49638738578103986,0.0167385670800224,0.0,0.0,0.5,0.8369211468011202
62,0.5652361064811888,0.5082807391358845,0.00013291917224786008,0.0,0.0,0.5,0.006638751412392997
63,0.7649988574160256,0.537460695030431,0.00013291917224786008,0.0,0.0,0.5,0.006638751412392997
64,0.6347183200005908,0.5175187320931949,0.00013291917224786008,0.0,0.0,0.5,0.006638751412392997
65,0.5535794006579958,0.5067810692921583,0.00013291917224786008,0.0,0.0,0.5,0.006638751412392997
66,0.5592071607454135,0.507503718148267,0.00013291917224786008,0.0,0.0,0.5,0.006638751412392997
67,0.3039500980626122,0.47499334321615644,0.04914746044054915,0.0,0.0,0.5,2.457365814827458
68,0.030817834567939406,0.41476717439512106,0.16655076256968618,0.0,0.0,0.5,8.327530921284309
69,0.43671738923236236,0.49209824671225555,0.0167385670800224,0.0,0.0,0.5,0.8369211468011202
70,0.2145846728195292,0.46199160068533573,0.08057464579912538,0.0,0.0,0.5,4.028725082756269
71,0.40852864372463615,0.48856618563710347,0.0167385670800224,0.0,0.0,0.5,0.8369211468011202
72,0.8534030732681661,0.5554186727136347,0.00013291917224786008,0.0,0.0,0.5,0.006638751412392997
73,0.23393948586534075,0.4649894215483356,0.08057464579912538,0.0,0.0,0.5,4.028725082756269
74,0.05830274168906602,0.42738697836653033,0.1397861138906909,0.0,0.0,0.5,6.989298487334546
75,0.28138389202199654,0.4718846485424918,0.04914746044054915,0.0,0.0,0.5,2.457365814827458
76,0.2935937577666836,0.4735779292859695,0.04914746044054915,0.0,0.0,0.5,2.457365814827458
77,0.6619165147268951,0.5213272847799941,0.00013291917224786008,0.0,0.0,0.5,0.006638751412392997
78,0.5570321523412783,0.5072241339331007,0.00013291917224786008,0.0,0.0,0.5,0.006638751412392997
79,0.7838982091064135,0.5408547414772124,0.00013291917224786008,0.0,0.0,0.5,0.006638751412392997
80,0.6643135403273875,0.5216696584514307,0.00013291917224786008,0.0,0.0,0.5,0.006638751412392997
81,0.4063868614400705,0.4882966794922162,0.0167385670800224,0.0,0.0,0.5,0.8369211468011202
82,0.8140203846660347,0.5466938969085423,0.00013291917224786008,0.0,0.0,0.5,0.006638751412392997
83,0.1669729199077039,0.45395062817060045,0.08057464579912538,0.0,0.0,0.5,4.028725082756269
84,0.022712073133860478,0.4093365005879132,0.16655076256968618,0.0,0.0,0.5,8.327530921284309
85,0.09004786077564175,0.4372749012024068,0.11099713874695413,0.0,0.0,0.5,5.5498497301477085
86,0.7223593505964503,0.5303804492586561,0.00013291917224786008,0.0,0.0,0.5,0.006638751412392997
87,0.4618772302513874,0.4952375502262477,0.0167385670800224,0.0,0.0,0.5,0.8369211468011202
88,0.1612717790336018,0.45290557224684147,0.08057464579912538,0.0,0.0,0.5,4.028725082756269
