# case 0154  h_peak=1.50 m  t_peak=2880 min  alpha=1.5  rec_ratio=1.5
# time (min), depth (m), velocity (m/s)
0.0,0.0,0.0
10.0,0.0014,0.0374
20.0,0.0039,0.0624
30.0,0.007,0.0837
40.0,0.0108,0.1039
50.0,0.015,0.1225
60.0,0.0196,0.14
70.0,0.0246,0.1568
80.0,0.0299,0.1729
90.0,0.0354,0.1881
100.0,0.0413,0.2032
110.0,0.0474,0.2177
120.0,0.0537,0.2317
130.0,0.0602,0.2454
140.0,0.067,0.2588
150.0,0.0739,0.2718
160.0,0.081,0.2846
170.0,0.0882,0.297
180.0,0.0956,0.3092
190.0,0.1032,0.3212
200.0,0.1109,0.333
210.0,0.1187,0.3445
220.0,0.1266,0.3558
230.0,0.1346,0.3669
240.0,0.1427,0.3778
250.0,0.1509,0.3885
260.0,0.1593,0.3991
270.0,0.1677,0.4095
280.0,0.1761,0.4196
290.0,0.1847,0.4298
300.0,0.1933,0.4397
310.0,0.202,0.4494
320.0,0.2108,0.4591
330.0,0.2196,0.4686
340.0,0.2284,0.4779
350.0,0.2373,0.4871
360.0,0.2463,0.4963
370.0,0.2553,0.5053
380.0,0.2643,0.5141
390.0,0.2734,0.5229
400.0,0.2825,0.5315
410.0,0.2917,0.5401
420.0,0.3008,0.5485
430.0,0.31,0.5568
440.0,0.3192,0.565
450.0,0.3285,0.5731
460.0,0.3377,0.5811
470.0,0.347,0.5891
480.0,0.3562,0.5968
490.0,0.3655,0.6046
500.0,0.3748,0.6122
510.0,0.3841,0.6198
520.0,0.3934,0.6272
530.0,0.4027,0.6346
540.0,0.412,0.6419
550.0,0.4213,0.6491
560.0,0.4306,0.6562
570.0,0.4399,0.6632
580.0,0.4492,0.6702
590.0,0.4584,0.6771
600.0,0.4677,0.6839
610.0,0.4769,0.6906
620.0,0.4862,0.6973
630.0,0.4954,0.7038
640.0,0.5046,0.7104
650.0,0.5138,0.7168
660.0,0.523,0.7232
670.0,0.5321,0.7295
680.0,0.5412,0.7357
690.0,0.5504,0.7419
700.0,0.5594,0.7479
710.0,0.5685,0.754
720.0,0.5775,0.7599
730.0,0.5866,0.7659
740.0,0.5955,0.7717
750.0,0.6045,0.7775
760.0,0.6134,0.7832
770.0,0.6223,0.7889
780.0,0.6312,0.7945
790.0,0.64,0.8
800.0,0.6488,0.8055
810.0,0.6576,0.8109
820.0,0.6663,0.8163
830.0,0.675,0.8216
840.0,0.6837,0.8269
850.0,0.6923,0.832
860.0,0.7009,0.8372
870.0,0.7095,0.8423
880.0,0.718,0.8473
890.0,0.7265,0.8523
900.0,0.7349,0.8573
910.0,0.7433,0.8621
920.0,0.7517,0.867
930.0,0.76,0.8718
940.0,0.7683,0.8765
950.0,0.7765,0.8812
960.0,0.7847,0.8858
970.0,0.7929,0.8904
980.0,0.801,0.895
990.0,0.809,0.8994
1000.0,0.8171,0.9039
1010.0,0.825,0.9083
1020.0,0.833,0.9127
1030.0,0.8409,0.917
1040.0,0.8487,0.9212
1050.0,0.8565,0.9255
1060.0,0.8642,0.9296
1070.0,0.8719,0.9338
1080.0,0.8796,0.9379
1090.0,0.8872,0.9419
1100.0,0.8948,0.9459
1110.0,0.9023,0.9499
1120.0,0.9098,0.9538
1130.0,0.9172,0.9577
1140.0,0.9246,0.9616
1150.0,0.9319,0.9653
1160.0,0.9392,0.9691
1170.0,0.9464,0.9728
1180.0,0.9536,0.9765
1190.0,0.9607,0.9802
1200.0,0.9678,0.9838
1210.0,0.9748,0.9873
1220.0,0.9818,0.9909
1230.0,0.9887,0.9943
1240.0,0.9956,0.9978
1250.0,1.0025,1.0012
1260.0,1.0092,1.0046
1270.0,1.016,1.008
1280.0,1.0227,1.0113
1290.0,1.0293,1.0145
1300.0,1.0359,1.0178
1310.0,1.0424,1.021
1320.0,1.0489,1.0242
1330.0,1.0553,1.0273
1340.0,1.0617,1.0304
1350.0,1.068,1.0334
1360.0,1.0743,1.0365
1370.0,1.0805,1.0395
1380.0,1.0867,1.0424
1390.0,1.0928,1.0454
1400.0,1.0989,1.0483
1410.0,1.1049,1.0511
1420.0,1.1109,1.054
1430.0,1.1168,1.0568
1440.0,1.1227,1.0596
1450.0,1.1285,1.0623
1460.0,1.1343,1.065
1470.0,1.14,1.0677
1480.0,1.1457,1.0704
1490.0,1.1513,1.073
1500.0,1.1569,1.0756
1510.0,1.1624,1.0781
1520.0,1.1679,1.0807
1530.0,1.1733,1.0832
1540.0,1.1787,1.0857
1550.0,1.184,1.0881
1560.0,1.1892,1.0905
1570.0,1.1944,1.0929
1580.0,1.1996,1.0953
1590.0,1.2047,1.0976
1600.0,1.2098,1.0999
1610.0,1.2148,1.1022
1620.0,1.2198,1.1044
1630.0,1.2247,1.1067
1640.0,1.2296,1.1089
1650.0,1.2344,1.111
1660.0,1.2391,1.1131
1670.0,1.2439,1.1153
1680.0,1.2485,1.1174
1690.0,1.2532,1.1195
1700.0,1.2577,1.1215
1710.0,1.2622,1.1235
1720.0,1.2667,1.1255
1730.0,1.2711,1.1274
1740.0,1.2755,1.1294
1750.0,1.2799,1.1313
1760.0,1.2841,1.1332
