# case 0179  h_peak=1.20 m  t_peak=480 min  alpha=4.0  rec_ratio=2.5
# time (min), depth (m), velocity (m/s)
0.0,0.0,0.0
1.0,0.0,0.0
2.0,0.0,0.0
3.0,0.0,0.0
4.0,0.0,0.0
5.0,0.0,0.0
6.0,0.0,0.0
7.0,0.0,0.0
8.0,0.0,0.0
9.0,0.0,0.0
10.0,0.0,0.0
11.0,0.0,0.0
12.0,0.0,0.0
13.0,0.0,0.0
14.0,0.0,0.0
15.0,0.0001,0.015
16.0,0.0001,0.015
17.0,0.0001,0.015
18.0,0.0001,0.015
19.0,0.0001,0.015
20.0,0.0002,0.0212
21.0,0.0002,0.0212
22.0,0.0002,0.0212
23.0,0.0003,0.026
24.0,0.0003,0.026
25.0,0.0004,0.03
26.0,0.0005,0.0335
27.0,0.0005,0.0335
28.0,0.0006,0.0367
29.0,0.0007,0.0397
30.0,0.0008,0.0424
31.0,0.0009,0.045
32.0,0.001,0.0474
33.0,0.0011,0.0497
34.0,0.0012,0.052
35.0,0.0014,0.0561
36.0,0.0015,0.0581
37.0,0.0017,0.0618
38.0,0.0019,0.0654
39.0,0.0021,0.0687
40.0,0.0023,0.0719
41.0,0.0025,0.075
42.0,0.0027,0.0779
43.0,0.0029,0.0808
44.0,0.0032,0.0849
45.0,0.0035,0.0887
46.0,0.0038,0.0925
47.0,0.0041,0.096
48.0,0.0044,0.0995
49.0,0.0047,0.1028
50.0,0.0051,0.1071
51.0,0.0055,0.1112
52.0,0.0059,0.1152
53.0,0.0063,0.1191
54.0,0.0067,0.1228
55.0,0.0071,0.1264
56.0,0.0076,0.1308
57.0,0.0081,0.135
58.0,0.0086,0.1391
59.0,0.0091,0.1431
60.0,0.0097,0.1477
61.0,0.0103,0.1522
62.0,0.0109,0.1566
63.0,0.0115,0.1609
64.0,0.0121,0.165
65.0,0.0128,0.1697
66.0,0.0135,0.1743
67.0,0.0142,0.1787
68.0,0.015,0.1837
69.0,0.0157,0.1879
70.0,0.0165,0.1927
71.0,0.0174,0.1979
72.0,0.0182,0.2024
73.0,0.0191,0.2073
74.0,0.02,0.2121
75.0,0.0209,0.2169
76.0,0.0219,0.222
77.0,0.0228,0.2265
78.0,0.0238,0.2314
79.0,0.0249,0.2367
80.0,0.026,0.2419
81.0,0.0271,0.2469
82.0,0.0282,0.2519
83.0,0.0293,0.2568
84.0,0.0305,0.262
85.0,0.0317,0.2671
86.0,0.033,0.2725
87.0,0.0342,0.2774
88.0,0.0356,0.283
89.0,0.0369,0.2881
90.0,0.0383,0.2936
91.0,0.0396,0.2985
92.0,0.0411,0.3041
93.0,0.0425,0.3092
94.0,0.044,0.3146
95.0,0.0455,0.32
96.0,0.0471,0.3255
97.0,0.0487,0.331
98.0,0.0503,0.3364
99.0,0.052,0.3421
100.0,0.0536,0.3473
101.0,0.0554,0.3531
102.0,0.0571,0.3584
103.0,0.0589,0.364
104.0,0.0607,0.3696
105.0,0.0625,0.375
106.0,0.0644,0.3807
107.0,0.0663,0.3862
108.0,0.0683,0.392
109.0,0.0702,0.3974
110.0,0.0723,0.4033
111.0,0.0743,0.4089
112.0,0.0764,0.4146
113.0,0.0785,0.4203
114.0,0.0806,0.4259
115.0,0.0828,0.4316
116.0,0.085,0.4373
117.0,0.0872,0.4429
118.0,0.0895,0.4487
119.0,0.0918,0.4545
120.0,0.0942,0.4604
121.0,0.0965,0.466
122.0,0.0989,0.4717
123.0,0.1014,0.4777
124.0,0.1038,0.4833
125.0,0.1063,0.4891
126.0,0.1089,0.495
127.0,0.1114,0.5006
128.0,0.114,0.5065
129.0,0.1167,0.5124
130.0,0.1193,0.5181
131.0,0.122,0.5239
132.0,0.1247,0.5297
133.0,0.1275,0.5356
134.0,0.1303,0.5415
135.0,0.1331,0.5472
136.0,0.1359,0.553
137.0,0.1388,0.5588
138.0,0.1417,0.5646
139.0,0.1447,0.5706
140.0,0.1476,0.5763
141.0,0.1507,0.5823
142.0,0.1537,0.5881
143.0,0.1567,0.5938
144.0,0.1598,0.5996
145.0,0.163,0.6056
146.0,0.1661,0.6113
147.0,0.1693,0.6172
148.0,0.1725,0.623
149.0,0.1757,0.6287
150.0,0.179,0.6346
151.0,0.1823,0.6404
152.0,0.1856,0.6462
153.0,0.189,0.6521
154.0,0.1924,0.658
155.0,0.1958,0.6637
156.0,0.1992,0.6695
157.0,0.2027,0.6753
158.0,0.2062,0.6811
159.0,0.2097,0.6869
160.0,0.2132,0.6926
161.0,0.2168,0.6984
162.0,0.2204,0.7042
163.0,0.224,0.7099
164.0,0.2276,0.7156
165.0,0.2313,0.7214
166.0,0.235,0.7272
167.0,0.2387,0.7329
168.0,0.2424,0.7385
169.0,0.2462,0.7443
170.0,0.25,0.75
171.0,0.2538,0.7557
172.0,0.2576,0.7613
173.0,0.2615,0.7671
174.0,0.2654,0.7728
175.0,0.2693,0.7784
176.0,0.2732,0.784
177.0,0.2771,0.7896
178.0,0.2811,0.7953
179.0,0.2851,0.8009
180.0,0.2891,0.8065
181.0,0.2931,0.8121
182.0,0.2972,0.8177
183.0,0.3012,0.8232
184.0,0.3053,0.8288
185.0,0.3094,0.8344
186.0,0.3135,0.8399
187.0,0.3177,0.8455
188.0,0.3218,0.8509
189.0,0.326,0.8564
190.0,0.3302,0.8619
191.0,0.3344,0.8674
192.0,0.3386,0.8728
193.0,0.3429,0.8784
194.0,0.3471,0.8837
195.0,0.3514,0.8892
196.0,0.3557,0.8946
197.0,0.36,0.9
198.0,0.3643,0.9054
199.0,0.3686,0.9107
200.0,0.373,0.9161
201.0,0.3773,0.9214
202.0,0.3817,0.9267
203.0,0.3861,0.9321
204.0,0.3905,0.9373
205.0,0.3949,0.9426
206.0,0.3993,0.9479
207.0,0.4038,0.9532
208.0,0.4082,0.9584
209.0,0.4127,0.9636
210.0,0.4171,0.9687
211.0,0.4216,0.974
212.0,0.4261,0.9791
213.0,0.4306,0.9843
214.0,0.4351,0.9894
215.0,0.4396,0.9945
216.0,0.4441,0.9996
217.0,0.4486,1.0047
218.0,0.4532,1.0098
219.0,0.4577,1.0148
220.0,0.4623,1.0199
221.0,0.4668,1.0248
222.0,0.4714,1.0299
223.0,0.4759,1.0348
224.0,0.4805,1.0398
225.0,0.4851,1.0447
226.0,0.4897,1.0497
227.0,0.4943,1.0546
228.0,0.4989,1.0595
229.0,0.5035,1.0644
230.0,0.5081,1.0692
231.0,0.5127,1.074
232.0,0.5173,1.0789
233.0,0.5219,1.0836
234.0,0.5265,1.0884
235.0,0.5311,1.0931
236.0,0.5357,1.0979
237.0,0.5403,1.1026
238.0,0.5449,1.1073
239.0,0.5496,1.112
240.0,0.5542,1.1167
241.0,0.5588,1.1213
242.0,0.5634,1.1259
243.0,0.568,1.1305
244.0,0.5726,1.1351
245.0,0.5773,1.1397
246.0,0.5819,1.1442
247.0,0.5865,1.1487
248.0,0.5911,1.1532
249.0,0.5957,1.1577
250.0,0.6003,1.1622
251.0,0.6049,1.1666
252.0,0.6095,1.1711
253.0,0.6141,1.1755
254.0,0.6187,1.1799
255.0,0.6233,1.1842
256.0,0.6279,1.1886
257.0,0.6324,1.1929
258.0,0.637,1.1972
259.0,0.6416,1.2015
260.0,0.6461,1.2057
261.0,0.6507,1.21
262.0,0.6552,1.2142
263.0,0.6598,1.2184
264.0,0.6643,1.2226
265.0,0.6688,1.2267
266.0,0.6733,1.2308
267.0,0.6779,1.235
268.0,0.6824,1.2391
269.0,0.6868,1.2431
270.0,0.6913,1.2472
271.0,0.6958,1.2512
272.0,0.7003,1.2553
273.0,0.7047,1.2592
274.0,0.7092,1.2632
275.0,0.7136,1.2671
276.0,0.718,1.271
277.0,0.7225,1.275
278.0,0.7269,1.2789
279.0,0.7313,1.2827
280.0,0.7357,1.2866
281.0,0.74,1.2903
282.0,0.7444,1.2942
283.0,0.7487,1.2979
284.0,0.7531,1.3017
285.0,0.7574,1.3054
286.0,0.7617,1.3091
287.0,0.766,1.3128
288.0,0.7703,1.3165
289.0,0.7746,1.3202
290.0,0.7788,1.3237
291.0,0.7831,1.3274
292.0,0.7873,1.3309
293.0,0.7915,1.3345
294.0,0.7957,1.338
295.0,0.7999,1.3416
296.0,0.8041,1.3451
297.0,0.8082,1.3485
298.0,0.8124,1.352
299.0,0.8165,1.3554
300.0,0.8206,1.3588
301.0,0.8247,1.3622
302.0,0.8288,1.3656
303.0,0.8329,1.369
304.0,0.8369,1.3722
305.0,0.8409,1.3755
306.0,0.8449,1.3788
307.0,0.8489,1.382
308.0,0.8529,1.3853
309.0,0.8569,1.3885
310.0,0.8608,1.3917
311.0,0.8647,1.3948
312.0,0.8687,1.3981
313.0,0.8725,1.4011
314.0,0.8764,1.4042
315.0,0.8803,1.4074
316.0,0.8841,1.4104
317.0,0.8879,1.4134
318.0,0.8917,1.4164
319.0,0.8955,1.4195
320.0,0.8992,1.4224
321.0,0.903,1.4254
322.0,0.9067,1.4283
323.0,0.9104,1.4312
324.0,0.9141,1.4341
325.0,0.9177,1.4369
326.0,0.9214,1.4398
327.0,0.925,1.4427
328.0,0.9286,1.4455
329.0,0.9322,1.4483
