# case 0008  h_peak=0.10 m  t_peak=60 min  alpha=4.0  rec_ratio=2.5
# time (min), depth (m), velocity (m/s)
0.0,0.0,0.0
10.0,0.0022,0.0469
20.0,0.0178,0.1334
30.0,0.0462,0.2149
40.0,0.0749,0.2737
50.0,0.0939,0.3064
60.0,0.1,0.3162
70.0,0.0736,0.2713
80.0,0.0541,0.2326
90.0,0.0398,0.1995
100.0,0.0293,0.1712
110.0,0.0215,0.1466
120.0,0.0158,0.1257
130.0,0.0117,0.1082
140.0,0.0086,0.0927
150.0,0.0063,0.0794
160.0,0.0046,0.0678
170.0,0.0034,0.0583
180.0,0.0025,0.05
190.0,0.0018,0.0424
200.0,0.0014,0.0374
210.0,0.001,0.0316
220.0,0.0007,0.0265
230.0,0.0005,0.0224
240.0,0.0004,0.02
290.0,0.0,0.0
