# case 0172  h_peak=1.20 m  t_peak=480 min  alpha=1.5  rec_ratio=1.5
# time (min), depth (m), velocity (m/s)
0.0,0.0,0.0
1.0,0.0005,0.0335
2.0,0.0014,0.0561
3.0,0.0026,0.0765
4.0,0.004,0.0949
5.0,0.0056,0.1122
6.0,0.0074,0.129
7.0,0.0093,0.1447
8.0,0.0113,0.1595
9.0,0.0134,0.1736
10.0,0.0157,0.1879
11.0,0.018,0.2012
12.0,0.0205,0.2148
13.0,0.023,0.2275
14.0,0.0256,0.24
15.0,0.0283,0.2523
16.0,0.0311,0.2645
17.0,0.034,0.2766
18.0,0.0369,0.2881
19.0,0.0399,0.2996
20.0,0.043,0.311
21.0,0.0461,0.3221
22.0,0.0493,0.3331
23.0,0.0525,0.3437
24.0,0.0558,0.3543
25.0,0.0591,0.3647
26.0,0.0625,0.375
27.0,0.0659,0.3851
28.0,0.0694,0.3952
29.0,0.0729,0.405
30.0,0.0765,0.4149
31.0,0.0801,0.4245
32.0,0.0838,0.4342
33.0,0.0874,0.4435
34.0,0.0912,0.453
35.0,0.0949,0.4621
36.0,0.0987,0.4712
37.0,0.1025,0.4802
38.0,0.1064,0.4893
39.0,0.1103,0.4982
40.0,0.1142,0.5069
41.0,0.1181,0.5155
42.0,0.1221,0.5241
43.0,0.1261,0.5327
44.0,0.1301,0.541
45.0,0.1341,0.5493
46.0,0.1382,0.5576
47.0,0.1423,0.5658
48.0,0.1464,0.5739
49.0,0.1505,0.5819
50.0,0.1547,0.59
51.0,0.1588,0.5977
52.0,0.163,0.6056
53.0,0.1672,0.6134
54.0,0.1714,0.621
55.0,0.1757,0.6287
56.0,0.1799,0.6362
57.0,0.1842,0.6438
58.0,0.1884,0.6511
59.0,0.1927,0.6585
60.0,0.197,0.6658
61.0,0.2014,0.6732
62.0,0.2057,0.6803
63.0,0.21,0.6874
64.0,0.2144,0.6946
65.0,0.2187,0.7015
66.0,0.2231,0.7085
67.0,0.2275,0.7155
68.0,0.2319,0.7223
69.0,0.2363,0.7292
70.0,0.2407,0.7359
71.0,0.2451,0.7426
72.0,0.2495,0.7492
73.0,0.2539,0.7558
74.0,0.2583,0.7623
75.0,0.2628,0.769
76.0,0.2672,0.7754
77.0,0.2716,0.7817
78.0,0.2761,0.7882
79.0,0.2805,0.7944
80.0,0.285,0.8008
81.0,0.2894,0.8069
82.0,0.2939,0.8132
83.0,0.2984,0.8194
84.0,0.3028,0.8254
85.0,0.3073,0.8315
86.0,0.3117,0.8375
87.0,0.3162,0.8435
88.0,0.3207,0.8495
89.0,0.3251,0.8553
90.0,0.3296,0.8612
91.0,0.3341,0.867
92.0,0.3385,0.8727
93.0,0.343,0.8785
94.0,0.3474,0.8841
95.0,0.3519,0.8898
96.0,0.3564,0.8955
97.0,0.3608,0.901
98.0,0.3653,0.9066
99.0,0.3697,0.912
100.0,0.3741,0.9175
101.0,0.3786,0.923
102.0,0.383,0.9283
103.0,0.3875,0.9337
104.0,0.3919,0.939
105.0,0.3963,0.9443
106.0,0.4007,0.9495
107.0,0.4052,0.9548
108.0,0.4096,0.96
109.0,0.414,0.9651
110.0,0.4184,0.9703
111.0,0.4228,0.9753
112.0,0.4272,0.9804
113.0,0.4315,0.9853
114.0,0.4359,0.9903
115.0,0.4403,0.9953
116.0,0.4446,1.0002
117.0,0.449,1.0051
118.0,0.4534,1.01
119.0,0.4577,1.0148
120.0,0.462,1.0196
121.0,0.4664,1.0244
122.0,0.4707,1.0291
123.0,0.475,1.0338
124.0,0.4793,1.0385
125.0,0.4836,1.0431
126.0,0.4879,1.0477
127.0,0.4922,1.0524
128.0,0.4964,1.0568
129.0,0.5007,1.0614
130.0,0.5049,1.0658
131.0,0.5092,1.0704
132.0,0.5134,1.0748
133.0,0.5176,1.0792
134.0,0.5219,1.0836
135.0,0.5261,1.088
136.0,0.5303,1.0923
137.0,0.5345,1.0966
138.0,0.5386,1.1008
139.0,0.5428,1.1051
140.0,0.547,1.1094
141.0,0.5511,1.1135
142.0,0.5552,1.1177
143.0,0.5594,1.1219
144.0,0.5635,1.126
145.0,0.5676,1.1301
146.0,0.5717,1.1342
147.0,0.5757,1.1381
148.0,0.5798,1.1422
149.0,0.5839,1.1462
150.0,0.5879,1.1501
151.0,0.592,1.1541
152.0,0.596,1.158
153.0,0.6,1.1619
154.0,0.604,1.1658
155.0,0.608,1.1696
156.0,0.612,1.1735
157.0,0.6159,1.1772
158.0,0.6199,1.181
159.0,0.6238,1.1847
160.0,0.6278,1.1885
161.0,0.6317,1.1922
162.0,0.6356,1.1959
163.0,0.6395,1.1995
164.0,0.6434,1.2032
165.0,0.6472,1.2067
166.0,0.6511,1.2104
167.0,0.6549,1.2139
