# case 0204  h_peak=1.50 m  t_peak=480 min  alpha=2.5  rec_ratio=4.0
# time (min), depth (m), velocity (m/s)
0.0,0.0,0.0
1.0,0.0,0.0
2.0,0.0,0.0
3.0,0.0001,0.01
4.0,0.0001,0.01
5.0,0.0002,0.0141
6.0,0.0003,0.0173
7.0,0.0005,0.0224
8.0,0.0006,0.0245
9.0,0.0008,0.0283
10.0,0.0011,0.0332
11.0,0.0014,0.0374
12.0,0.0017,0.0412
13.0,0.0021,0.0458
14.0,0.0025,0.05
15.0,0.0029,0.0539
16.0,0.0034,0.0583
17.0,0.0039,0.0624
18.0,0.0045,0.0671
19.0,0.0052,0.0721
20.0,0.0058,0.0762
21.0,0.0066,0.0812
22.0,0.0073,0.0854
23.0,0.0081,0.09
24.0,0.009,0.0949
25.0,0.0099,0.0995
26.0,0.0109,0.1044
27.0,0.0119,0.1091
28.0,0.013,0.114
29.0,0.0141,0.1187
30.0,0.0153,0.1237
31.0,0.0165,0.1285
32.0,0.0178,0.1334
33.0,0.0191,0.1382
34.0,0.0204,0.1428
35.0,0.0219,0.148
36.0,0.0233,0.1526
37.0,0.0249,0.1578
38.0,0.0264,0.1625
39.0,0.0281,0.1676
40.0,0.0297,0.1723
41.0,0.0315,0.1775
42.0,0.0333,0.1825
43.0,0.0351,0.1873
44.0,0.037,0.1924
45.0,0.0389,0.1972
46.0,0.0409,0.2022
47.0,0.0429,0.2071
48.0,0.045,0.2121
49.0,0.0471,0.217
50.0,0.0493,0.222
51.0,0.0516,0.2272
52.0,0.0538,0.2319
53.0,0.0562,0.2371
54.0,0.0586,0.2421
55.0,0.061,0.247
56.0,0.0635,0.252
57.0,0.066,0.2569
58.0,0.0686,0.2619
59.0,0.0712,0.2668
60.0,0.0739,0.2718
61.0,0.0766,0.2768
62.0,0.0793,0.2816
63.0,0.0821,0.2865
64.0,0.085,0.2915
65.0,0.0879,0.2965
66.0,0.0908,0.3013
67.0,0.0938,0.3063
68.0,0.0969,0.3113
69.0,0.0999,0.3161
70.0,0.1031,0.3211
71.0,0.1062,0.3259
72.0,0.1094,0.3308
73.0,0.1127,0.3357
74.0,0.116,0.3406
75.0,0.1193,0.3454
76.0,0.1227,0.3503
77.0,0.1261,0.3551
78.0,0.1296,0.36
79.0,0.1331,0.3648
80.0,0.1366,0.3696
81.0,0.1402,0.3744
82.0,0.1438,0.3792
83.0,0.1475,0.3841
84.0,0.1512,0.3888
85.0,0.1549,0.3936
86.0,0.1587,0.3984
87.0,0.1625,0.4031
88.0,0.1663,0.4078
89.0,0.1702,0.4126
90.0,0.1741,0.4173
91.0,0.178,0.4219
92.0,0.182,0.4266
93.0,0.186,0.4313
94.0,0.1901,0.436
95.0,0.1942,0.4407
96.0,0.1983,0.4453
97.0,0.2024,0.4499
98.0,0.2066,0.4545
99.0,0.2108,0.4591
100.0,0.215,0.4637
101.0,0.2193,0.4683
102.0,0.2236,0.4729
103.0,0.2279,0.4774
104.0,0.2323,0.482
105.0,0.2367,0.4865
106.0,0.2411,0.491
107.0,0.2456,0.4956
108.0,0.25,0.5
109.0,0.2545,0.5045
110.0,0.2591,0.509
111.0,0.2636,0.5134
112.0,0.2682,0.5179
113.0,0.2728,0.5223
114.0,0.2774,0.5267
115.0,0.2821,0.5311
116.0,0.2867,0.5354
117.0,0.2914,0.5398
118.0,0.2962,0.5442
119.0,0.3009,0.5485
120.0,0.3057,0.5529
121.0,0.3105,0.5572
122.0,0.3153,0.5615
123.0,0.3201,0.5658
124.0,0.3249,0.57
125.0,0.3298,0.5743
126.0,0.3347,0.5785
127.0,0.3396,0.5828
128.0,0.3445,0.5869
129.0,0.3495,0.5912
130.0,0.3544,0.5953
131.0,0.3594,0.5995
132.0,0.3644,0.6037
133.0,0.3694,0.6078
134.0,0.3744,0.6119
135.0,0.3795,0.616
136.0,0.3845,0.6201
137.0,0.3896,0.6242
138.0,0.3947,0.6283
139.0,0.3998,0.6323
140.0,0.4049,0.6363
141.0,0.4101,0.6404
142.0,0.4152,0.6444
143.0,0.4203,0.6483
144.0,0.4255,0.6523
145.0,0.4307,0.6563
146.0,0.4359,0.6602
147.0,0.4411,0.6642
148.0,0.4463,0.6681
149.0,0.4515,0.6719
150.0,0.4567,0.6758
151.0,0.462,0.6797
152.0,0.4672,0.6835
153.0,0.4725,0.6874
154.0,0.4777,0.6912
155.0,0.483,0.695
156.0,0.4883,0.6988
157.0,0.4936,0.7026
158.0,0.4989,0.7063
159.0,0.5042,0.7101
160.0,0.5095,0.7138
161.0,0.5148,0.7175
162.0,0.5201,0.7212
163.0,0.5254,0.7248
164.0,0.5307,0.7285
165.0,0.5361,0.7322
166.0,0.5414,0.7358
167.0,0.5467,0.7394
168.0,0.5521,0.743
169.0,0.5574,0.7466
170.0,0.5627,0.7501
171.0,0.5681,0.7537
172.0,0.5734,0.7572
173.0,0.5788,0.7608
174.0,0.5841,0.7643
175.0,0.5895,0.7678
176.0,0.5948,0.7712
177.0,0.6002,0.7747
178.0,0.6055,0.7781
179.0,0.6109,0.7816
180.0,0.6162,0.785
181.0,0.6216,0.7884
182.0,0.6269,0.7918
183.0,0.6323,0.7952
184.0,0.6376,0.7985
185.0,0.643,0.8019
186.0,0.6483,0.8052
187.0,0.6536,0.8085
188.0,0.659,0.8118
189.0,0.6643,0.815
190.0,0.6696,0.8183
191.0,0.675,0.8216
192.0,0.6803,0.8248
193.0,0.6856,0.828
194.0,0.6909,0.8312
195.0,0.6962,0.8344
196.0,0.7015,0.8376
197.0,0.7068,0.8407
198.0,0.7121,0.8439
199.0,0.7173,0.8469
200.0,0.7226,0.8501
201.0,0.7279,0.8532
202.0,0.7331,0.8562
203.0,0.7384,0.8593
204.0,0.7436,0.8623
205.0,0.7489,0.8654
206.0,0.7541,0.8684
207.0,0.7593,0.8714
208.0,0.7645,0.8744
209.0,0.7697,0.8773
210.0,0.7749,0.8803
211.0,0.7801,0.8832
212.0,0.7853,0.8862
213.0,0.7905,0.8891
214.0,0.7956,0.892
215.0,0.8008,0.8949
216.0,0.8059,0.8977
217.0,0.811,0.9006
218.0,0.8161,0.9034
219.0,0.8212,0.9062
220.0,0.8263,0.909
221.0,0.8314,0.9118
222.0,0.8365,0.9146
223.0,0.8415,0.9173
224.0,0.8466,0.9201
225.0,0.8516,0.9228
226.0,0.8566,0.9255
227.0,0.8616,0.9282
228.0,0.8666,0.9309
229.0,0.8716,0.9336
230.0,0.8766,0.9363
231.0,0.8815,0.9389
232.0,0.8865,0.9415
233.0,0.8914,0.9441
234.0,0.8963,0.9467
235.0,0.9012,0.9493
236.0,0.9061,0.9519
237.0,0.911,0.9545
238.0,0.9158,0.957
239.0,0.9207,0.9595
240.0,0.9255,0.962
241.0,0.9303,0.9645
242.0,0.9351,0.967
243.0,0.9399,0.9695
244.0,0.9447,0.972
245.0,0.9494,0.9744
246.0,0.9542,0.9768
247.0,0.9589,0.9792
248.0,0.9636,0.9816
249.0,0.9683,0.984
250.0,0.9729,0.9864
251.0,0.9776,0.9887
252.0,0.9822,0.9911
253.0,0.9869,0.9934
254.0,0.9915,0.9957
255.0,0.996,0.998
256.0,1.0006,1.0003
257.0,1.0052,1.0026
258.0,1.0097,1.0048
259.0,1.0142,1.0071
260.0,1.0187,1.0093
261.0,1.0232,1.0115
262.0,1.0277,1.0138
263.0,1.0321,1.0159
264.0,1.0365,1.0181
265.0,1.0409,1.0202
266.0,1.0453,1.0224
267.0,1.0497,1.0245
268.0,1.054,1.0266
269.0,1.0584,1.0288
270.0,1.0627,1.0309
271.0,1.067,1.033
272.0,1.0713,1.035
273.0,1.0755,1.0371
274.0,1.0798,1.0391
275.0,1.084,1.0412
276.0,1.0882,1.0432
277.0,1.0924,1.0452
278.0,1.0965,1.0471
279.0,1.1007,1.0491
280.0,1.1048,1.0511
281.0,1.1089,1.053
282.0,1.113,1.055
283.0,1.117,1.0569
284.0,1.1211,1.0588
285.0,1.1251,1.0607
286.0,1.1291,1.0626
287.0,1.1331,1.0645
288.0,1.137,1.0663
289.0,1.1409,1.0681
290.0,1.1449,1.07
291.0,1.1488,1.0718
292.0,1.1526,1.0736
293.0,1.1565,1.0754
294.0,1.1603,1.0772
295.0,1.1641,1.0789
296.0,1.1679,1.0807
297.0,1.1717,1.0825
298.0,1.1754,1.0842
299.0,1.1792,1.0859
300.0,1.1829,1.0876
301.0,1.1866,1.0893
302.0,1.1902,1.091
303.0,1.1939,1.0927
304.0,1.1975,1.0943
305.0,1.2011,1.0959
306.0,1.2047,1.0976
307.0,1.2082,1.0992
308.0,1.2118,1.1008
309.0,1.2153,1.1024
310.0,1.2188,1.104
311.0,1.2222,1.1055
312.0,1.2257,1.1071
313.0,1.2291,1.1086
314.0,1.2325,1.1102
315.0,1.2359,1.1117
316.0,1.2393,1.1132
317.0,1.2426,1.1147
318.0,1.2459,1.1162
319.0,1.2492,1.1177
320.0,1.2525,1.1192
321.0,1.2557,1.1206
322.0,1.259,1.1221
323.0,1.2622,1.1235
324.0,1.2654,1.1249
325.0,1.2685,1.1263
326.0,1.2717,1.1277
327.0,1.2748,1.1291
