# case 0252  h_peak=2.10 m  t_peak=60 min  alpha=4.0  rec_ratio=4.0
# time (min), depth (m), velocity (m/s)
0.0,0.0,0.0
1.0,0.0,0.0
2.0,0.0001,0.015
3.0,0.0006,0.0367
4.0,0.0017,0.0618
5.0,0.004,0.0949
6.0,0.0077,0.1316
7.0,0.0133,0.173
8.0,0.0213,0.2189
9.0,0.0319,0.2679
10.0,0.0454,0.3196
11.0,0.0622,0.3741
12.0,0.0824,0.4306
13.0,0.1062,0.4888
14.0,0.1336,0.5483
15.0,0.1648,0.6089
16.0,0.1995,0.67
17.0,0.2379,0.7316
18.0,0.2797,0.7933
19.0,0.3249,0.855
20.0,0.3731,0.9162
21.0,0.4243,0.9771
22.0,0.4781,1.0372
23.0,0.5343,1.0964
24.0,0.5926,1.1547
25.0,0.6527,1.2118
26.0,0.7143,1.2677
27.0,0.7772,1.3224
28.0,0.8409,1.3755
29.0,0.9052,1.4271
30.0,0.9698,1.4772
31.0,1.0344,1.5256
32.0,1.0987,1.5723
33.0,1.1625,1.6173
34.0,1.2255,1.6605
35.0,1.2874,1.702
36.0,1.348,1.7416
37.0,1.4071,1.7793
38.0,1.4646,1.8153
39.0,1.5201,1.8494
40.0,1.5737,1.8817
41.0,1.625,1.9121
42.0,1.674,1.9407
43.0,1.7206,1.9676
44.0,1.7647,1.9926
45.0,1.8062,2.0159
46.0,1.845,2.0375
47.0,1.881,2.0572
48.0,1.9143,2.0754
49.0,1.9448,2.0918
50.0,1.9725,2.1067
51.0,1.9974,2.1199
52.0,2.0195,2.1316
53.0,2.0389,2.1419
54.0,2.0555,2.1506
55.0,2.0693,2.1578
56.0,2.0806,2.1636
57.0,2.0892,2.1681
58.0,2.0952,2.1712
59.0,2.0988,2.1731
60.0,2.1,2.1737
61.0,2.0601,2.153
62.0,2.0209,2.1324
63.0,1.9825,2.112
64.0,1.9448,2.0918
65.0,1.9079,2.0719
66.0,1.8716,2.0521
67.0,1.8361,2.0325
68.0,1.8012,2.0131
69.0,1.7669,1.9939
70.0,1.7333,1.9748
71.0,1.7004,1.956
72.0,1.6681,1.9373
73.0,1.6364,1.9188
74.0,1.6053,1.9005
75.0,1.5748,1.8824
76.0,1.5448,1.8643
77.0,1.5155,1.8466
78.0,1.4867,1.829
79.0,1.4584,1.8115
80.0,1.4307,1.7942
81.0,1.4035,1.777
82.0,1.3768,1.7601
83.0,1.3507,1.7433
84.0,1.325,1.7266
85.0,1.2998,1.7101
86.0,1.2751,1.6938
87.0,1.2509,1.6777
88.0,1.2271,1.6616
89.0,1.2038,1.6458
90.0,1.1809,1.63
91.0,1.1585,1.6145
92.0,1.1365,1.5991
93.0,1.1149,1.5838
94.0,1.0937,1.5687
95.0,1.0729,1.5537
96.0,1.0525,1.5389
97.0,1.0325,1.5242
98.0,1.0129,1.5096
99.0,0.9936,1.4952
100.0,0.9747,1.4809
101.0,0.9562,1.4668
102.0,0.938,1.4528
103.0,0.9202,1.4389
104.0,0.9027,1.4252
105.0,0.8856,1.4116
106.0,0.8687,1.3981
107.0,0.8522,1.3847
108.0,0.836,1.3715
109.0,0.8201,1.3584
110.0,0.8045,1.3454
111.0,0.7893,1.3326
112.0,0.7743,1.3199
113.0,0.7595,1.3072
114.0,0.7451,1.2948
115.0,0.7309,1.2824
116.0,0.7171,1.2702
117.0,0.7034,1.258
118.0,0.6901,1.2461
119.0,0.6769,1.2341
120.0,0.6641,1.2224
121.0,0.6515,1.2107
122.0,0.6391,1.1992
123.0,0.6269,1.1877
124.0,0.615,1.1763
125.0,0.6033,1.1651
126.0,0.5919,1.154
127.0,0.5806,1.143
128.0,0.5696,1.1321
129.0,0.5588,1.1213
130.0,0.5481,1.1105
131.0,0.5377,1.0999
132.0,0.5275,1.0894
133.0,0.5175,1.0791
134.0,0.5076,1.0687
135.0,0.498,1.0585
136.0,0.4885,1.0484
137.0,0.4792,1.0384
138.0,0.4701,1.0285
139.0,0.4612,1.0187
140.0,0.4524,1.0089
141.0,0.4438,0.9993
142.0,0.4354,0.9898
143.0,0.4271,0.9803
144.0,0.419,0.971
145.0,0.411,0.9616
146.0,0.4032,0.9525
147.0,0.3956,0.9435
148.0,0.388,0.9343
149.0,0.3807,0.9255
150.0,0.3734,0.9166
151.0,0.3663,0.9078
152.0,0.3594,0.8992
153.0,0.3525,0.8906
154.0,0.3458,0.8821
155.0,0.3393,0.8737
156.0,0.3328,0.8653
157.0,0.3265,0.8571
158.0,0.3203,0.8489
159.0,0.3142,0.8408
160.0,0.3082,0.8327
161.0,0.3024,0.8249
162.0,0.2966,0.8169
163.0,0.291,0.8092
164.0,0.2855,0.8015
165.0,0.28,0.7937
166.0,0.2747,0.7862
167.0,0.2695,0.7787
168.0,0.2644,0.7713
169.0,0.2593,0.7638
170.0,0.2544,0.7566
171.0,0.2496,0.7494
172.0,0.2448,0.7422
173.0,0.2402,0.7352
174.0,0.2356,0.7281
175.0,0.2311,0.7211
176.0,0.2268,0.7144
177.0,0.2224,0.7074
178.0,0.2182,0.7007
179.0,0.2141,0.6941
180.0,0.21,0.6874
181.0,0.206,0.6808
182.0,0.2021,0.6743
183.0,0.1983,0.668
184.0,0.1945,0.6615
185.0,0.1908,0.6552
186.0,0.1872,0.649
187.0,0.1836,0.6427
188.0,0.1801,0.6366
189.0,0.1767,0.6305
190.0,0.1733,0.6244
191.0,0.17,0.6185
192.0,0.1668,0.6126
193.0,0.1636,0.6067
194.0,0.1605,0.6009
195.0,0.1575,0.5953
196.0,0.1545,0.5896
197.0,0.1515,0.5838
198.0,0.1487,0.5784
199.0,0.1458,0.5728
200.0,0.1431,0.5674
201.0,0.1404,0.562
202.0,0.1377,0.5566
203.0,0.1351,0.5513
204.0,0.1325,0.546
205.0,0.13,0.5408
206.0,0.1275,0.5356
207.0,0.1251,0.5305
208.0,0.1227,0.5254
209.0,0.1204,0.5205
210.0,0.1181,0.5155
211.0,0.1158,0.5104
212.0,0.1136,0.5056
213.0,0.1115,0.5009
214.0,0.1094,0.4961
215.0,0.1073,0.4914
216.0,0.1052,0.4865
217.0,0.1032,0.4819
218.0,0.1013,0.4774
219.0,0.0994,0.4729
220.0,0.0975,0.4684
221.0,0.0956,0.4638
222.0,0.0938,0.4594
223.0,0.092,0.455
224.0,0.0903,0.4507
225.0,0.0886,0.4465
226.0,0.0869,0.4422
227.0,0.0852,0.4378
228.0,0.0836,0.4337
229.0,0.082,0.4295
230.0,0.0805,0.4256
231.0,0.0789,0.4213
232.0,0.0774,0.4173
233.0,0.076,0.4135
234.0,0.0745,0.4094
235.0,0.0731,0.4056
236.0,0.0717,0.4017
237.0,0.0703,0.3977
238.0,0.069,0.394
239.0,0.0677,0.3903
240.0,0.0664,0.3865
241.0,0.0651,0.3827
242.0,0.0639,0.3792
243.0,0.0627,0.3756
244.0,0.0615,0.372
245.0,0.0603,0.3683
246.0,0.0592,0.365
247.0,0.0581,0.3616
248.0,0.057,0.3581
249.0,0.0559,0.3546
250.0,0.0548,0.3511
251.0,0.0538,0.3479
252.0,0.0527,0.3443
253.0,0.0517,0.3411
254.0,0.0508,0.3381
255.0,0.0498,0.3347
256.0,0.0489,0.3317
257.0,0.0479,0.3283
258.0,0.047,0.3252
259.0,0.0461,0.3221
260.0,0.0452,0.3189
261.0,0.0444,0.3161
262.0,0.0435,0.3128
263.0,0.0427,0.31
264.0,0.0419,0.307
265.0,0.0411,0.3041
266.0,0.0403,0.3011
267.0,0.0396,0.2985
268.0,0.0388,0.2955
269.0,0.0381,0.2928
270.0,0.0373,0.2897
271.0,0.0366,0.287
272.0,0.0359,0.2842
273.0,0.0353,0.2818
274.0,0.0346,0.279
275.0,0.0339,0.2762
276.0,0.0333,0.2737
277.0,0.0327,0.2712
278.0,0.032,0.2683
279.0,0.0314,0.2658
280.0,0.0308,0.2632
281.0,0.0302,0.2607
282.0,0.0297,0.2585
283.0,0.0291,0.2559
284.0,0.0285,0.2532
285.0,0.028,0.251
286.0,0.0275,0.2487
287.0,0.0269,0.246
288.0,0.0264,0.2437
289.0,0.0259,0.2414
290.0,0.0254,0.2391
291.0,0.025,0.2372
292.0,0.0245,0.2348
293.0,0.024,0.2324
294.0,0.0236,0.2304
295.0,0.0231,0.228
296.0,0.0227,0.226
297.0,0.0222,0.2235
298.0,0.0218,0.2215
299.0,0.0214,0.2194
300.0,0.021,0.2174
301.0,0.0206,0.2153
302.0,0.0202,0.2132
303.0,0.0198,0.2111
308.0,0.0,0.0
