# case 0019  h_peak=0.10 m  t_peak=2880 min  alpha=1.5  rec_ratio=1.5
# time (min), depth (m), velocity (m/s)
0.0,0.0,0.0
10.0,0.0001,0.01
20.0,0.0003,0.0173
30.0,0.0005,0.0224
40.0,0.0007,0.0265
50.0,0.001,0.0316
60.0,0.0013,0.0361
70.0,0.0016,0.04
80.0,0.002,0.0447
90.0,0.0024,0.049
100.0,0.0028,0.0529
110.0,0.0032,0.0566
120.0,0.0036,0.06
130.0,0.004,0.0632
140.0,0.0045,0.0671
150.0,0.0049,0.07
160.0,0.0054,0.0735
170.0,0.0059,0.0768
180.0,0.0064,0.08
190.0,0.0069,0.0831
200.0,0.0074,0.086
210.0,0.0079,0.0889
220.0,0.0084,0.0917
230.0,0.009,0.0949
240.0,0.0095,0.0975
250.0,0.0101,0.1005
260.0,0.0106,0.103
270.0,0.0112,0.1058
280.0,0.0117,0.1082
290.0,0.0123,0.1109
300.0,0.0129,0.1136
310.0,0.0135,0.1162
320.0,0.0141,0.1187
330.0,0.0146,0.1208
340.0,0.0152,0.1233
350.0,0.0158,0.1257
360.0,0.0164,0.1281
370.0,0.017,0.1304
380.0,0.0176,0.1327
390.0,0.0182,0.1349
400.0,0.0188,0.1371
410.0,0.0194,0.1393
420.0,0.0201,0.1418
430.0,0.0207,0.1439
440.0,0.0213,0.1459
450.0,0.0219,0.148
460.0,0.0225,0.15
470.0,0.0231,0.152
480.0,0.0237,0.1539
490.0,0.0244,0.1562
500.0,0.025,0.1581
510.0,0.0256,0.16
520.0,0.0262,0.1619
530.0,0.0268,0.1637
540.0,0.0275,0.1658
550.0,0.0281,0.1676
560.0,0.0287,0.1694
570.0,0.0293,0.1712
580.0,0.0299,0.1729
590.0,0.0306,0.1749
600.0,0.0312,0.1766
610.0,0.0318,0.1783
620.0,0.0324,0.18
630.0,0.033,0.1817
640.0,0.0336,0.1833
650.0,0.0343,0.1852
660.0,0.0349,0.1868
670.0,0.0355,0.1884
680.0,0.0361,0.19
690.0,0.0367,0.1916
700.0,0.0373,0.1931
710.0,0.0379,0.1947
720.0,0.0385,0.1962
730.0,0.0391,0.1977
740.0,0.0397,0.1992
750.0,0.0403,0.2007
760.0,0.0409,0.2022
770.0,0.0415,0.2037
780.0,0.0421,0.2052
790.0,0.0427,0.2066
800.0,0.0433,0.2081
810.0,0.0438,0.2093
820.0,0.0444,0.2107
830.0,0.045,0.2121
840.0,0.0456,0.2135
850.0,0.0462,0.2149
860.0,0.0467,0.2161
870.0,0.0473,0.2175
880.0,0.0479,0.2189
890.0,0.0484,0.22
900.0,0.049,0.2214
910.0,0.0496,0.2227
920.0,0.0501,0.2238
930.0,0.0507,0.2252
940.0,0.0512,0.2263
950.0,0.0518,0.2276
960.0,0.0523,0.2287
970.0,0.0529,0.23
980.0,0.0534,0.2311
990.0,0.0539,0.2322
1000.0,0.0545,0.2335
1010.0,0.055,0.2345
1020.0,0.0555,0.2356
1030.0,0.0561,0.2369
1040.0,0.0566,0.2379
1050.0,0.0571,0.239
1060.0,0.0576,0.24
1070.0,0.0581,0.241
1080.0,0.0586,0.2421
1090.0,0.0591,0.2431
1100.0,0.0597,0.2443
1110.0,0.0602,0.2454
1120.0,0.0607,0.2464
1130.0,0.0611,0.2472
1140.0,0.0616,0.2482
1150.0,0.0621,0.2492
1160.0,0.0626,0.2502
1170.0,0.0631,0.2512
1180.0,0.0636,0.2522
1190.0,0.064,0.253
1200.0,0.0645,0.254
1210.0,0.065,0.255
1220.0,0.0655,0.2559
1230.0,0.0659,0.2567
1240.0,0.0664,0.2577
1250.0,0.0668,0.2585
1260.0,0.0673,0.2594
1270.0,0.0677,0.2602
1280.0,0.0682,0.2612
1290.0,0.0686,0.2619
1300.0,0.0691,0.2629
1310.0,0.0695,0.2636
1320.0,0.0699,0.2644
1330.0,0.0704,0.2653
1340.0,0.0708,0.2661
1350.0,0.0712,0.2668
1360.0,0.0716,0.2676
1370.0,0.072,0.2683
1380.0,0.0724,0.2691
1390.0,0.0729,0.27
1400.0,0.0733,0.2707
1410.0,0.0737,0.2715
1420.0,0.0741,0.2722
1430.0,0.0745,0.2729
1440.0,0.0748,0.2735
1450.0,0.0752,0.2742
1460.0,0.0756,0.275
1470.0,0.076,0.2757
1480.0,0.0764,0.2764
1490.0,0.0768,0.2771
1500.0,0.0771,0.2777
1510.0,0.0775,0.2784
1520.0,0.0779,0.2791
1530.0,0.0782,0.2796
1540.0,0.0786,0.2804
1550.0,0.0789,0.2809
1560.0,0.0793,0.2816
1570.0,0.0796,0.2821
1580.0,0.08,0.2828
1590.0,0.0803,0.2834
1600.0,0.0807,0.2841
1610.0,0.081,0.2846
1620.0,0.0813,0.2851
1630.0,0.0816,0.2857
1640.0,0.082,0.2864
1650.0,0.0823,0.2869
1660.0,0.0826,0.2874
1670.0,0.0829,0.2879
1680.0,0.0832,0.2884
1690.0,0.0835,0.289
1700.0,0.0838,0.2895
1710.0,0.0841,0.29
1720.0,0.0844,0.2905
