# case 0143  h_peak=0.90 m  t_peak=60 min  alpha=4.0  rec_ratio=2.5
# time (min), depth (m), velocity (m/s)
0.0,0.0,0.0
1.0,0.0,0.0
2.0,0.0001,0.015
3.0,0.0003,0.026
4.0,0.0007,0.0397
5.0,0.0017,0.0618
6.0,0.0033,0.0862
7.0,0.0057,0.1132
8.0,0.0091,0.1431
9.0,0.0137,0.1756
10.0,0.0195,0.2095
11.0,0.0267,0.2451
12.0,0.0353,0.2818
13.0,0.0455,0.32
14.0,0.0573,0.3591
15.0,0.0706,0.3986
16.0,0.0855,0.4386
17.0,0.102,0.4791
18.0,0.1199,0.5194
19.0,0.1392,0.5596
20.0,0.1599,0.5998
21.0,0.1818,0.6396
22.0,0.2049,0.679
23.0,0.229,0.7178
24.0,0.254,0.756
25.0,0.2797,0.7933
26.0,0.3061,0.8299
27.0,0.3331,0.8657
28.0,0.3604,0.9005
29.0,0.3879,0.9342
30.0,0.4156,0.967
31.0,0.4433,0.9987
32.0,0.4709,1.0293
33.0,0.4982,1.0587
34.0,0.5252,1.0871
35.0,0.5517,1.1141
36.0,0.5777,1.1401
37.0,0.6031,1.1649
38.0,0.6277,1.1884
39.0,0.6515,1.2107
40.0,0.6744,1.2318
41.0,0.6964,1.2518
42.0,0.7174,1.2705
43.0,0.7374,1.2881
44.0,0.7563,1.3045
45.0,0.7741,1.3197
46.0,0.7907,1.3338
47.0,0.8062,1.3468
48.0,0.8204,1.3586
49.0,0.8335,1.3694
50.0,0.8454,1.3792
51.0,0.856,1.3878
52.0,0.8655,1.3955
53.0,0.8738,1.4022
54.0,0.8809,1.4078
55.0,0.8869,1.4126
56.0,0.8917,1.4164
57.0,0.8954,1.4194
58.0,0.898,1.4214
59.0,0.8995,1.4226
60.0,0.9,1.423
61.0,0.8728,1.4014
62.0,0.8464,1.38
63.0,0.8208,1.359
64.0,0.796,1.3383
65.0,0.7719,1.3179
66.0,0.7486,1.2978
67.0,0.726,1.2781
68.0,0.704,1.2586
69.0,0.6827,1.2394
70.0,0.6621,1.2205
71.0,0.6421,1.202
72.0,0.6226,1.1836
73.0,0.6038,1.1656
74.0,0.5856,1.1479
75.0,0.5679,1.1304
76.0,0.5507,1.1131
77.0,0.534,1.0961
78.0,0.5179,1.0795
79.0,0.5022,1.063
80.0,0.4871,1.0469
81.0,0.4723,1.0309
82.0,0.458,1.0151
83.0,0.4442,0.9997
84.0,0.4308,0.9845
85.0,0.4177,0.9694
86.0,0.4051,0.9547
87.0,0.3929,0.9402
88.0,0.381,0.9259
89.0,0.3695,0.9118
90.0,0.3583,0.8979
91.0,0.3475,0.8842
92.0,0.337,0.8708
93.0,0.3268,0.8575
94.0,0.3169,0.8444
95.0,0.3073,0.8315
96.0,0.298,0.8188
97.0,0.289,0.8064
98.0,0.2803,0.7942
99.0,0.2718,0.782
100.0,0.2636,0.7701
101.0,0.2556,0.7584
102.0,0.2479,0.7468
103.0,0.2404,0.7355
104.0,0.2331,0.7242
105.0,0.2261,0.7132
106.0,0.2192,0.7023
107.0,0.2126,0.6916
108.0,0.2062,0.6811
109.0,0.1999,0.6707
110.0,0.1939,0.6605
111.0,0.188,0.6504
112.0,0.1824,0.6406
113.0,0.1768,0.6307
114.0,0.1715,0.6212
115.0,0.1663,0.6117
116.0,0.1613,0.6024
117.0,0.1564,0.5932
118.0,0.1517,0.5842
119.0,0.1471,0.5753
120.0,0.1426,0.5664
121.0,0.1383,0.5578
122.0,0.1341,0.5493
123.0,0.1301,0.541
124.0,0.1262,0.5329
125.0,0.1223,0.5246
126.0,0.1186,0.5166
127.0,0.1151,0.5089
128.0,0.1116,0.5011
129.0,0.1082,0.4934
130.0,0.1049,0.4858
131.0,0.1018,0.4786
132.0,0.0987,0.4712
133.0,0.0957,0.464
134.0,0.0928,0.4569
135.0,0.09,0.45
136.0,0.0873,0.4432
137.0,0.0846,0.4363
138.0,0.0821,0.4298
139.0,0.0796,0.4232
140.0,0.0772,0.4168
141.0,0.0749,0.4105
142.0,0.0726,0.4042
143.0,0.0704,0.398
144.0,0.0683,0.392
145.0,0.0662,0.3859
146.0,0.0642,0.3801
147.0,0.0623,0.3744
148.0,0.0604,0.3686
149.0,0.0586,0.3631
150.0,0.0568,0.3575
151.0,0.0551,0.3521
152.0,0.0534,0.3466
153.0,0.0518,0.3414
154.0,0.0502,0.3361
155.0,0.0487,0.331
156.0,0.0472,0.3259
157.0,0.0458,0.321
158.0,0.0444,0.3161
159.0,0.0431,0.3114
160.0,0.0418,0.3067
161.0,0.0405,0.3019
162.0,0.0393,0.2974
163.0,0.0381,0.2928
164.0,0.0369,0.2881
165.0,0.0358,0.2838
166.0,0.0347,0.2794
167.0,0.0337,0.2754
168.0,0.0327,0.2712
169.0,0.0317,0.2671
170.0,0.0307,0.2628
171.0,0.0298,0.2589
172.0,0.0289,0.255
173.0,0.028,0.251
174.0,0.0272,0.2474
175.0,0.0264,0.2437
176.0,0.0256,0.24
177.0,0.0248,0.2362
178.0,0.024,0.2324
179.0,0.0233,0.229
180.0,0.0226,0.2255
181.0,0.0219,0.222
182.0,0.0213,0.2189
183.0,0.0206,0.2153
184.0,0.02,0.2121
185.0,0.0194,0.2089
186.0,0.0188,0.2057
187.0,0.0182,0.2024
188.0,0.0177,0.1996
189.0,0.0171,0.1962
190.0,0.0166,0.1933
191.0,0.0161,0.1903
192.0,0.0156,0.1873
193.0,0.0152,0.1849
194.0,0.0147,0.1819
195.0,0.0143,0.1794
196.0,0.0138,0.1762
197.0,0.0134,0.1736
198.0,0.013,0.171
199.0,0.0126,0.1684
200.0,0.0122,0.1657
201.0,0.0119,0.1636
202.0,0.0115,0.1609
203.0,0.0112,0.1587
204.0,0.0108,0.1559
205.0,0.0105,0.1537
206.0,0.0102,0.1515
207.0,0.0099,0.1492
208.0,0.0096,0.147
209.0,0.0093,0.1447
210.0,0.009,0.1423
211.0,0.0087,0.1399
212.0,0.0085,0.1383
213.0,0.0082,0.1358
218.0,0.0,0.0
