# case 0153  h_peak=1.50 m  t_peak=480 min  alpha=4.0  rec_ratio=4.0
# time (min), depth (m), velocity (m/s)
0.0,0.0,0.0
10.0,0.0,0.0
20.0,0.0002,0.0141
30.0,0.001,0.0316
40.0,0.0028,0.0529
50.0,0.0064,0.08
60.0,0.0121,0.11
70.0,0.0207,0.1439
80.0,0.0324,0.18
90.0,0.0478,0.2186
100.0,0.067,0.2588
110.0,0.0903,0.3005
120.0,0.1177,0.3431
130.0,0.1491,0.3861
140.0,0.1846,0.4297
150.0,0.2238,0.4731
160.0,0.2665,0.5162
170.0,0.3125,0.559
180.0,0.3614,0.6012
190.0,0.4127,0.6424
200.0,0.4662,0.6828
210.0,0.5214,0.7221
220.0,0.5778,0.7601
230.0,0.6351,0.7969
240.0,0.6927,0.8323
250.0,0.7504,0.8663
260.0,0.8077,0.8987
270.0,0.8642,0.9296
280.0,0.9196,0.959
290.0,0.9735,0.9867
300.0,1.0258,1.0128
310.0,1.076,1.0373
320.0,1.124,1.0602
330.0,1.1696,1.0815
340.0,1.2126,1.1012
350.0,1.2528,1.1193
360.0,1.2901,1.1358
370.0,1.3245,1.1509
380.0,1.3557,1.1643
390.0,1.3839,1.1764
400.0,1.409,1.187
410.0,1.4309,1.1962
420.0,1.4497,1.204
430.0,1.4654,1.2105
440.0,1.4781,1.2158
450.0,1.4878,1.2198
460.0,1.4947,1.2226
470.0,1.4987,1.2242
480.0,1.5,1.2247
490.0,1.4645,1.2102
500.0,1.4297,1.1957
510.0,1.3959,1.1815
520.0,1.3628,1.1674
530.0,1.3305,1.1535
540.0,1.2989,1.1397
550.0,1.2682,1.1261
560.0,1.2381,1.1127
570.0,1.2088,1.0995
580.0,1.1801,1.0863
590.0,1.1521,1.0734
600.0,1.1248,1.0606
610.0,1.0982,1.048
620.0,1.0722,1.0355
630.0,1.0467,1.0231
640.0,1.0219,1.0109
650.0,0.9977,0.9988
660.0,0.9741,0.987
670.0,0.951,0.9752
680.0,0.9284,0.9635
690.0,0.9064,0.9521
700.0,0.885,0.9407
710.0,0.864,0.9295
720.0,0.8435,0.9184
730.0,0.8235,0.9075
740.0,0.804,0.8967
750.0,0.7849,0.8859
760.0,0.7663,0.8754
770.0,0.7482,0.865
780.0,0.7305,0.8547
790.0,0.7131,0.8445
800.0,0.6962,0.8344
810.0,0.6797,0.8244
