# case 0134  h_peak=1.10 m  t_peak=2880 min  alpha=4.0  rec_ratio=2.5
# time (min), depth (m), velocity (m/s)
0.0,0.0,0.0
10.0,0.0,0.0
20.0,0.0,0.0
30.0,0.0,0.0
40.0,0.0,0.0
50.0,0.0,0.0
60.0,0.0,0.0
70.0,0.0,0.0
80.0,0.0,0.0
90.0,0.0001,0.01
100.0,0.0001,0.01
110.0,0.0001,0.01
120.0,0.0002,0.0141
130.0,0.0002,0.0141
140.0,0.0003,0.0173
150.0,0.0004,0.02
160.0,0.0005,0.0224
170.0,0.0006,0.0245
180.0,0.0007,0.0265
190.0,0.0009,0.03
200.0,0.0011,0.0332
210.0,0.0013,0.0361
220.0,0.0015,0.0387
230.0,0.0018,0.0424
240.0,0.0021,0.0458
250.0,0.0024,0.049
260.0,0.0028,0.0529
270.0,0.0032,0.0566
280.0,0.0036,0.06
290.0,0.0041,0.064
300.0,0.0047,0.0686
310.0,0.0052,0.0721
320.0,0.0059,0.0768
330.0,0.0065,0.0806
340.0,0.0073,0.0854
350.0,0.0081,0.09
360.0,0.0089,0.0943
370.0,0.0098,0.099
380.0,0.0107,0.1034
390.0,0.0117,0.1082
400.0,0.0128,0.1131
410.0,0.014,0.1183
420.0,0.0152,0.1233
430.0,0.0164,0.1281
440.0,0.0178,0.1334
450.0,0.0192,0.1386
460.0,0.0206,0.1435
470.0,0.0222,0.149
480.0,0.0238,0.1543
490.0,0.0255,0.1597
500.0,0.0272,0.1649
510.0,0.0291,0.1706
520.0,0.031,0.1761
530.0,0.033,0.1817
540.0,0.0351,0.1873
550.0,0.0372,0.1929
560.0,0.0394,0.1985
570.0,0.0418,0.2045
580.0,0.0441,0.21
590.0,0.0466,0.2159
600.0,0.0492,0.2218
610.0,0.0518,0.2276
620.0,0.0545,0.2335
630.0,0.0573,0.2394
640.0,0.0602,0.2454
650.0,0.0632,0.2514
660.0,0.0662,0.2573
670.0,0.0694,0.2634
680.0,0.0726,0.2694
690.0,0.0759,0.2755
700.0,0.0793,0.2816
710.0,0.0828,0.2877
720.0,0.0863,0.2938
730.0,0.0899,0.2998
740.0,0.0937,0.3061
750.0,0.0975,0.3122
760.0,0.1014,0.3184
770.0,0.1053,0.3245
780.0,0.1094,0.3308
790.0,0.1135,0.3369
800.0,0.1177,0.3431
810.0,0.122,0.3493
820.0,0.1264,0.3555
