# case 0225  h_peak=1.80 m  t_peak=60 min  alpha=4.0  rec_ratio=4.0
# time (min), depth (m), velocity (m/s)
0.0,0.0,0.0
1.0,0.0,0.0
2.0,0.0001,0.015
3.0,0.0005,0.0335
4.0,0.0015,0.0581
5.0,0.0034,0.0875
6.0,0.0066,0.1219
7.0,0.0114,0.1602
8.0,0.0182,0.2024
9.0,0.0273,0.2478
10.0,0.0389,0.2958
11.0,0.0533,0.3463
12.0,0.0707,0.3988
13.0,0.091,0.4525
14.0,0.1146,0.5078
15.0,0.1412,0.5636
16.0,0.171,0.6203
17.0,0.2039,0.6773
18.0,0.2398,0.7345
19.0,0.2785,0.7916
20.0,0.3198,0.8483
21.0,0.3637,0.9046
22.0,0.4098,0.9602
23.0,0.458,1.0151
24.0,0.5079,1.069
25.0,0.5595,1.122
26.0,0.6123,1.1737
27.0,0.6661,1.2242
28.0,0.7208,1.2735
29.0,0.7759,1.3213
30.0,0.8313,1.3676
31.0,0.8866,1.4124
32.0,0.9418,1.4557
33.0,0.9964,1.4973
34.0,1.0504,1.5373
35.0,1.1035,1.5757
36.0,1.1554,1.6123
37.0,1.2061,1.6473
38.0,1.2554,1.6807
39.0,1.303,1.7122
40.0,1.3489,1.7421
41.0,1.3929,1.7703
42.0,1.4349,1.7968
43.0,1.4748,1.8216
44.0,1.5126,1.8448
45.0,1.5481,1.8663
46.0,1.5814,1.8863
47.0,1.6123,1.9046
48.0,1.6408,1.9214
49.0,1.667,1.9367
50.0,1.6907,1.9504
51.0,1.7121,1.9627
52.0,1.731,1.9735
53.0,1.7476,1.983
54.0,1.7618,1.991
55.0,1.7737,1.9977
56.0,1.7833,2.0031
57.0,1.7907,2.0073
58.0,1.7959,2.0102
59.0,1.799,2.0119
60.0,1.8,2.0125
61.0,1.7658,1.9933
62.0,1.7322,1.9742
63.0,1.6993,1.9554
64.0,1.667,1.9367
65.0,1.6353,1.9182
66.0,1.6043,1.8999
67.0,1.5738,1.8818
68.0,1.5439,1.8638
69.0,1.5145,1.846
70.0,1.4857,1.8283
71.0,1.4575,1.8109
72.0,1.4298,1.7936
73.0,1.4026,1.7765
74.0,1.376,1.7595
75.0,1.3498,1.7427
76.0,1.3242,1.7261
77.0,1.299,1.7096
78.0,1.2743,1.6933
79.0,1.2501,1.6771
80.0,1.2263,1.6611
81.0,1.203,1.6452
82.0,1.1802,1.6296
83.0,1.1577,1.6139
84.0,1.1357,1.5985
85.0,1.1141,1.5833
86.0,1.093,1.5682
87.0,1.0722,1.5532
88.0,1.0518,1.5384
89.0,1.0318,1.5237
90.0,1.0122,1.5091
91.0,0.993,1.4947
92.0,0.9741,1.4804
93.0,0.9556,1.4663
94.0,0.9374,1.4523
95.0,0.9196,1.4384
96.0,0.9021,1.4247
97.0,0.885,1.4111
98.0,0.8682,1.3977
99.0,0.8517,1.3843
100.0,0.8355,1.3711
101.0,0.8196,1.358
102.0,0.804,1.345
103.0,0.7887,1.3321
104.0,0.7738,1.3195
105.0,0.7591,1.3069
106.0,0.7446,1.2944
107.0,0.7305,1.282
108.0,0.7166,1.2698
109.0,0.703,1.2577
110.0,0.6896,1.2456
111.0,0.6765,1.2337
112.0,0.6637,1.222
113.0,0.651,1.2103
114.0,0.6387,1.1988
115.0,0.6265,1.1873
116.0,0.6146,1.1759
117.0,0.6029,1.1647
118.0,0.5915,1.1536
119.0,0.5802,1.1426
120.0,0.5692,1.1317
121.0,0.5584,1.1209
122.0,0.5478,1.1102
123.0,0.5374,1.0996
124.0,0.5272,1.0891
125.0,0.5171,1.0786
126.0,0.5073,1.0684
127.0,0.4977,1.0582
128.0,0.4882,1.0481
129.0,0.4789,1.038
130.0,0.4698,1.0281
131.0,0.4609,1.0183
132.0,0.4521,1.0086
133.0,0.4435,0.9989
134.0,0.4351,0.9894
135.0,0.4268,0.9799
136.0,0.4187,0.9706
137.0,0.4108,0.9614
138.0,0.403,0.9522
139.0,0.3953,0.9431
140.0,0.3878,0.9341
141.0,0.3804,0.9251
142.0,0.3732,0.9164
143.0,0.3661,0.9076
144.0,0.3591,0.8989
145.0,0.3523,0.8903
146.0,0.3456,0.8818
147.0,0.3391,0.8735
148.0,0.3326,0.8651
149.0,0.3263,0.8568
150.0,0.3201,0.8487
151.0,0.314,0.8405
152.0,0.308,0.8325
153.0,0.3022,0.8246
154.0,0.2964,0.8166
155.0,0.2908,0.8089
156.0,0.2853,0.8012
157.0,0.2799,0.7936
158.0,0.2745,0.7859
159.0,0.2693,0.7784
160.0,0.2642,0.771
161.0,0.2592,0.7637
162.0,0.2543,0.7564
163.0,0.2494,0.7491
164.0,0.2447,0.742
165.0,0.24,0.7348
166.0,0.2355,0.7279
167.0,0.231,0.7209
168.0,0.2266,0.714
169.0,0.2223,0.7072
170.0,0.2181,0.7005
171.0,0.2139,0.6937
172.0,0.2099,0.6872
173.0,0.2059,0.6806
174.0,0.202,0.6742
175.0,0.1981,0.6676
176.0,0.1944,0.6614
177.0,0.1907,0.655
178.0,0.187,0.6487
179.0,0.1835,0.6426
180.0,0.18,0.6364
181.0,0.1766,0.6304
182.0,0.1732,0.6243
183.0,0.1699,0.6183
184.0,0.1667,0.6124
185.0,0.1635,0.6065
186.0,0.1604,0.6007
187.0,0.1574,0.5951
188.0,0.1544,0.5894
189.0,0.1515,0.5838
190.0,0.1486,0.5782
191.0,0.1457,0.5726
192.0,0.143,0.5672
193.0,0.1403,0.5618
194.0,0.1376,0.5564
195.0,0.135,0.5511
196.0,0.1324,0.5458
197.0,0.1299,0.5406
198.0,0.1274,0.5354
199.0,0.125,0.5303
200.0,0.1226,0.5252
201.0,0.1203,0.5203
202.0,0.118,0.5153
203.0,0.1158,0.5104
204.0,0.1136,0.5056
205.0,0.1114,0.5006
206.0,0.1093,0.4959
207.0,0.1072,0.4911
208.0,0.1052,0.4865
209.0,0.1032,0.4819
210.0,0.1012,0.4772
211.0,0.0993,0.4727
212.0,0.0974,0.4681
213.0,0.0956,0.4638
214.0,0.0937,0.4592
215.0,0.092,0.455
216.0,0.0902,0.4505
217.0,0.0885,0.4462
218.0,0.0868,0.4419
219.0,0.0852,0.4378
220.0,0.0835,0.4334
221.0,0.082,0.4295
222.0,0.0804,0.4253
223.0,0.0789,0.4213
224.0,0.0774,0.4173
225.0,0.0759,0.4132
226.0,0.0745,0.4094
227.0,0.073,0.4053
228.0,0.0717,0.4017
229.0,0.0703,0.3977
230.0,0.069,0.394
231.0,0.0677,0.3903
232.0,0.0664,0.3865
233.0,0.0651,0.3827
234.0,0.0639,0.3792
235.0,0.0627,0.3756
236.0,0.0615,0.372
237.0,0.0603,0.3683
238.0,0.0591,0.3647
239.0,0.058,0.3612
240.0,0.0569,0.3578
241.0,0.0558,0.3543
242.0,0.0548,0.3511
243.0,0.0537,0.3476
244.0,0.0527,0.3443
245.0,0.0517,0.3411
246.0,0.0507,0.3377
247.0,0.0498,0.3347
248.0,0.0488,0.3314
249.0,0.0479,0.3283
250.0,0.047,0.3252
251.0,0.0461,0.3221
252.0,0.0452,0.3189
253.0,0.0444,0.3161
254.0,0.0435,0.3128
255.0,0.0427,0.31
256.0,0.0419,0.307
257.0,0.0411,0.3041
258.0,0.0403,0.3011
259.0,0.0395,0.2981
260.0,0.0388,0.2955
261.0,0.038,0.2924
262.0,0.0373,0.2897
263.0,0.0366,0.287
264.0,0.0359,0.2842
265.0,0.0352,0.2814
266.0,0.0346,0.279
267.0,0.0339,0.2762
268.0,0.0333,0.2737
269.0,0.0326,0.2708
270.0,0.032,0.2683
271.0,0.0314,0.2658
272.0,0.0308,0.2632
273.0,0.0302,0.2607
274.0,0.0296,0.2581
275.0,0.0291,0.2559
276.0,0.0285,0.2532
277.0,0.028,0.251
278.0,0.0275,0.2487
279.0,0.0269,0.246
280.0,0.0264,0.2437
281.0,0.0259,0.2414
282.0,0.0254,0.2391
283.0,0.0249,0.2367
284.0,0.0245,0.2348
285.0,0.024,0.2324
286.0,0.0235,0.2299
287.0,0.0231,0.228
288.0,0.0227,0.226
289.0,0.0222,0.2235
290.0,0.0218,0.2215
291.0,0.0214,0.2194
292.0,0.021,0.2174
293.0,0.0206,0.2153
294.0,0.0202,0.2132
295.0,0.0198,0.2111
296.0,0.0194,0.2089
297.0,0.0191,0.2073
298.0,0.0187,0.2051
299.0,0.0183,0.2029
300.0,0.018,0.2012
301.0,0.0177,0.1996
302.0,0.0173,0.1973
303.0,0.017,0.1956
308.0,0.0,0.0
