# case 0058  h_peak=0.30 m  t_peak=60 min  alpha=2.5  rec_ratio=1.5
# time (min), depth (m), velocity (m/s)
0.0,0.0,0.0
1.0,0.0001,0.01
2.0,0.0007,0.0265
3.0,0.0018,0.0424
4.0,0.0036,0.06
5.0,0.0059,0.0768
6.0,0.009,0.0949
7.0,0.0127,0.1127
8.0,0.017,0.1304
9.0,0.0219,0.148
10.0,0.0273,0.1652
11.0,0.0333,0.1825
12.0,0.0397,0.1992
13.0,0.0465,0.2156
14.0,0.0536,0.2315
15.0,0.0611,0.2472
16.0,0.0689,0.2625
17.0,0.0769,0.2773
18.0,0.0851,0.2917
19.0,0.0934,0.3056
20.0,0.1019,0.3192
21.0,0.1104,0.3323
22.0,0.119,0.345
23.0,0.1275,0.3571
24.0,0.1361,0.3689
25.0,0.1445,0.3801
26.0,0.1529,0.391
27.0,0.1612,0.4015
28.0,0.1693,0.4115
29.0,0.1773,0.4211
30.0,0.1851,0.4302
31.0,0.1927,0.439
32.0,0.2001,0.4473
33.0,0.2073,0.4553
34.0,0.2143,0.4629
35.0,0.221,0.4701
36.0,0.2274,0.4769
37.0,0.2336,0.4833
38.0,0.2395,0.4894
39.0,0.2451,0.4951
40.0,0.2505,0.5005
41.0,0.2556,0.5056
42.0,0.2604,0.5103
43.0,0.2649,0.5147
44.0,0.2691,0.5187
45.0,0.273,0.5225
46.0,0.2767,0.526
47.0,0.28,0.5292
48.0,0.2831,0.5321
49.0,0.2859,0.5347
50.0,0.2885,0.5371
51.0,0.2908,0.5393
52.0,0.2928,0.5411
53.0,0.2945,0.5427
54.0,0.296,0.5441
55.0,0.2973,0.5453
56.0,0.2983,0.5462
57.0,0.299,0.5468
58.0,0.2996,0.5474
59.0,0.2999,0.5476
60.0,0.3,0.5477
61.0,0.285,0.5339
62.0,0.2708,0.5204
63.0,0.2573,0.5072
64.0,0.2445,0.4945
65.0,0.2323,0.482
66.0,0.2207,0.4698
67.0,0.2097,0.4579
68.0,0.1992,0.4463
69.0,0.1893,0.4351
70.0,0.1798,0.424
71.0,0.1709,0.4134
72.0,0.1624,0.403
73.0,0.1543,0.3928
74.0,0.1466,0.3829
75.0,0.1392,0.3731
76.0,0.1323,0.3637
77.0,0.1257,0.3545
78.0,0.1194,0.3455
79.0,0.1135,0.3369
80.0,0.1078,0.3283
81.0,0.1024,0.32
82.0,0.0973,0.3119
83.0,0.0925,0.3041
84.0,0.0879,0.2965
85.0,0.0835,0.289
86.0,0.0793,0.2816
87.0,0.0754,0.2746
88.0,0.0716,0.2676
89.0,0.068,0.2608
90.0,0.0646,0.2542
91.0,0.0614,0.2478
92.0,0.0583,0.2415
93.0,0.0554,0.2354
94.0,0.0527,0.2296
95.0,0.05,0.2236
96.0,0.0475,0.2179
97.0,0.0452,0.2126
98.0,0.0429,0.2071
99.0,0.0408,0.202
100.0,0.0387,0.1967
101.0,0.0368,0.1918
102.0,0.035,0.1871
103.0,0.0332,0.1822
104.0,0.0316,0.1778
105.0,0.03,0.1732
106.0,0.0285,0.1688
107.0,0.0271,0.1646
108.0,0.0257,0.1603
109.0,0.0244,0.1562
110.0,0.0232,0.1523
111.0,0.0221,0.1487
112.0,0.021,0.1449
113.0,0.0199,0.1411
114.0,0.0189,0.1375
115.0,0.018,0.1342
116.0,0.0171,0.1308
117.0,0.0162,0.1273
118.0,0.0154,0.1241
119.0,0.0147,0.1212
120.0,0.0139,0.1179
121.0,0.0132,0.1149
122.0,0.0126,0.1122
123.0,0.0119,0.1091
124.0,0.0113,0.1063
125.0,0.0108,0.1039
126.0,0.0102,0.101
127.0,0.0097,0.0985
128.0,0.0092,0.0959
129.0,0.0088,0.0938
130.0,0.0083,0.0911
131.0,0.0079,0.0889
132.0,0.0075,0.0866
133.0,0.0072,0.0849
134.0,0.0068,0.0825
135.0,0.0065,0.0806
136.0,0.0061,0.0781
137.0,0.0058,0.0762
138.0,0.0055,0.0742
139.0,0.0053,0.0728
140.0,0.005,0.0707
141.0,0.0048,0.0693
142.0,0.0045,0.0671
143.0,0.0043,0.0656
144.0,0.0041,0.064
145.0,0.0039,0.0624
146.0,0.0037,0.0608
147.0,0.0035,0.0592
148.0,0.0033,0.0574
149.0,0.0032,0.0566
150.0,0.003,0.0548
151.0,0.0029,0.0539
152.0,0.0027,0.052
153.0,0.0026,0.051
158.0,0.0,0.0
