# case 0068  h_peak=0.60 m  t_peak=480 min  alpha=2.5  rec_ratio=2.5
# time (min), depth (m), velocity (m/s)
0.0,0.0,0.0
10.0,0.0004,0.02
20.0,0.0023,0.048
30.0,0.0061,0.0781
40.0,0.0119,0.1091
50.0,0.0197,0.1404
60.0,0.0295,0.1718
70.0,0.0412,0.203
80.0,0.0546,0.2337
90.0,0.0696,0.2638
100.0,0.086,0.2933
110.0,0.1036,0.3219
120.0,0.1223,0.3497
130.0,0.1418,0.3766
140.0,0.162,0.4025
150.0,0.1827,0.4274
160.0,0.2038,0.4514
170.0,0.2251,0.4744
180.0,0.2465,0.4965
190.0,0.2679,0.5176
200.0,0.289,0.5376
210.0,0.31,0.5568
220.0,0.3305,0.5749
230.0,0.3506,0.5921
240.0,0.3702,0.6084
250.0,0.3892,0.6239
260.0,0.4075,0.6384
270.0,0.4251,0.652
280.0,0.4419,0.6648
290.0,0.4579,0.6767
300.0,0.4732,0.6879
310.0,0.4875,0.6982
320.0,0.501,0.7078
330.0,0.5136,0.7167
340.0,0.5253,0.7248
350.0,0.5361,0.7322
360.0,0.5461,0.739
370.0,0.5551,0.7451
380.0,0.5633,0.7505
390.0,0.5705,0.7553
400.0,0.577,0.7596
410.0,0.5826,0.7633
420.0,0.5873,0.7664
430.0,0.5913,0.769
440.0,0.5945,0.771
450.0,0.5969,0.7726
460.0,0.5987,0.7738
470.0,0.5997,0.7744
480.0,0.6,0.7746
490.0,0.5774,0.7599
500.0,0.5557,0.7455
510.0,0.5348,0.7313
520.0,0.5146,0.7174
530.0,0.4952,0.7037
540.0,0.4766,0.6904
550.0,0.4587,0.6773
560.0,0.4414,0.6644
570.0,0.4248,0.6518
580.0,0.4088,0.6394
590.0,0.3934,0.6272
600.0,0.3786,0.6153
610.0,0.3643,0.6036
620.0,0.3506,0.5921
630.0,0.3374,0.5809
640.0,0.3247,0.5698
650.0,0.3125,0.559
660.0,0.3007,0.5484
670.0,0.2894,0.538
680.0,0.2785,0.5277
690.0,0.268,0.5177
700.0,0.2579,0.5078
710.0,0.2482,0.4982
720.0,0.2389,0.4888
730.0,0.2299,0.4795
740.0,0.2212,0.4703
750.0,0.2129,0.4614
760.0,0.2049,0.4527
770.0,0.1972,0.4441
780.0,0.1897,0.4355
790.0,0.1826,0.4273
800.0,0.1757,0.4192
810.0,0.1691,0.4112
820.0,0.1627,0.4034
830.0,0.1566,0.3957
840.0,0.1507,0.3882
850.0,0.145,0.3808
860.0,0.1396,0.3736
870.0,0.1343,0.3665
880.0,0.1293,0.3596
890.0,0.1244,0.3527
900.0,0.1197,0.346
910.0,0.1152,0.3394
920.0,0.1109,0.333
930.0,0.1067,0.3266
940.0,0.1027,0.3205
950.0,0.0988,0.3143
960.0,0.0951,0.3084
970.0,0.0915,0.3025
980.0,0.0881,0.2968
990.0,0.0848,0.2912
1000.0,0.0816,0.2857
1010.0,0.0785,0.2802
1020.0,0.0755,0.2748
1030.0,0.0727,0.2696
1040.0,0.07,0.2646
1050.0,0.0673,0.2594
1060.0,0.0648,0.2546
1070.0,0.0623,0.2496
1080.0,0.06,0.2449
1090.0,0.0577,0.2402
1100.0,0.0556,0.2358
1110.0,0.0535,0.2313
1120.0,0.0515,0.2269
1130.0,0.0495,0.2225
1140.0,0.0477,0.2184
1150.0,0.0459,0.2142
1160.0,0.0441,0.21
1170.0,0.0425,0.2062
1180.0,0.0409,0.2022
1190.0,0.0393,0.1982
1200.0,0.0379,0.1947
1210.0,0.0364,0.1908
1220.0,0.0351,0.1873
1230.0,0.0337,0.1836
1240.0,0.0325,0.1803
1250.0,0.0312,0.1766
1260.0,0.0301,0.1735
1270.0,0.0289,0.17
1280.0,0.0278,0.1667
1290.0,0.0268,0.1637
1300.0,0.0258,0.1606
1310.0,0.0248,0.1575
1320.0,0.0239,0.1546
1330.0,0.023,0.1517
1340.0,0.0221,0.1487
1350.0,0.0213,0.1459
1360.0,0.0205,0.1432
1370.0,0.0197,0.1404
1380.0,0.019,0.1378
1390.0,0.0183,0.1353
1400.0,0.0176,0.1327
1410.0,0.0169,0.13
1420.0,0.0163,0.1277
1430.0,0.0157,0.1253
1440.0,0.0151,0.1229
1450.0,0.0145,0.1204
1460.0,0.014,0.1183
1470.0,0.0134,0.1158
1480.0,0.0129,0.1136
1490.0,0.0124,0.1114
1500.0,0.012,0.1095
1510.0,0.0115,0.1072
1520.0,0.0111,0.1054
1530.0,0.0107,0.1034
1540.0,0.0103,0.1015
1550.0,0.0099,0.0995
1560.0,0.0095,0.0975
1570.0,0.0092,0.0959
1580.0,0.0088,0.0938
1590.0,0.0085,0.0922
1600.0,0.0082,0.0906
1610.0,0.0078,0.0883
1620.0,0.0076,0.0872
1630.0,0.0073,0.0854
1640.0,0.007,0.0837
1650.0,0.0067,0.0819
1660.0,0.0065,0.0806
1670.0,0.0062,0.0787
1680.0,0.006,0.0775
1690.0,0.0058,0.0762
1700.0,0.0056,0.0748
1710.0,0.0053,0.0728
1760.0,0.0,0.0
